Наименование,ИНН,Номер лицензии,Дата выдачи лицензии,Регион
"ООО ""Ольга""",7017190218,МЕ005176АЛ01,2/13/2009,70
"ООО ""Виват Плюс""",7017181044,МЕ004970АЛ01,12/25/2007,70
"ООО ""Янтарь""",7005006873,МЕ004962АЛ01,12/18/2007,70
"ООО ""Елка""",7006007527,МЕ004963АЛ01,12/18/2007,70
"ООО ""Стрелец""",7004006246,МЕ004965АЛ01,12/19/2007,70
"ООО ""Телец""",7004006285,МЕ004966АЛ01,12/19/2007,70
"ООО ""Сладкая компания""",7017072126,МЕ004967АЛ01,12/21/2007,70
"ООО ""Абсолют""",7017192550,МЕ004969АЛ01,12/21/2007,70
"ООО ""Санаторий ""Источник""",7007009608,МЕ004971АЛ01,12/24/2007,70
"ООО ""Асиноптица""",7002012928,МЕ004972АЛ02,7/4/2008,70
"ООО ""ФИЛЛ""",7024027396,МЕ004973АЛ01,12/25/2007,70
"ООО ""ФИЛЛ""",7024027396,МЕ004973АЛ02,6/15/2009,70
"ООО ""Атланта""",7017200201,МЕ004974АЛ01,12/26/2007,70
"ООО ""Космос-2007""",7024027237,МЕ004977АЛ01,12/29/2007,70
"ООО ""Лайфэль""",7017199676,МЕ004975АЛ01,12/28/2007,70
"ООО ""Маркет""",7017190666,МЕ004978АЛ01,7/4/2008,70
"ООО ""ЛЕВ""",7017200593,МЕ004980АЛ01,1/14/2008,70
"ООО ""БЕРГ""",7024025134,МЕ004979АЛ01,1/14/2008,70
"ООО ""Лотос""",7017200378,МЕ004981АЛ01,1/29/2008,70
Тымская Закупочная Компания,7006005801,МЕ004982АЛ01,1/29/2008,70
"ООО ""Армения""",7007010145,МЕ004983АЛ01,2/1/2008,70
"ООО""Мираж""",7005015853,МЕ004984АЛ01,2/7/2008,70
"ООО""Мираж""",7005015853,МЕ004984АЛ02,2/7/2008,70
"ООО ""Удача""",7015003014,МЕ004987АЛ01,2/14/2008,70
"ООО""Старт""",7007010191,МЕ004988АЛ01,2/15/2008,70
"ООО""Старт""",7007010191,МЕ004988АЛ02,2/22/2008,70
"ООО ""Волков и Компания""",7006007647,МЕ004991АЛ01,3/4/2008,70
"ООО ""Волков и Компания""",7006007647,МЕ004991АЛ02,9/19/2008,70
"ООО ""Ласточка""",7007010177,МЕ004992АЛ02,4/16/2010,70
"ООО ""Ласточка""",7007010177,МЕ004992АЛ01,3/5/2008,70
"ООО""Перчини""",7017202689,МЕ004994АЛ01,3/11/2008,70
"ООО""Перчини""",7017202689,МЕ004994АЛ02,11/29/2011,70
"ООО"" Сорис В.К.""",7017199193,МЕ004995АЛ03,4/8/2008,70
"ООО"" Сорис В.К.""",7017199193,МЕ004995АЛ05,4/24/2008,70
"ООО"" Сорис В.К.""",7017199193,МЕ004995АЛ07,5/15/2008,70
"ООО"" Сорис В.К.""",7017199193,МЕ004995АЛ08,5/26/2008,70
"ООО"" Сорис В.К.""",7017199193,МЕ004995АЛ06,7/12/2010,70
"ООО"" Сорис В.К.""",7017199193,МЕ004995АЛ04,7/12/2010,70
"ООО"" Сорис В.К.""",7017199193,МЕ004995АЛ01,5/17/2011,70
"ООО"" Сорис В.К.""",7017199193,МЕ004995АЛ09,5/17/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ44,3/23/2010,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ13,6/10/2010,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ45,6/10/2010,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ46,6/10/2010,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ47,6/10/2010,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ01,3/18/2008,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ03,3/18/2007,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ04,3/18/2008,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ05,3/27/2008,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ07,4/21/2008,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ11,5/26/2008,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ08,9/9/2008,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ02,9/9/2008,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ10,4/1/2009,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ14,4/1/2009,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ16,4/1/2009,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ17,4/1/2009,70
"ООО""Абсолют-Т""",7017203844,МЕ004096АЛ20,4/16/2009,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ09,4/30/2009,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ23,5/20/2009,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ27,7/16/2009,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ28,7/16/2009,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ29,7/29/2009,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ32,9/28/2009,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ15,10/19/2009,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ24,10/19/2009,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ33,11/2/2009,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ34,11/6/2009,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ35,11/10/2009,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ36,11/10/2009,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ37,11/10/2009,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ39,11/18/2009,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ40,11/18/2009,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ25,12/18/2009,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ42,1/21/2010,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ76,5/24/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ77,5/24/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ78,5/24/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ79,5/24/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ80,5/24/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ81,5/24/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ116,10/3/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ43,2/27/2010,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ30,8/18/2010,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ26,8/18/2010,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ49,8/24/2010,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ50,9/15/2010,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ51,9/15/2010,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ52,9/15/2010,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ54,12/3/2010,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ55,12/3/2010,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ58,12/21/2010,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ56,12/17/2010,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ06,2/11/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ31,2/11/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ108,9/6/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ109,9/6/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ110,9/8/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ59,2/18/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ60,3/14/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ61,3/14/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ62,4/1/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ63,4/1/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ57,5/3/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ66,5/3/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ64,4/1/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ65,4/1/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ68,5/6/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ69,5/6/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ38,1/19/2012,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ41,1/19/2012,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ70,5/12/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ67,1/19/2012,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ71,5/24/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ72,5/24/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ73,5/24/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ74,5/24/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ75,5/24/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ85,6/3/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ86,6/3/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ87,6/3/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ88,6/3/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ89,6/6/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ98,7/13/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ99,7/13/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ82,6/3/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ83,6/3/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ84,6/3/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ91,6/15/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ92,6/15/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ93,6/15/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ94,6/15/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ95,6/15/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ90,6/15/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ96,6/21/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ97,6/21/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ103,7/26/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ104,7/26/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ105,7/26/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ106,7/26/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ100,7/13/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ101,7/13/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ102,7/13/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ115,9/26/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ107,9/1/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ113,9/13/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ114,9/13/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ111,9/13/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ112,9/13/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ120,10/12/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ118,10/5/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ119,10/5/2011,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ12,1/19/2012,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ18,1/19/2012,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ21,1/19/2012,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ19,1/19/2012,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ48,1/19/2012,70
"ООО""Абсолют-Т""",7017203844,МЕ004996АЛ53,1/19/2012,70
"ООО ""Марина Плюс""",7006007710,МЕ005000АЛ01,3/21/2008,70
"ООО ""Росгоравтотранс""",7014049190,МЕ004998АЛ01,3/20/2008,70
"ООО ""РОСТ-А""",7017205760,МЕ004999АЛ01,3/20/2008,70
"ООО ""РОСТ-А""",7017205760,МЕ004999АЛ02,9/30/2008,70
"ООО ""Арго""",7014049344,МЕ004997АЛ01,3/20/2008,70
"ООО ""34-й КМ""",7014049369,МЕ005002АЛ01,3/25/2008,70
"ООО ""Дружба""",7024027597,МЕ005007АЛ01,5/22/2009,70
"ООО ""Селена""",7017202720,МЕ005005АЛ01,3/31/2008,70
"ООО ""ВиноГрад""",7006007654,МЕ005003АЛ01,3/28/2008,70
"ООО ""ВиноГрад""",7006007654,МЕ005003АЛ02,3/28/2008,70
"ООО ""Старый Чердак""",7017204125,МЕ005004АЛ01,3/28/2008,70
"ООО ""Кристалл""",7006007774,МЕ005006АЛ02,3/31/2008,70
"ООО""Северянка""",7005015860,МЕ005014АЛ01,4/8/2008,70
"ООО ""Комбинат Общественного Питания""",7017119600,МЕ005008АЛ01,4/2/2008,70
"ООО""Альянс""",7022016166,МЕ005015АЛ01,4/10/2008,70
"ООО ""Велес""",7007010233,МЕ005013АЛ01,4/7/2008,70
"ООО ""Компания ""ВК""",8603130646,МЕ005012АЛ01,12/13/2011,86
"ООО ""Традиции империи""",7014043832,МЕ005018АЛ01,4/15/2011,70
"ООО Торговый дом ЗПП ""Томский"" розничная сеть",7006007781,МЕ005017АЛ01,4/14/2008,70
"ООО Торговый дом ЗПП ""Томский"" розничная сеть",7006007781,МЕ005017АЛ02,10/8/2008,70
"ООО Торговый дом ЗПП ""Томский"" розничная сеть",7006007781,МЕ005017АЛ03,10/14/2008,70
"ООО Торговый дом ЗПП ""Томский"" розничная сеть",7006007781,МЕ005017АЛ04,10/14/2008,70
"ООО ""Альтернатива-С""",7024015880,МЕ005019АЛ01,4/16/2008,70
"ООО""Визит""",7014047629,МЕ005020АЛ01,4/17/2008,70
"ООО""Визит""",7014047629,МЕ005020АЛ02,4/17/2008,70
"ООО ""СТО ""Автосервис""",7008006416,МЕ005021АЛ01,4/21/2008,70
"ООО ""Ликон""",7017205873,МЕ005023АЛ01,4/24/2008,70
"ООО""Веста-плюс""",7017208112,МЕ005024АЛ01,4/23/2008,70
"ООО ""Русь""",7004006415,МЕ005022АЛ01,4/22/2008,70
"ООО""Исток""",7006007904,МЕ001071АЛ01,4/25/2008,70
"ООО ""Планета К""",7017174248,МЕ005028АЛ01,5/5/2008,70
"ООО""АРМАН""",7017142895,МЕ005031АЛ01,11/13/2008,70
"ООО ""Русметалл""",7021057272,МЕ005029АЛ01,5/13/2008,70
"ЗАО ""Сибкабель""",7020012261,МЕ005030АЛ01,5/15/2008,70
"ООО"" Империя""",7003004180,МЕ005032АЛ01,5/15/2008,70
"ООО ""Кэт""",7024028174,МЕ005037АЛ01,5/21/2008,70
"ООО""Новинка""",7004006479,МЕ005035АЛ01,5/20/2008,70
"ООО ""Розгина""",7002013135,МЕ005038АЛ01,5/26/2008,70
"ООО ""Орион""",7014049640,МЕ005036АЛ01,5/21/2008,70
Бакчарское потребительское общество,7003002739,МЕ005040АЛ01,5/28/2008,70
Бакчарское потребительское общество,7003002739,МЕ005040АЛ02,11/2/2010,70
"ООО ""Меридиан""",7012765399,МЕ005041АЛ01,6/2/2008,70
"ООО ""Меридиан""",7012765399,МЕ005041АЛ02,6/2/2008,70
"ООО ""Фортуна +""",7017153537,МЕ005043АЛ01,6/3/2008,70
"ООО ""Шанс""",7015003007,МЕ005042АЛ01,6/3/2008,70
"ООО ""Милан плюс""",7017121013,МЕ005044АЛ01,6/5/2008,70
"ООО""КВАЗАР""",7017151667,МЕ005045АЛ01,6/19/2008,70
"ООО ""ИрАлАнТ""",7024028706,МЕ005047АЛ01,6/25/2008,70
"ООО""Березка""",7010006068,МЕ005046АЛ01,6/24/2008,70
"ООО""Вегас-К""",7017213377,МЕ005050АЛ01,7/8/2008,70
"ООО ""Бережок""",7010006082,МЕ005049АЛ01,7/7/2008,70
"ООО ""Вегас-Р""",7017213360,МЕ005051АЛ01,7/9/2008,70
"ООО "" Прайд-Люкс""",7024027950,МЕ005053АЛ01,7/10/2008,70
"ООО ""ВездеходОФФ""",7017150840,МЕ005054АЛ01,7/14/2008,70
"ООО"" Торговый дом ""Бекон""",7017155100,МЕ005052АЛ01,7/10/2008,70
Елань,278072569,МЕ005056АЛ01,7/18/2008,27
"ООО"" Дворец Торжеств""",7017210922,МЕ005055АЛ01,7/16/2008,70
"ООО ""Фея""",7022016705,МЕ005057АЛ01,8/6/2008,70
"ООО ""Лада""",7011005772,МЕ005058АЛ01,7/25/2008,70
"ООО ""Олеся""",7017092299,МЕ005063АЛ01,9/2/2008,70
"ООО ""Олеся""",7017092299,МЕ005063АЛ02,12/15/2008,70
"ООО ""Олеся""",7017092299,МЕ005063АЛ03,5/4/2011,70
"ООО ""Антошка""",7017196957,МЕ005062АЛ01,8/1/2008,70
"ООО ""Антошка""",7017196957,МЕ005062АЛ02,12/12/2008,70
"ООО ""Тропикана""",7017215127,МЕ005061АЛ01,8/1/2008,70
"ООО ""Конус""",7017213715,МЕ005066АЛ01,8/1/2008,70
"ООО ""Стимул""",7006007799,МЕ005065АЛ01,8/1/2008,70
"ООО ""Гентасс""",7017210834,МЕ005068АЛ01,8/5/2008,70
"ООО ""Контент""",7017162404,МЕ005069АЛ01,8/14/2008,70
"ООО ""Душанбе""",7017214638,МЕ005070АЛ01,8/15/2008,70
"ООО ""Душанбе""",7017214638,МЕ005070АЛ02,8/15/2008,70
"ООО ""Сервис плюс""",7017218270,МЕ005071АЛ01,8/15/2008,70
"ООО ""Сервис плюс""",7017218270,МЕ005071АЛ02,8/15/2008,70
"ООО ""Сервис плюс""",7017218270,МЕ005071АЛ03,10/27/2010,70
"ООО ""Византия""",7017204100,МЕ005072АЛ01,8/21/2008,70
"ООО ""Развитие""",7017220007,МЕ005073АЛ01,8/28/2008,70
"ООО ""Развитие""",7017220007,МЕ005073АЛ02,6/16/2011,70
"ООО ""Выбор""",7017220092,МЕ005074АЛ01,9/3/2008,70
"ООО ""Озерный рай""",7016006240,МЕ005076АЛ01,9/9/2008,70
"ООО ""Торгово-производственная строительная компания ""Универсал""",7017221402,МЕ005077АЛ01,9/10/2008,70
"ООО ""Торгово-производственная строительная компания ""Универсал""",7017221402,МЕ005077АЛ02,11/15/2010,70
"ООО""Дело Вкуса""",7014050484,МЕ005078АЛ01,9/12/2008,70
"ООО""Дело Вкуса""",7014050484,МЕ005078АЛ02,7/31/2009,70
"ООО""Дело Вкуса""",7014050484,МЕ005078АЛ04,4/13/2011,70
"ООО""Дело Вкуса""",7014050484,МЕ005078АЛ03,9/16/2010,70
"ООО""Дело Вкуса""",7014050484,МЕ005078АЛ05,4/28/2011,70
"ООО ""МАРИКОН""",5040034608,МЕ005079АЛ01,2/25/2009,50
"ООО ""МАРИКОН""",5040034608,МЕ005079АЛ02,2/25/2009,50
"ООО ""МАРИКОН""",5040034608,МЕ005079АЛ03,2/25/2009,50
"ООО ""МАРИКОН""",5040034608,МЕ005079АЛ04,2/25/2009,50
"ООО""Восток""",7014050491,МЕ005082АЛ01,9/18/2008,70
"ООО""Восток""",7014050491,МЕ005082АЛ02,11/22/2010,70
"ООО "" СибТрейд""",7017142694,МЕ005081АЛ01,9/17/2008,70
"ООО ""РегионМарт-Северск""",7024028696,МЕ005083АЛ01,9/18/2008,70
"ООО ""Управляющая Компания ""Эндаумент""",7017120309,МЕ004849АЛ01,9/18/2008,70
"ООО ""Кинотеатр ""Томск-Киномир""",7014025520,МЕ005085АЛ01,9/25/2008,70
"ООО ""Тандем""",7017219386,МЕ005089АЛ01,10/2/2008,70
"ООО ""Кудрик""",7014050526,МЕ005090АЛ01,10/7/2008,70
"ООО ""Алекс""",7017193410,МЕ005091АЛ01,10/10/2008,70
"ООО ""Орион""",7006008337,МЕ005092АЛ01,10/13/2008,70
"ООО ""Орион""",7006008337,МЕ005092АЛ02,8/7/2009,70
"ООО ""Орион""",7006008337,МЕ005092АЛ03,4/7/2010,70
"ООО ""Чайка""",7017223110,МЕ005093АЛ01,2/7/2012,70
"ООО ""Надежда""",7024029890,МЕ005094АЛ01,12/14/2009,70
"ООО ""Ночная жизнь""",7017219594,МЕ005095АЛ01,10/22/2008,70
"ООО ""Родничок""",7017216353,МЕ005096АЛ01,10/22/2008,70
"ООО""Радушка""",7017202760,МЕ005097АЛ01,10/23/2008,70
"ООО ""Визит""",7010005829,МЕ005099АЛ01,10/27/2008,70
"ООО ""Аллегро""",7002013368,МЕ005100АЛ01,10/29/2008,70
"ООО ""Норд""",7022015405,МЕ005102АЛ01,10/30/2008,70
"ООО ""Армада""",7015003046,МЕ005103АЛ01,11/6/2008,70
"ООО ""Мастер""",7024023881,МЕ005104АЛ01,11/7/2008,70
"ООО ""Мастер""",7024023881,МЕ005104АЛ02,11/7/2008,70
"ООО ""Плаза""",7017218336,МЕ005105АЛ01,11/7/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ01,11/10/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ02,11/13/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ03,11/18/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ05,11/18/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ06,11/20/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ07,11/20/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ08,11/20/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ09,11/21/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ10,11/21/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ11,11/27/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ12,11/27/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ14,12/1/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ16,12/1/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ17,12/4/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ18,12/9/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ19,12/9/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ20,12/9/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ21,12/9/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ22,12/15/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ23,12/15/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ24,12/15/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ25,12/15/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ26,12/15/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ27,12/15/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ28,12/15/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ29,12/15/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ30,12/18/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ31,12/18/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ32,12/18/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ33,12/18/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ0АЛ34,12/18/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ35,12/26/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ36,12/26/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ37,12/26/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ39,12/26/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ40,12/26/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ41,12/26/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ42,12/26/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ43,12/26/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ44,12/26/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ45,12/26/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ46,12/26/2008,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ47,1/21/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ48,1/21/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ49,2/2/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ50,2/2/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ51,2/4/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ52,2/4/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ53,2/4/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ55,2/4/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ56,2/10/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ57,2/10/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ58,2/10/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ59,2/11/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ60,2/11/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ61,2/11/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ62,2/11/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ63,2/11/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ64,2/25/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ65,2/25/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ66,2/25/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ67,2/25/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ68,2/25/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ69,2/25/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ70,2/25/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ71,2/25/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ73,3/2/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ74,3/2/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ75,3/2/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ76,3/2/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ77,3/2/2009,70
"ООО ""К-плюс 2""",7017225380,МЕ005106АЛ78,3/2/2009,70
