"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по  МО города Усолье-Сибирское",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
39,"Общество с ограниченной ответственностью 
«Рандеву»
ИНН 3819017820
","МИ ФНС № 8 по Иркутской обл. и УОБАО
Юр.  адрес:
г. Усолье-Сибирское,
ул. Менделеева, 21
","Сер. А 221814 рег. № 56 от 19.02.2007 г. с 19.02.2007 г. по 18.02.2012 г.
","Кафе «Рандеву»,
ул. Менделеева, 21
","01.02.2011 г. на 6 месяцев
11.08.2011 г. до решения суда",01.08.2011 г.,19.02.2012г.,,
40,"Общество с ограниченной ответственностью 
«Киликиа»
ИНН 3819018013
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское, 
ул. Коростова, 25-1

",Сер. А 221826 рег. № 67 06.04.2007 г. с 06.04.2007 г. по 05.04.2012 г.,"1. вино-водочный отдел в магазине «Раут», район жилых домов по ул. Сеченова, 13, 15.
2. вино-водочный отдел в маг. «Родник», ул. Коростова, 25-1.
",,,06.04.2012г.,,
41,"Общество с ограниченной ответственностью 
«Парвана»
ИНН 3819017860
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское, 
ул. Луначарского, 39 «Б»-20
","Сер. А 221829 рег. № 72 от 07.05.2007 г. с 07.05.2007 г. по 06.05.2012 г.
переоформлена 19.09.2008 г.
Сер. А 221860 рег. № 102 с 19.09.2008 г. по 06.05.2012 г. 
","Магазин «Анастасия»,
пересечение пр. Ленинский и пр. Кр. партизан. 
","19.09.2011 г.
на 1 месяц",20.10.2011г.,07.05.2012г.,,
42,"Общество с ограниченной ответственностью 
«Анастасия»
ИНН 3819017933
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское, 
ул. Луначарского, 33 «А»
","Сер. А 221830 рег. № 73 от 07.05.2007 г. с 07.05.2007 г. по 06.05.2012 г.
переоформлена 26.10.2009 г.
Сер. А 221896 рег. № 142 с 26.10.2009 г. по 06.05.2012 г.
","1. Вино-водочный отдел в магазине «Надежда», ул. Луначарского, 33 «А».
2. магазин «Надежда-2», ул. Островского, 11
",,,07.05.2012г.,,
43,"Общество с ограниченной ответственностью 
«Арени»
ИНН 3819017940
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское, 
пр. Комсомольский, 26
","Сер. А 221834 рег. № 77 от 13.06.2007 г. с 13.06.2007 г. по 12.06.2012 г.
переоформлена 17.01.2008 г.
Сер. А 221849 рег. № 90 с 13.06.2007 г. по 12.06.2012 г.
","Магазин «Продукты», пр. Комсомольский, 26",,,13.06.2012г.,,
44,"Общество с ограниченной ответственностью 
«Светлана»
ИНН 3819019225
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр. адрес:
г. Усолье-Сибирское, ул. Интернациональная, 26","Сер. А 221839 рег. № 83 с 24.10.2007 г. по 23.10.2012 г.
","1. ул. Интернациональная, 26, кафе «Звезда»
2. вино-водочный отдел в магазине «Звезда», ул. Интернациональная, 26
",,,,,
45,"Общество с ограниченной ответственностью 
«Арарат»
ИНН 3819018694
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.адрес:
г. Усолье-Сибирское,
пр. Кр. партизан, 75
","Сер. А 221841 рег. № 84 от 30.10.2007 г. с 30.10.2007 г. по 29.10.2012 г.
переоформлена 22.01.2009 г.
Сер. А 221871 рег. № 116 с 22.01.2009 г. по 29.10.2012 г.
переоформлена 31.12.2009 г.
Сер. А 221904 рег. № 147 с 31.12.2009 г. по 29.10.2012 г. 
","1. пр. Кр. партизан, 75, кафе «У Фонтана».
2. пр. Кр. партизан, 75, магазин «Арарат».
",,,,,
46,"Общество с ограниченной ответственностью
«Кедр и К» 
ИНН 3819017161

","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр. адрес:
г. Усолье-Сибирское,
ул. Шевченко, 12
","Сер. А 221843 рег. № 85 от 03.12.2007 г. с 03.12.2007 г. по 02.12.2012 г.
","Ул. Шевченко, 12, Магазин «Дело вкуса»
",,,,,
47,"Общество с ограниченной ответственностью
«Татьяна»
ИНН 3819016707 
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр. адрес:
г. Усолье-Сибирское,
ул. Луначарского, 1А

","Сер. А 221845 рег.  № 86 от 18.12.2007 г. с 18.12.2007 г. по 17.12.2012 г.
переоформлена 03.04.2009 г.
Сер. А 221881 рег. № 126 с 03.04.2009 г. по 17.12.2012 г.
","Ул. Луначарского, 1А, Магазин «Татьяна»
",,,,,
48,"Общество с ограниченной ответственностью
«Малинар»
ИНН 3819019472 

","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр. адрес:
г. Усолье-Сибирское,
ул. Р.Люксембург, 13 «А»

","Сер. А 221846 рег. № 87 от 24.12.2007 г. с 25.12.2007 г. по 24.12.2012 г.
переоформлена 10.11.2008 г.
Сер. А 221864 рег. № 107 с 10.11.2008 г. по 24.12.2012 г.
переоформлена 27.11.2009 г.
Сер. А 221899 рег. № 144 с 27.11.2009 г. по 24.12.2012 г.
","ул. Р.Люксембург, 13 А, «Наш магазин»

",,,,,
49,"Общество с ограниченной ответственностью 
«Дельта»
ИНН 3819010695

","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр. адрес:
г. Усолье-Сибирское,
пр. Комсомольский, 36-32

","Сер. А 221847 рег. № 88 от 27.12.2007 г. с 27.12.2007 г. по 26.12.2012 г.
переоформлена 27.10.2008 г. 
Сер. А 221862 рег. № 105 с 27.10.2008 г. по 26.12.2012 г.
переоформлена 08.12.2010 г.
Сер. А 221930 рег. № 175 с 09.12.2010 г. по 26.12.2012 г.
","ул. Б.Хмельницкого, 2, магазин «Дорожный»

",,,27.01.2011 г.,,
50,"Общество с ограниченной ответственностью 
«Орбита С»
ИНН 3819022073

","МИ ФНС № 8 по Иркутской обл. Юр. адрес: г. Усолье-Сибирское, пр. Химиков, 31

","Сер. А 221884 рег. № 130 от 26.06.2009 г. с 26.06.2009 г. по 25.06.2014 г.
переоформлена 23.10.2009 г.
Сер. А 221894 рег. № 140  с 23.10.2009 г. по 25.06.2014 г. 
","1. магазин «Орбита» - ул. Ленина, в районе дома № 83.
2. магазин «Орбита» - пр-т Комсомольский, 10-35, 36.
3. магазин «Орбита» - пр-т Химиков, 31.
",,,,,
51,"Общество с ограниченной ответственностью 
«Гамбит»
ИНН 3819022299

","МИ ФНС № 8 по Иркутской обл. Юр. адрес:
г. Усолье-Сибирское,
ул. Ватутина, 32 «А»
","Сер. А 221886 рег. № 132 с 14.07.2009 г. по 13.07.2014 г.
переоформлена 02.07.2010 г.
Сер. А 221917 рег. № 162 с 02.07.2010 г. по 13.07.2014 г.
переоформлена 20.06.2011 г.
Сер. А 221951 рег. № 195
с 20.06.2011 г. по 13.07.2014 г.
","Иркутская область, Нукутский р-он:
1. с. Алтарик, ул. Школьная – магазин «Аршан»;
2. д. Кирилловск, ул. Земледельческая – магазин «Аршан-2» 
3. с. Алтарик, ул. Нагорная, магазин ""Аршан-3""
",,,,,
52,"Общество с ограниченной ответственностью 
«АЛМАЗ»
ИНН 3819021400
","МИ ФНС № 8 по Иркутской обл. Юр. адрес:
г. Усолье-Сибирское, ул. Интернациональная, 85 
","Сер. А 221887 рег. № 133 от 17.07.2009 г. с 17.07.2009 г. по 16.07.2014 г.
","магазин «Алмаз», ул. Интернациональная, 85",,,,,
53,"Общество с ограниченной ответственностью 
«Парус-Ник»
ИНН 3819021739
","МИ ФНС № 8 по Иркутской обл. Юр. адрес:
г. Усолье-Сибирское,
пр. Космонавтов, 30
","Сер. А 221888 рег. №134 от 17.07.2009 г. с 17.07.2009 г. по 16.07.2014 г.
","вино-водочный отдел в ТЦ «Домовой»,
пр. Космонавтов, 30
",,,,,
54,"Общество с ограниченной ответственностью «СибМастер»
ИНН 3819006473
","МИ ФНС России № 8 по Иркутской обл. 
Юр. адрес:
г. Усолье-Сибирское, 
ул. Карла Маркса, 46
","Сер. А 221889 рег. № 135 от 17.08.2009 г. с 17.08.2009 г. по 16.08.2014 г.
","магазин – ул. Карла Маркса, 46 ",,,,,
55,"Общество с ограниченной ответственностью 
«ВИАЛ»
ИНН 3819022620
","МИ ФНС России № 8 по Иркутской обл. Юр. адрес:
г. Усолье-Сибирское, 
ул. Шевченко, 12, офис 10
","Сер. А 221897 рег. № 143 от 29.10.2009 г. с 29.10.2009 г. по 28.10.2014 г.
","магазин «Рублик», ул. Ватутина, в районе магазина «Усольчанка»",,,,,
56,"Общество с ограниченной ответственностью 
«Женаида»
ИНН 3819022958
","МИ ФНС России № 8 по Иркутской обл. Юр. адрес:
г. Усолье-Сибирское, 
ул. Энгельса, 19
"," № 249 от 11.07.2012 взамен Сер. А 221903 рег. № 146 с 29.12.2009 г. по 28.12.2014 г.
переоформлена 25.10.2010 г.
Сер. А 221926 рег. № 170 с 25.10.2010 г. по 28.12.2014 г.
переоформлена 21.03.2011 г.
Сер. А 221944 рег. № 189
с 21.03.2011 г. по 28.12.2014 г.
переоформлена 31.05.2011 г.
Сер. А 221948 рег. № 193
с 31.05.2011 г. по 28.12.2014 г.
","г. Усолье-Сибирское, ул. Энгельса, 19
",,,,,
57,"Общество с ограниченной ответственностью 
«СВЕТ»
ИНН 3819023045
","МИ ФНС России № 8 по Иркутской обл. Юр. адрес:
г. Усолье-Сибирское, 
ул. Менделеева, 45
","Сер. А 221905 рег. № 148 с 15.03.2010 г. по 14.03.2015 г.
переоформлена  02.07.2010 г.
Сер. А 221914 рег. № 159 с 02.07.2010 г. по 14.03.2011 г.
","Вино-водочный отдел в магазине «Светлана», ул. Менделеева, 45
",,,16.03.2011 г.,,
58,"Общество с ограниченной ответственностью 
«ДЕРЖАВА»
ИНН 3819015686
","МИ ФНС № 8 по Иркутской области и УОБАО Юр. адрес:
г. Усолье-Сибирское,          ул. Менделеева, 71
","Сер. А 221911 рег. № 154  с 07.06.2010 г. по 06.06.2015 г.
переоформлена 02.07.2010 г.
Сер. А 221915 рег. № 160 с 02.07.2010 г. по 06.06.2011 г.
продлена 20.05.2011 г.
с 07.06.2011 г. по 06.06.2012 г.
","Ресторан «Старый город», ул. Менделеева, 71 
",,,07.06.2012г.,,
59,"Общество с ограниченной ответственностью 
«Премьер»
ИНН 3819023542
","МИ ФНС  № 8 по Иркутской области                                                                                                                                                                                                                        Юр. адрес:                                                                                                                                                                                                                                                                 г. Усолье-Сибирское, проезд Фестивальный, 1 «А»
","Сер. А 221912 рег. № 155 с 16.06.2010 г. по 15.06.2015 г.
переоформлена 02.07.2010 г. 
Сер. А 221916 рег. № 161 с 02.07.2010 г. по 15.06.2011 г.
продлена 02.06.2011 г.
с 16.06.2011 г. по 15.06.2012 г.
","1. магазин «Енисей», ул. Молотовая, 70 «Б».
2. магазин «Аромат», ул. Энгельса, 1 «А».
3. кафе «Байкал», район городского пруда.
",,,16.06.2012г.,,
60,"Общество с ограниченной ответственностью «Армал»
ИНН 3819023302
","МИ ФНС № 8 по Иркутской обл.                                                                                                                                                                                                                              Юр. адрес:                                                                                                                                                                                                                                                                 г. Усолье-Сибирское, пр-т Ленинский, 3 «Г»
","Сер. А 221918 рег. № 163 от 27.07.2010 г. с 27.07.2010 г. по 26.07.2011 г.
продлена 20.07.2011 г.
с 27.07.2011 г. по 26.07.2012 г.
","Пр-т Ленинский, 3 «Г» - кафе «Водопад»",,,7/26/2012,,
61,"Общество с ограниченной ответственностью “Магазин № 102”
ИНН 3819011096

","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское,
ул. Луначарского, 39 «А», кв. 60
","Сер. А 171819 рег. № 885 от 29.08.2001 г. с 31.08.2001 г. по 29.08.2006 г.
продлена 29.08.2006 г. с 30.08.2006 г. по 28.08.2011 г.
переоформлена 06.03.2007 г.
Сер. А 221821 рег. № 63 с 29.08.2006 г. по 29.08.2011 г.
переоформлена 27.10.2008 г.
Сер. А 221863 рег. № 106 с 27.10.2008 г. по 29.08.2011 г.
продлена 26.08.2011 г.
с 30.08.2011 г. по 29.08.2012 г.
",Ул. Луначарского № 21 – маг. «102»,,,,,
62,"Общество с ограниченной ответственностью “Рынок”
ИНН 3819008431

","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское, пр. Химиков № 39
","Сер. А 221733 рег. № 804 от 07.12.1999 г. с 08.12.1999 г. по 07.12.2002 г.
продлена 04.12.2002 г. 
с 08.12.2002 г. по 07.12.2007 г.
продлена 07.12.2007 г. 
Сер. А 221844 рег. № 804 от 07.12.1999 г. 
с 08.12.2007 г. по 07.12.2012 г.
переоформлена 22.11.2011 г.
Сер. А 221969 рег. № 207
с 22.11.2011 г. по 07.12.2012 г.
","1. пр. Химиков № 39, бар «Дракон»
2. пр. Химиков, № 39, магазин ""Продукты""

",,,,,
63,"Общество с ограниченной ответственностью “МультиМаг” 
ИНН 3819010896
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское, 
пр. Ленинский, д.10
","Сер. А 171811 рег. № 881 от 25.06.2001 г. с 26.06.2001 г. по 25.06.2011 г.
переоформлена  10.11.2006 г.
Сер. А 221799  рег. № 41 с 26.06.2001 г. по 25.06.2011 г.
переоформлена 28.04.2010 г.
Сер. А 221908 рег.  № 151 с 28.04.2010 г. по 25.06.2011 г.
переоформлена 02.11.2010 г.
Сер. А 221927 рег. № 172 с 02.11.2010 г. по 25.06.2011 г.
продлена 16.06.2011 г.
с 26.06.2011 г. по 25.06.2013 г.
","1. пр. Космонавтов - район к/т ”Ровесник” маг. ”Все для Вас-2”;
2. ул. Ленина, 76, маг. «Все для Вас»;
3. пр. Кр. партизан, 16 «А», магазин «Все для Вас»;
4. ул. Куйбышева, 10, магазин «Все для Вас»;
5. ул. Орджоникидзе, 31 - маг. «Все для Вас»;
6. пр. Космонавтов, 11 «А», отдел в ТЦ «Элегант+».
",,,,,
64,"Открытое акционерное общество ”Продтовары” 
ИНН 3819000344  
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское, ул. Менделеева, 45
","переоформлена 05.03.2009 г. 
Сер. А 221876 рег. № 122 с 05.03.2009 г. по 28.12.2014 г.
переоформлена 08.11.2010 г.
Сер. А 221928 рег. № 173  с 08.11.2010 г. по 28.12.2014 г.
","1. ул. Ленинградская, 11 «А», магазин № 11.                                                                                 
2. ул. Фрунзе, 2 «А», магазин №  21.
3. пр. Ленинский, 22 «А», магазин № 27.
4. ул. Стопани, 19, магазин № 30.                                                                               
5. ул. Пугачева, 31, магазин № 49.                                                                                   
6. ул. Менделеева, 12, магазин № 97.
7. Усольский район, р.п. Тельма, ул. Королева, 2, магазин № 7.                                                                

",,,,,
65,"Общество с ограниченной ответственностью “Риф”
ИНН 3819001595

","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское ул. Красноармейская, № 24
","Сер. А 221724 рег. № 795 от 05.10.1999 г. с 05.10.1999 г. по 04.10.2009 г.
переоформлена 21.02.2007 г.
Сер. А 221818 рег. № 59 с 05.10.1999 г. по 04.10.2009 г.
переоформлена 07.05.2007 г.
Сер. А 221831 рег. № 74 с 05.10.1999 г. по 04.10.2009 г.
продлена 05.10.2009 г. с 05.10.2009 г. по 04.10.2014 г
","Магазин «Продовольственный», ул. Мира, 2",,,,,
66,"Филиал ФГУП «ВостСибАГП» Усольское топографо-геодезическое предприятие
ИНН 3809004124
","ИМНС России по Правобережному округу г. Иркутска 
Юр.  адрес:
г. Усолье-Сибирское, ул. Восточная № 29
","Сер. А 171763 рег. № 986 от 04.03.2004 г. с 05.03.2004 г. по 04.03.2014 г.
","ул. Восточная, № 29 – магазин «Продукты»",,,,,
67,"Общество с ограниченной ответственностью 
«Галия» 
ИНН 3819002648","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское 
пр. Кр. партизан, 3
","Сер. А 171839 рег. № 956 от 19.06.2003 г. с 20.06.2003 г. по 19.06.2013 г. 
","пр. Кр. партизан, 3 - магазин «Галия» 
",,,18.10.2011 г.,,
68,"Общество с ограниченной ответственностью
«Рассвет»
ИНН 3819019786

","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр. адрес:
г. Усолье-Сибирское,
пр. Ленинский, 26-45

","Сер. А 221853 рег. № 97 от 03.07.2008 г. с 03.07.2008 г. по 02.07.2013 г.
переоформлена 24.11.2008 г.
Сер. А 221865 рег. № 109 с 24.11.2008 г. по 02.07.2013 г. 
переоформлена 31.05.2011 г.
Сер. А 221949 рег. № 194
с 31.05.2011 г. по 02.07.2013 г.
","1. ул. Интернациональная, 3, ТЦ «Ермак», в/в отдел.
2. ул. Интернациональная, 56а, магазин «Рассвет».
3. пр. Ленинский, 3а, ПСБ ""Водопад"", торговый павильон № 25.

",,,,,
69,"Общество с ограниченной ответственностью
«МИГ-ИМПЕРИАЛ»
ИНН 3819020277
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр. адрес:
г. Усолье-Сибирское,
ул. Молотовая, 74-2
","Сер. А 221856 рег. № 99 от 23.07.2008 г. с 23.07.2008 г. по 22.07.2013 г.
","г. Усолье-Сибирское, ул. Молотовая, 70 «В» - маг.  «Федор»
",,,,,
70,"Общество с ограниченной ответственностью
«Магазин № 35»
ИНН 3819020492
","МИ ФНС № 8 по Иркутской области 
Юр. адрес:г. Усолье-Сибирское,
ул. Серегина, 34
","Сер. А 221859 рег. № 101 от 03.09.2008 г. с 03.09.2008 г. по 02.09.2013 г.

","г. Усолье-Сибирское, ул. Серегина, 34, магазин № 35
",,,,,
71,"Общество с ограниченной ответственностью
«Гермес плюс»
ИНН 3819021778
","МИ ФНС № 8 по Иркутской области 
Юр. адрес:г. Усолье-Сибирское,
ул. Крупской, 16
","Сер. А 221877 рег. № 123 от 06.03.2009 г. 
с 06.03.2009 г. по 05.03.2014 г.
переоформлена 24.04.2012 г.
Сер. А 221992 рег. № 229
с 24.04.2012 г. по 05.03.2012 г.
","1. ул. Крупской, 16, магазин «Кедр»
2. пр. Комсомольский, 97, 1-6, магазин ""Татьяна""
",,,,,
72,"Общество с ограниченной ответственностью 
«Статус»
ИНН 3819021256
","МИ ФНС № 8 по Иркутской области
Юр. адрес: 
г. Усолье-Сибирское,
пр. Космонавтов, 15 «А»
","Сер. А 221878 рег. № 124 от 17.03.2009 г. с 17.03.2009 г. по 16.03.2014 г.
","г.Усолье-Сибирское, пр. Космонавтов, 15 «А» - магазин «Шанс»
",,,,,
73,"Общество с ограниченной ответственностью «Калинка»
ИНН 3851000500

","МИ ФНС № 18 по Иркутской области
Юр. адрес:                            г. Усолье-Сибирское,
ул. Куйбышева, 20
","Сер. А 221919 рег. № 164 от 09.09.2010 г. 
с 09.09.2010 г. по 08.09.2011 г.
продлена 14.09.2011 г.
с 14.09.2011 г. по 08.09.2012 г.
","г. Усолье-Сибирское, ул. Куйбышева, 20, Вино-водочный отдел в магазине «Калинка»
",,,,,
74,"Общество с ограниченной ответственностью «Круг»
ИНН 3851000638
","МИ ФНС № 18 по Иркутской области
Юр. адрес:
г. Усолье-Сибирское           пр. Комсомольский, 33
","Сер. А 221924 рег. № 168 от 06.10.2010 г. 
с 06.10.2010 г. по 05.10.2011 г.
продлена 02.11.2011 г.
с 02.11.2011 г. по 05.10.2012 г.
","г. Усолье-Сибирское, пр. Комсомольский, 33
вино-водочный отдел в ресторане «Пещера»
",28.06.2011 г.,01.07.2011г.,,,
75,"Общество с ограниченной ответственностью «Мастер»
ИНН 3819016464
","МИ ФНС № 18 по Иркутской области
Юр. адрес:
г. Усолье-Сибирское
ул. Куйбышева, 1а-42
","Сер. А 221931 рег. № 176 от 09.12.2010 г. с 10.12.2010 г. по 09.12.2011 г.
","г. Усолье-Сибирское
ул. Куйбышева, 1а-42, магазин
",,,10.12.2011г.,,
76,"Общество с ограниченной ответственностью «Эбису»
ИНН 3851000518
","МИ ФНС № 18 по Иркутской области
Юр. адрес:
г. Усолье-Сибирское
пр. Космонавтов, 48-1 
","Сер. А 221932 рег. № 177 от 10.12.2010 г. с 10.12.2010 г. по 09.12.2011 г.
","г. Усолье-Сибирское, пр. Космонавтов, 48-1, магазин «Магнат»
",28.06.2011 г.,01.07.2011г.,10.12.2011г.,,
77,"Общество с ограниченной ответственностью 
«Апшерон» 
ИНН 3819015020

","МИ ФНС № 8 по Иркутской обл. и УОБАО
Юр.  адрес:
г. Усолье-Сибирское 
о. Варничный, район пристани
","Сер. А 221934 рег. № 179 от 22.12.2010 г. с 22.12.2010 г. по 21.12.2011 г.
","г. Усолье-Сибирское, о. Варничный, район пристани, кафе «Апшерон»

",,,22.12.2011г.,,
78,"Закрытое акционерное общество ""ОНИКС"" ИНН 3851000211","МИ ФНС № 18 по Иркутской области            Юр. адрес:                        г. Усолье-Сибирское                            ул. Толбухина, 3",Сер. А 221937 рег. № 182 от 18.01.2011 г. с 18.01.2011 г. по 17.01.2012 г.,"г. Усолье-Сибирское, ул. Энгельса, 1, продовольственный магазин",,,18.01.2012г.,,
79,"Общество с ограниченной ответственностью ""Анар""                                                                                                                                                                                                      ИНН 3851001737","МИ ФНС № 18 по Иркутской области            Юр. адрес:                        г. Усолье-Сибирское                            ул. Магистральная, 14б",Сер. А 221939 рег. № 183 от 28.01.2011 г. с 28.01.2011 г. по 27.01.2012 г.,"г. Усолье-Сибирское, ул. Магистральная, 14б, отдел в магазине ""Империя""",,,28.01.2012г.,,
80,"Общество с ограниченной ответственностью ""Телец-Маркет"" ИНН3851001222","МИ ФНС № 18 по Иркутской области                                                                                                                                                                                                                                                                                      Юр. адрес:                                                                                                                                                                                                                                                                                                                        г. Усолье-Сибирское                                                                                                                                                                                                                                                                                                ул. Стопани, 49","Сер. А 221940 рег. № 186 от 02.03.2011 г. с 02.03.2011 г. по 01.03.2012 г.
переоформлена 29.06.2011 г.
Сер. А 221954 рег. № 197
с 29.06.2011 г. по 01.03.2012 г.","1. ул. Стопани, 49, магазин ""Телец""
2. пр. Комсомольский, 18, магазин ""Телец""
3. пр. Ленинский, 6, магазин ""Телец""",,,02.03.2012г.,,
81,"Общество с ограниченной ответственностью ""ВАН""                                                                                                                                                                                                                                                              ИНН 3819023197","МИ ФНС № 8 по Иркутской области                                                                                                                                                                                                                                                                                      Юр. адрес:                                                                                                                                                                                                                                                                                                                        г. Усолье-Сибирское                                                                                                                                                                                                                                                                                                ул. Карла Либкнехта, 62",Сер. А 221941 рег. № 187 от 02.03.2011 г. с 02.03.2011 г. по 01.03.2012 г.,"г. Усолье-Сибирское, ул. Карла Либкнехта, 62, отдел в магазине ""ВАН""",,,02.03.2012г.,,
82,"Общество с ограниченной ответственностью ""ДЮНА""                                                                                                                                                                                                                                                  ИНН 3851001617","МИ ФНС № 18 по Иркутской области                                                                                                                                                                                                                                                                                      Юр. адрес:                                                                                                                                                                                                                                                                                                                        г. Усолье-Сибирское                                                                                                                                                                                                                                                                                                ул. Куйбышева, 11-48",Сер. А 221943 рег. № 188 от 17.03.2011 г. с 17.03.2011 г. по 16.03.2012 г.,"г. Усолье-Сибирское, ул. Богдана Хмельницкого, 2, вино-водочный отдел в магазине ""Дорожный""",,,17.03.2012г.,,
83,"Общество с ограниченной ответственностью 
«СВЕТ»
ИНН 3819023045
","МИ ФНС России № 8 по Иркутской обл. Юр. адрес:
г. Усолье-Сибирское, 
ул. Менделеева, 45
","Сер. А 221946 рег. № 191 от 01.04.2011 г.
с 01.04.2011 г. по 31.03.2012 г. 

","г. Усолье-Сибирское, ул. Менделеева, 45, отдел ""Виноводочный"" в магазине «Светлана»
",,,01.04.2012г.,,
84,"Общество с ограниченной ответственностью
«Арктика»
ИНН 3819013343
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г.Усолье-Сибирское
пр.Кр.партизан, 29«Б»
","Сер. А 221947 рег. № 192 от 06.04.2011 г. с 06.04.2011 г. по 05.04.2012 г.
","г. Усолье-Сибирское, пр. Кр. партизан, 29«Б» - магазин «Арктика»",,,06.04.2012г.,,
85,"Общество с ограниченной ответственностью
«Блюз»
ИНН - 3819016961
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское 
ул. Менделеева, 57
","Сер. А 221955 рег. № 196 от 01.07.2011 г. 
с 01.07.2011 г. по 30.06.2012 г.
","ул. Менделеева, 57 – кафе «Блюз»",,,,,
86,"Общество с ограниченной ответственностью
«Ассорти»
ИНН - 3819023260
","МИ ФНС № 18 по Иркутской области 
Юр.  адрес:
г. Усолье-Сибирское 
пр. Красных партизан, 3
","Сер. А 221966 рег. № 205 от 19.10.2011 г. 
с 19.10.2011 г. по 18.10.2012 г.
","пр. Красных партизан, 3, отдел в магазине ""Ассорти""",,,,,
87,"Общество с ограниченной ответственностью «Эбису»
ИНН 3851000518
","МИ ФНС № 18 по Иркутской области
Юр. адрес:
г. Усолье-Сибирское
пр. Космонавтов, 48-1 
","Сер. А 221973 рег. № 210 от 13.12.2011 г. с 13.12.2011 г. по 12.12.2012 г.
","г. Усолье-Сибирское, пр. Космонавтов, 48-1, магазин «Магнат»
",,,,,
88,"Общество с ограниченной ответственностью 
«Фирма ЛТД»
ИНН 3819001394
","МИ ФНС № 8 по Иркутской обл. и УОБАО
Юр.  адрес:
г. Усолье-Сибирское, пр. Космонавтов, 9
","Сер. А 221975 рег. № 211 от 27.12.2011 г. 
с 27.12.2011 г. по 26.12.2012 г.
","пр. Космонавтов, 9, магазин «Колос»
",,,,,
89,"Общество с ограниченной ответственностью 
«Эмилия»
ИНН 3819017250
","МИ ФНС № 8 по Иркутской обл. и УОБАО
Юр.  адрес:
г. Усолье-Сибирское, 
ул. Суворова, 5
","Сер. А 221976 рег. № 213 от 26.01.2012 г. 
с 26.01.2012 г. по 25.01.2013 г.
","ул. Луначарского, 39а, магазин ""Купи сам""
",,,,,
90,"Общество с ограниченной ответственностью 
«Мираж»
ИНН 3819017852
","МИ ФНС № 8 по Иркутской обл. и УОБАО
Юр. адрес: 
г. Усолье-Сибирское, 
ул. Магистральная, 14а
","Сер. А 221977 рег. № 214 от 30.01.2012 г. 
с 30.01.2012 г. по 29.01.2013 г.


","1. ул. Магистральная, 14, отдел в магазине ""Продукты""
2. ул. Магистральная, 14а, магазин",,,,,
91,"Общество с ограниченной ответственностью ""Анар""                                                                                                                                                                                                      ИНН 3851001737","МИ ФНС № 18 по Иркутской области            
Юр. адрес: г. Усолье-Сибирское                            
ул. Магистральная, 14б","Сер. А 221978 рег. № 215 от 31.01.2012 г. 
с 31.01.2012 г. по 30.01.2013 г.","г. Усолье-Сибирское, ул. Магистральная, 14б, магазин ""Империя""",,,,,
