№ дела,"Наименование организации, организационно-правовая форма",ИНН организации,КПП организации,Место нахождения организации,Адрес электронной почты,Адрес места осуществления лицензируемого вида деятельности обособленным подразделением организации,КПП обособленного подразделения организации,Код субъекта РФ по месту нахождения организации,Код субъекта РФ по месту осуществления лицензируемого вида деятельности обособленным подразделением организации,Вид лицензируемой деятельности,Вид продукции, Серия лицензии,Номер лицензии,Наименование лицензирующего органа выдавшего лицензию,Дата выдачи лицензии,Дата окончания действия лицензии,Дата приостановления действия лицензии,Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования действия лицензии,Статус лицензии,Дата изменения статуса,Регистрационный номер лицензии,Руководитель организации,Контактный телефон,К-во лицензиатов,К-во объектов,в т.ч. объектов общественного питания,Дата государственной регистрации ЮЛ,ОГРН,Плановая проверка (когда),количество объетов,Внеплановая проверка,количество объектов,,,,,,,,,,,,
,,,,,,,,,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,"ООО ""Аленка""",6817003867,681701001,"Сампурский р-н,                      с.Сампур"",3 пер.                                         М.Горьког,2",,"1.с.Сампур,3 пер.М.Горького,2,магазин ""Аленка""",,68,,розничная продажа алкогольной продукции,,     68МЕ                  ,004826,Управление по развитию промышленности и предпринимательства Тамбовской области,20.07.2012,20.07.2013     ,,,,,действующая,,4600 от 19.07.2012,Еремина                           Нина                              Никитична,(47556)4-15-39; 89204792331,1,1,,6/23/2006,1066816018059,,,,,,,,,,,,,,,,
1392,"ООО ""Мечта""",6816005653,681701001,"Сампурский р-н, п. Сатинка, ул. Кооперативная, 45",dfkz60@mail.ru,"1.Сампурский р-н, п. Сатинка, ул. Кооперативная, 45",,68,,,,68 МЕ  ,004398,Управление по развитию промышленности и предпринимательства Тамбовской области,22.12.2012,15.09.2014,,,,,действующая,,21.12.2011 № 4070,Рязанова Александра Александровна,84755525974    89027223492  84755622192,1,1,,5/26/2009,1096816000412,,,,,,,,,,,,,,,,
873,"ООО ""Сосед""",6817003899,681701001,"Сампурский р-н,                         с.Сампур,                               ул.Советская,122",,"1.Сампурский р-н.с.Сампур,ул.Со                       ветская,122,магазин ""Сосед""",,68,,,,68 МЕ  ,004369,Управление по развитию промышленности и предпринимательства Тамбовской области,31.01.2012 ,31.01.2013,,,,,действующая,,19.12.2011 № 4060,Рамазанов                                              Ровшан                                                         Хейрула Оглы,(475 56)                  4-13-97   89204786678,1,1,,11/20/2006,1066816018631,,,,,,,,,,,,,,,,
913,"ООО ""Водолей""",6817003948,,"Сампурский р-н,                 с.Сампур,                       ул.Советская,92",,"1.Сампурский р-н,с.Сампур,ул.Со     ветская,92,магазин ""Водолей""",,68,,,,МЕ                     ,002642 ,Управление по развитию промышленности и предпринимательства Тамбовской области,01.04.07,01.04.2012,,,,,истекла,,,Гуляева                Наталия                                        Вениаминовна,, , ,,,1076816000095,,,,,,,,,,,,,,,,
1028,"ООО ""Русь""",6817003987,,"Сампурский р-н, п. Сатинка, ул. Кооперативная, 56 б",,"1. Сампурский р-н, п. Сатинка, ул. Кооперативная, 56б   магазин ""Русь""",,68,,,,МЕ  , 002854,Управление по развитию промышленности и предпринимательства Тамбовской области,14.09.2007,14.09.2012,,,,,истекла,9/14/2012,,Асеян Варужан Давитович,21056     89065989502, , ,,,1076816000425,,,,,,,,,,,,,,,,
1028,"ООО ""Русь""",6817003987,681701001,"Сампурский р-н, п. Сатинка, ул. Кооперативная, 56 б","aceyan@yandex,ru","1. Сампурский р-н, п. Сатинка, ул. Кооперативная, 56 Б   магазин ""Русь""",,68,68,,,68МЕ,004982,Управление по развитию промышленности и предпринимательства Тамбовской области,05.10.2012,05.10.2013,,,,,действующая,,,Асеян Варужан Давитович,89537078566,1,1,,5/25/2007,1076816000425,,,,,,,,,,,,,,,,
1168,"ООО ""Визит""",6817004067,681701001,"Сампурский район, п. Сатинка, ул. Дружбы, 20",,"1. Сампурский район, п. Сатинка, ул. Дружбы, 20 - магазин ""Визит""",,68,,,,68 МЕ  ,003118,Управление по развитию промышленности и предпринимательства Тамбовской области,05.05.08 ,05.05.2013,,,,,действующая,,,Бороденко Елена Николаевна,"89027219536, 89065976572, (47556) 45789",1,1,,,1086816000237,,,,,,,,,,,,,,,,
1270,"ООО ""Удача""",6817004123,681701001,"Сампурский район, с. Верхоценье, ул. Центральная, д. 11 а",,"1. Сампурский район, с. Верхоценье, ул. Центральная,  1 а - павильон ""Пятачок""",,68,,,,68 МЕ   ,003301,Управление по развитию промышленности и предпринимательства Тамбовской области,08.12.2008,08.12.2013,,,,,действующая,,,Воронина Ольга Николаевна,"847556- 42643, 89158758837",1,1,,,1086816000622,,,,,,,,,,,,,,,,
1306,"ООО ""Мечта""",6817004148,681701001,"Сампурский район, свх. Россия, ул. Ленина, 5",,"1. Сампурский р-он, свх. Россия, ул. Ленина, 5 - кафе",,68,,,,68 МЕ ,003344 ,Управление по развитию промышленности и предпринимательства Тамбовской области,14.01.09 ,14.01.2014,,,,,действующая,,№ 2457 от 14.01.2009,Лобова Лидия Алексеевна,"84755647265, 89106557605",1,1,,,1086816000666,,,,,,,,,,,,,,,,
1385,"ООО ""Радуга""",6817003962,681701001,"Сампурский р-н, пос. Сатинка, ул. Кооперативная, 43 г",,"  1.Сампурский р-н, пос. Сатинка, ул. Кооперативная,  43 г; магазин",,68,,,,68 МЕ  ,003476,Управление по развитию промышленности и предпринимательства Тамбовской области,13.08.2009,13.08.2014,,,,,действующая,,,Гаджиева Хазинат Абдуразаковна,89066582371   89066581353,1,1,,,1076816000205,,,,,,,,,,,,,,,,
1511,"ООО ""Гламур""",6817000489,681701001,"Сампурский р-он, п. с-за ""Россия""",k-komarova@bk.ru,"1. Сампурский р-он, п. с-за ""Россия"", ул. Ленина, 5 - магазин; 2.Сампурский р-н, с. Перикса, ул. Школьная, 19",,68,,,,68 МЕ   ,003692,Управление по развитию промышленности и предпринимательства Тамбовской области,22.02.2012,22.02.2013,,,,,действующая,,21/02/2012 №4182,Порядина Оксана Николаевна,"891006504444, 89156799063   89156742053 (Галина Сергеевна)",1,2,,2/8/2011,1116816000113,,,,,,,,,,,,,,,,
1570,"ООО ""Ника""",6817000538,681701001,"Сампурский р-н, с. Сампур, ул. Советская, 81",,"Сампурский р-н, с. Сампур, ул. Советская, 81 магазин",,68,,,,68 МЕ ,004409,Управление по развитию промышленности и предпринимательства Тамбовской области,27.12.2011,27.12.2012,,,,,действующая,,26.12.2011 № 4112,Гречин Николай Николаевич,89204786659,1,1,,10/5/2011,1116816000400,,,,,,,,,,,,,,,,
1591,"ООО ""Доброе""",6817000552,681701001,"Сампурский р-н, п. Сатинка, ул. Советская, 2б",,"1. Сампурский р-н, п. Сатинка, ул. Советская, 2б,кафе",,68,68,розничная продажа алкогольной продукции,,68 МЕ,004544,Управление по развитию промышленности и предпринимательства Тамбовской области,14.04.2012,14.04.2013,,,,,действующая,,4293 от 13.04.2012,Самойлов Эдуард Юрьевич,89537034804,1,1,1,11/22/2011,1116816000620,,,,,,,,,,,,,,,,
1608,"ООО ""Стандарт""",6817000584,681701001,"Сампурский р-н, с. Ивановка, ул. Колхозная, 1б",sokolov-68@list.ru,"1. Сампурский р-н, с. Ивановка, ул. Колхозная, 1б, магазин",,68,68,розничная продажа алкогольной продукции,,68МЕ ,004809,Управление по развитию промышленности и предпринимательства Тамбовской области,17.07.2012,17.07.2013,,,,,действующая,,4581 от 16.07.2012,Болотова Надежда ивановна,89156643855,1,1,,5/12/2012,1126828000265,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"ООО ""Дорожник""",6818005264,681801001,"Сосновский р-н, р.п. Сосновка, переулок Райвоенкоматовский, д.21",,"1.р.п.Сосновка,ул.Мичурина, 79 магазин;  ",,68,68,розничная продажа алкогольной продукции,,68МЕ  ,004855,Управление по развитию промышленности и предпринимательства Тамбовской области,01.08.2012,01.08.2013,,,,,действующая,,31.07.2012 № 4641,Киракосян Манвел Шаликоевич,"(47532)26595, 89156666612 (Федрик Гарегинович)",1,1,,11/18/2002,1026800856752,09.02.2012,,,,,,,,,,,,,,,
,,,,,,"2.Сосновский район, с.Вирятино, ул. Тамбовская, 2, магазин ""Маргарита""",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,, ,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"3. р.п.Сосновкка,пу.Военкоматовский,21,кафе; 4. г. Тамбов, Рассказовское шоссе, 2е - кафе ""Севан""            ",,68,68,розничная продажа алкогольной продукции,,68,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,
48,"ООО""Нил""",6818027902,681801001,"Сосновский р-н, с.Отъясы, ул. Захарова, 68",nill1550@yandex.ru,"1.с.Русское, ул.Моторина, 37 магазин ""Продукты""                                                                                                                           ",,68,,,,68МЕ ,004490,Управление по развитию промышленности и предпринимательства Тамбовской области,28.03.2012,28.03.2013,,,,,действующая,,4224 от 20.03.2012,Казначеева                             Нина                            Сергеевна,"(47532)                     6-83-00, 89606678829 (Домнышев Алексей Семенович)",1,1,,9/20/2002,1026800855069,2008,,,,,,,,,,,,,,,
,,,,,,"2.с.Отъяссы,ул.Захарова,68, магазин ""Продукты"" ",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"3.с.Отъяссы,ул.Захарова,168, магазин ""Продукты""",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"4. с. Отъясы, ул. Захарова, 68; кафе",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
160,"ООО ""Вероника""",6818005546,681801001,"Сосновский р-он, с. Ольхи, ул. Центральная, 131",karganova_vera@mail.ru,"1.Сосновский р-он, с. Ольхи, ул. Центральная, 131 - магазин ""Вероника""",,68,68,розничная продажа алкогольной продукции,,68 МЕ  ,004754,Управление по развитию промышленности и предпринимательства Тамбовской области,04.07.2012,04.07.2013,,,,,действующая,,4530 от 03.07.2012,Карганова                        Вера                           Михайловна,(232)  6 -12-10      89616188753,1,1,,10/28/2002,1026800856092,,,,,,,,,,,,,,,,
129,"ООО ""Мицар-2""",6818002697,681801001," р.п.Сосновка,                    ул.Вокзальная,  д.21",plalv@yandex.ru,"1.р.п.Сосновка,ул.Гагарина,32,магазин ""Мицар-2""                                                                                                      ",,68,,,, 68 МЕ                          ,004593,Управление по развитию промышленности и предпринимательства Тамбовской области,12.05.2012 ,12.05.2013,,,,,действующая,,4348 от 11.05.2012,Платицин                      Алексей         Петрович,(47532)  24-036; 8-902-7-274-104,1,1,,12.09.2002,1026800854960,,,,,,,,,,,,,,,,
,,,,,,"2.р.п.Сосновка,ул.Вокзальная,19,магазин ""Мицар-2""",,68,,,,,, ,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,, ,, ,,,,,, ,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,
629,"СХПК ""Сосновский""",6818003010,681801001,"р.п.Сосновка,                ул.Мичурина,           д.128",,"1.р.п.Сосновка,ул.Мичурина,128 -магазин",,68,,,,68МЕ  ,004304,Управление по развитию промышленности и предпринимательства Тамбовской области,24.11.2011,24.11.2012,,,,,действующая,,23.11.2011 № 3984,Ярцев Виктор Викторович,89027278615; (89202332457 - Ирина Григорьевна),1,1,,5/27/1998,1026800855146,,,,,,,,,,,,,,,,
969,"ООО ""Дуэт""",6818029138,,"Сосновский р-н,                               р.п.Сосновка,                                              ул.Мичурина,44-а",,"1.р.п.Сосновка,ул.Мичурина,44-а,                        павильон ""Елена""",,68,,,,МЕ                                   ,002745,Управление по развитию промышленности и предпринимательства Тамбовской области,05.06.07,05.06.2012,,,,,истекла,,,Караваева                                                         Надежда                                                  Ивановна,(232) 21-8-61                                  89092378742, , ,,,1076809000179,,,,,,,,,,,,,,,,
974,"ООО ""Ореол""",6818005585,681801001,"Сосновский р-н,                                     с.Верхняя Ярославка,                                ул.Центральная,33 а",oreol.70@mail.ru,"1.Сосновский р-н,с.Верхняя Ярославка,ул.Центральная, 33а магазин",,68,,,,68 МЕ                                            ,004662,Управление по развитию промышленности и предпринимательства Тамбовской области,18.06.2012,18.06.2013,,,,,действующая,,4429 от 15.06.2012,Хлопков                                                                        Владимир                                         Иванович,89537148708  89537239307,1,1,,12/29/2006,1026800856829,,,,,,,,,,,,,,,,
786,"ООО ""Мираж""",6818005955,681801001,"Сосновский р-н, с.Кулеватово,ул.Це                   нтральная,110-в",,"1.Сосновский р-н,с.Кулеватово,                                    п.Рабочий,павильон                                                    2.Сосновский р-н,с.Кулеватово,ул. Центральная, 110в ма                             газин",,68,,,,68 МЕ  ,004364,Управление по развитию промышленности и предпринимательства Тамбовской области,19.12.2011,19.12.2016,,,,,действующая,,13.12.2001 № 4052,Белякова                              Галина                               Владимировна,(232)                                             5-25-81,1,2,,10/23/2002,1026800855971,,,,,,,,,,,,,,,,
850,"Сосновское,                Райпо",6818002175,681801001,"Сосновский р-н, р.п.Сосновка,         ул.Вокзальная,       д.23",,"1Сосновский р-н,с.Ольхи,ул.Советская,2,бар 2.Сосновский р-н,с.Подлесное,ул.Советская,26-а,бар                                            ",,68,,,,68МЕ  ,004358,Управление по развитию промышленности и предпринимательства Тамбовской области,17.01.2012,17.01.2014,,,,,действующая,,09.12.2011 № 4044,Некрасова                                        Валентина                                                Ивановна,"(47532)2-65-37,89027292774 ",1,2,2,11/18/2002,102680085673,,,,,,,,,,,,,,,,
,,,,,,"3.Сосновский р-н,с.Стежки,ул.Советская,85,бар",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
,,,,,,"4.Сосновский р-н,с.Третьи Левые                                                                                                                          Ламки,ул.Интернациональная,65-а,                                           бар",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
,,,,,,"5Сосновский р-н,с.Дегтянка,ул.Ле-                      нинская,125,бар   ",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
,,,,,,"6.р.п.Сосновка,ул.Гагарина,17,магазин ""Продукты №1""",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"7.р.п.Сосновка,ул.Гагарина,30,магазин ""Продукты №2""",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"8.р.п.Сосновка,ул.Интернациональная,195,магазин ""Продукты №3""",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"9.р.п.Сосновка,ул.Мичурина,59,магазин ""Продукты №4""",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"10.р.п.Сосновка,ул.Интернациональная,220,магазин ""Водка""",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"11.р.п.Сосновка,ул.Интернациональная,218,магазин ""Хлеб,Гастроном""",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"12.р.п.Сосновка,ул.Гагарина,27,магазин ""Кулинария""",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"13.Сосновский р-н,с.Правые Ламки,                 ул.Центральная,2-в,магазин №1",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"14.Сосновский р-н,с.Третьи Левые                               Ламки,ул.Интернациональная,65-а,                       магазин №2",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"15.Сосновский р-н,с.Третьи Левые Ламки,ул.Почтовая,16-а,магазин №3",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"16.Сосновский р-н,с.Первые Левые                            Ламки,ул.Пролетарская,57-а,магазин №4",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"17.Сосновский р-н,с.Подлесное,ул                                                    Советская,24-а,магазин №5",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"18.Сосновский р-н,с.Подлесное,ул                                                    Советская,117,магазин №6",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"19.Сосновский р-н,с.Советское,ул.                                    Центральная,58,магазин №7",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"20.Сосновский р-н,с.Советское,ул.                                    Интернациональная,2,магазин №8",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"21.Сосновский р-н,с.Стежки,ул.Со-                       ветская,140-а,магазин №9",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"22.Сосновский р-н,с.Стежки,ул.Со-                   ветская,85,магазин №10",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"23.Сосновский р-н,с.Стежки,ул.Советская,45-а,магазин №11",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"24.Сосновский р-н,с.Титовка, ул.Центральная, 60,магазин  №12 ",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"25.Сосновский р-н,с.Дегтянка,                                    ул.Ленинская,125,магазин №13",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"26.Сосновский р-н,с.Дегтянка,                                    ул.Ленинская,104,магазин №15",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"27.Сосновский р-н,с.Дегтянка,                                    ул.Первомайская,12/3,магазин №17",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"28.Сосновский р-н,с.Чекмари,                              ул.Красная,28-а,магазин №18",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"29.Сосновский р-н,с.Н.Слобода,                               ул.Ленинская,53,магазин №19",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"30.Сосновский р-н,с.Березовка,                                            ул.Центральная,18,магазин №20",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"31Сосновский р-н,с.К.Брод,ул.Ин-                 тернациональная,68,магазин №21",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"32.Сосновский р-н,с.Челнаво-Рож-                              дественское,ул.Центральная,13/1                                        магазин №22",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"33.Сосновский р-н,с.Челнаво-Рож-                              дественское,ул.Кольцевая,12,                                        магазин №23",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"34.Сосновский р-н,с.Ч-Дмитриевка,                        ул.Зеленая,24,магазин №24",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"35.Сосновский р-н,с.Ч-Покровка,                         ул.Ленина,26-а,магазин №25",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"36.Сосновский р-н,с.Русский Кар-   дон,11,магазин №26",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"37.Сосновский р-н,с.Мамонтово,                                                                             д.34,магазин №28",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"38.Сосновский р-н,с.Отъяссы,                            ул.Захарова,177,магазин №31",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"39.Сосновский р-н,с.Хлебниково,                 д.13,магазин №32",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"40.Сосновский р-н,с.Кулеватово,                                 ул.Центральная,45-б,магазин №33",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"41.Сосновский р-н,с.Кулеватово,                                 ул.Центральная,133-б,магазин №34",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"42.Сосновский р-н,с.Семикино,                                ул.Колхозная,1-б,магазин №35",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,, ,,,,,,,,,,,,,,,
,,,,,,"43.Сосновский р-н,с.Кр.Хутор,                                                       ул.Бахмут,44--а,магазин №36",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"44.Сосновский р-н,с.Перкино,                               ул.Центральная,139-д,магазин №37",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"45.Сосновский р-н,с.Заречье,ул.Це                      нтральная,6,магазин №38",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"46.Сосновский р-н,с.Семикинский л.участок,ул.Школьная,26,магазин                      №39",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"47.Сосновский р-н,Сем икинское лесничество, ул. Лесная,магазин №40",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"48.Сосновский р-н,с.Ольхи,ул.Со-          ветская,2,магазин №41",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"49.Сосновский р-н,с.2-е Левые Ламки,ул.Центральная,164,магазин                                                  №42",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"50.Сосновский р-н,с.Н.Ярославка,                                                 ул.Половинкина,48-а,магазин №43",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"51.Сосновский р-н,с.Н.Павловка,                                ул.Центральная,36-а,магазин №44",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"52.Сосновский р-н,с.Н-Поповка,                       ул.Центральная,15-а,магазин №45",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"53.Сосновский р-н,с.Зеленое,ул.Со                   ветская,1-а,магазин №46",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"54.Сосновский р-н,с.Н.Покровка,                                                ул.Зеленая,48,магазин №47",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"55.Сосновский р-н,с.Домнино,                         ул.Заречная,33-а,магазин №48",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"56.Сосновский р-н,с.Христофоров                     ка,ул.Новая,28-а,магазин №49",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"57.Сосновский р-н,с.Ильиновка,                      ул.Рабочая,19-а,магазин №50",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"58.Сосновский р-н,с.Андреевка,                       ул.Школьная,5-а,магазин №51",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"59.Сосновский р-н,с.Лизуновка,                 ул.Школьная,128-а,магазин №52",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"60.Сосновский р-н,с.Александровка, ул. Совхозная, 22, магазин №54",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"61.Сосновский р-н,с.Н.-Черкасовка, ул. Слободская, 25магазин №55 ",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"62.Сосновский р-н,с.В-Ярославка                                                   ул.Советская,81-а,магазин №56",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"63.Сосновский р-н,с.П.Васильевка,                                             ул.Пролетарская,59-а,магазин №57",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
