,,,,,,,,
,№ ,№ ,Организация,Вид ,Место действует,,Местонахождение,ИНН
,Е 002763,РА-1143/09," ООО ""Александр""",Действует,24.10.09,23.10.12,"г.Новосибирск, ул.Блюхера, 27",5404274454
,Е 003962,РА-0114/11," ООО ""Боулинг-Бар"" ОГРН 1025401490454",Действует,19.03.11,18.03.14,"г.Новосибирск, ул.Блюхера, 32",5433143657
,Е 001861,РА-429/09," ООО ""Элегант"" ОГРН 1035401486218",Действует,16.05.09,14.05.12,"г.Новосибирск, ул.Блюхера, 47",5404108841
,Е 004312,РА-0452/11," ООО ""Волна"" ОГРН 1075404020647",Действует,22.07.11,21.07.14,"г.Новосибирск, ул.Блюхера, 65",5404333290
,Е 003719,РА-0722м/10," ООО ""Мастер Кофе"" ОГРН 1085404026366",Действует,10.12.10,09.12.11,"г.Новосибирск, ул.Блюхера, 71",5404372451
,Е 001297,РА-780/08," ООО ""Мистель"" ОГРН 1085404029204",Действует,19.12.08,18.12.11,"г.Новосибирск, ул.Блюхера, 71",5404375195
,Е 001824,РА-405/09," ООО ""Тарвега""",Действует,05.05.09,04.05.12,"г.Новосибирск, ул.Блюхера, 73/1",5404267305
,Е 003947,РА-0101/11," ООО ""АльянсБизнесСтрой"" ОГРН 1065404109935",Действует,12.03.11,11.03.12,"г.Новосибирск, ул.Большая, 252",5404298582
,Е 002093,РА-660/09," ООО ""Альва""",Действует,18.06.09,17.06.12,"г.Новосибирск, ул.Большая, 366",5404275779
,Е 004219,РА-0363/11," ООО ""Новоком"" ОГРН 1075405009602",Действует,29.06.11,28.06.12,"г.Новосибирск, ул.Большевистская, 103",5405341128
,Е 001729,РА-316/09," ООО ""ТРИКОМ"" ОГРН 1025401929453",Действует,18.04.09,17.04.12,"г.Новосибирск, ул.Большевистская, 131",5405123088
,Е 002580,РА-970/09," ООО ""ГрандТорг"" ОГРН 1065405114356",Действует,18.08.09,17.08.12,"г.Новосибирск, ул.Большевистская, 131",5405314830
,Е 002582,РА-975/09," ООО ""Сибстройресурс"" ОГРН 1025401927760",Действует,19.08.09,18.08.12,"г.Новосибирск, ул.Большевистская, 135",5405173152
,Е 004266,РА-0409/11," ООО ""Сибирская булочная"" ОГРН 1065405129602",Действует,08.07.11,07.07.12,"г.Новосибирск, ул.Большевистская, 135/2",5405325581
,Е 004422,РА-0598м/10," ООО ""Феликс"" ОГРН 1045401927306",Действует,20.10.11,19.10.12,"г.Новосибирск, ул.Большевистская, 153  Аэп: eishakova@mail.ru",5405275411
,Е 004001,РА-0150/11," ООО фирма ""Тойма"" ОГРН 1025401938088",Действует,05.04.11,04.04.12,"г.Новосибирск, ул.Большевистская, 171",5405192910
,Е 003591,РА-0595м/10," ООО ""АЛТАЙ-С"" ОГРН 1025401932225",Действует,19.10.10,18.10.12,"г.Новосибирск, ул.Большевистская, 175/6",5401156149
,Е 002578,РА-972/09," ООО ""Сибирь-Шоу"" ОГРН 1025401931785",Действует,18.08.09,17.08.12,"г.Новосибирск, ул.Большевистская, 24",5406129886
,Е 002301,РА-841/09," ОАО ""Завод Труд""",Действует,09.07.09,08.07.12,"г.Новосибирск, ул.Большевистская, 24а",5405108178
,Е 002675,РА-1060/09," ООО ""Новосибирск-Т"" ОГРН 1065405123190",Действует,26.09.09,25.09.12,"г.Новосибирск, ул.Большевистская, 255",5405321675
,Е 002828,РА-1204/09," ООО ""Родник"" ОГРН 1095405018697",Действует,05.11.09,04.11.12,"г.Новосибирск, ул.Большевистская, 29",5405397890
,Е 003966,РА-0117/11," ООО ""НОК"" ОГРН 1045401938460",Действует,17.03.11,16.03.12,"г.Новосибирск, ул.Большевистская, 48",5405279328
,Е 003954,РА-0107/11," ООО ""Нок-Сибирь"" ОГРН 1105476082953",Действует,16.03.11,15.03.14,"г.Новосибирск, ул.Большевистская, 48",5405423910
,Е 001666,РА-257/09," ЗАО ""Геолог-С"" ОГРН 1025403648775",Действует,04.04.09,03.04.12,"г.Новосибирск, ул.Боровая партия, 13",5408163106
,Е 002329,РА-869/09," ООО ""БОРОК"" ОГРН 1025401925174",Действует,18.07.09,17.07.12,"г.Новосибирск, ул.Бугурусланская, 17",5405108883
,Е 004151,РА-0296/11," ООО ""Саунд энд вижн"" ОГРН 1025403662261",Действует,03.06.11,02.06.12,"г.Новосибирск, ул.Бульвар Молодежи, 21",5408174531
,Е 004437,РА-604/08," ООО ""Солнышко"" ОГРН 1025403663230",Действует,01.11.11,31.10.14,"г.Новосибирск, ул.Варшавская, 12  Аэп: sunnygold10@mail.ru",5408118417
,Е 004426,РА-0511/11," ООО ""Сибирские пельмени"" ОГРН 1095404004740",Действует,24.10.11,23.10.12,"г.Новосибирск, ул.Ватутина, 12    Аэп: Sibpel12@mail.ru",5404384513
,Е 002943,РА-1314/09," ООО ""АНВА"" ОГРН 1055404166960",Действует,07.12.09,06.12.12,"г.Новосибирск, ул.Ватутина, 16",5404259978
,Е 002356,РА-893/09," ООО ""КЛИФФ"" ОГРН 1035401480322",Действует,24.07.09,23.07.12,"г.Новосибирск, ул.Ватутина, 17/1",5404141662
,Е 004379,РА-508/08," ООО ""Окшин плюс"" ОГРН 1055404078619",Действует,25.09.11,24.09.16,"г.Новосибирск, ул.Ватутина, 21  Аэп: kadry@torro-alko.ru",5404248447
,Е 003773,РА-0776м/10," ООО ""Честер"" ОГРН 1105476066090",Действует,23.12.10,22.12.11,"г.Новосибирск, ул.Ватутина, 23",5404422529
,Е 001971,РА-545/09," ООО ""Марафон"" ОГРН 1025401298812",Действует,08.06.09,07.06.12,"г.Новосибирск, ул.Ватутина, 44",5433141307
,Е 001876,РА-452/09," ООО ""Даян"" ОГРН  1085403019063",Действует,23.05.09,22.05.12,"г.Новосибирск, ул.Ватутина, 85а",5403218721
,Е 003863,РА-0019/11," ООО ""Компания ЭОЛИСС"" ОГРН 1025403653978",Действует,29.01.11,28.01.12,"г.Новосибирск, ул.Вахтангова, 3а",5408135691
,Е 002536,РА-921/09," ООО ""Дельта ЛХ"" ОГРН 1025403638810",Действует,01.08.09,31.07.12,"г.Новосибирск, ул.Вахтангова, 5б",5433138304
,Е 004431,РА-592/08," ООО ""ПРЕДТОРГ"" ОГРН 1065403047379",Действует,27.10.11,26.10.16,"г.Новосибирск, ул.Вертковская, 23  Аэп: predtorg2010@mail.ru",5403184952
,Е 002298,РА-838/09," ООО ""КСО Джуманджи"" ОГРН 1065404089167",Действует,09.07.09,08.07.12,"г.Новосибирск, ул.Вертковская, 38",5404280440
,Е 001608,РА-203/09," ООО ""ВОКС"" ОГРН 1025403212372",Действует,24.03.09,23.03.12,"г.Новосибирск, ул.Вилюйская, 24",5407139157
,Е 002197,РА-751/09," ООО ""Брейкин"" ОГРН 1025401925174",Действует,27.06.09,26.06.12,"г.Новосибирск, ул.Владимировская, 1/1",5407016194
,Е 003860,РА-0016/11," ООО ""Виктория"" ОГРН 1095407012458",Действует,27.01.11,26.01.12,"г.Новосибирск, ул.Владимировская, 2ж",5407068308
,Е 003535,РА-0541м/10," ООО ""Радуга"" ОГРН 1065407136596",Действует,19.09.10,18.09.13,"г.Новосибирск, ул.Владимировская, 9",5407017060
,Е 001887,РА-463/09," ООО ""КиТ"" ОГРН 1095405011350",Действует,25.05.09,24.05.12,"г.Новосибирск, ул.Военная, 9",5405392901
,Е 002068,РА-636/09," ООО ""Бассейн Бугринский"" ОГРН 1055403081161",Действует,17.06.09,16.06.12,"г.Новосибирск, ул.Войкова, 54",5403178557
,Е 002636,РА-1025/09," ООО ""МегаТорг"" ОГРН 1065405117634",Действует,07.09.09,06.09.12,"г.Новосибирск, ул.Воинская, 63",5405316435
,Е 004300,РА-0441/11," ООО ""Емеля"" ОГРН 1095405010458",Действует,21.07.11,20.07.12,"г.Новосибирск, ул.Воинская, 63",5405391993
,Е 001530,РА-131/09," ООО ""АЛИС"" ОГРН 1035401918496",Действует,02.03.09,01.03.12,"г.Новосибирск, ул.Воинская, 71",5405248908
,Е 004069,РА-0217/11," ООО ""Дружба-С"" ОГРН 1095405010337",Действует,26.04.11,25.04.14,"г.Новосибирск, ул.Воинская, 71",5405391873
,Е 002513,РА-910/09," ООО ""Трио"" ОГРН 1065401092701",Действует,27.07.09,26.07.12,"г.Новосибирск, ул.Волочаевская, 165",5401268727
,Е 004417,РА-575/08," ООО ""Винэкс"" ОГРН 1035401910488",Действует,20.10.11,19.10.14,"г.Новосибирск, ул.Восход, 1а Аэп: lexus272@rambler.ru",5405215797
,Е 001446,РА-054/09," ООО ""Соко Джамбо"" ОГРН 1085405487530",Действует,04.02.09,03.02.12,"г.Новосибирск, ул.Восход, 20",5405385291
,Е 003728,РА-0731м/10," ООО ""АгроИнвест"" ОГРН 1105476045179",Действует,13.12.10,12.12.11,"г.Новосибирск, ул.Восход, 24",5405418645
,Е 004030,РА-0179/11," ООО ""Снежная королева"" ОГРН 1075405024606",Действует,12.04.11,11.04.12,"г.Новосибирск, ул.Выборная, 108",5405355184
,Е 003895,РА-0050/11," ООО ""КонтиненТ"" ОГРН 1105476100180",Действует,17.02.11,16.02.12,"г.Новосибирск, ул.Выборная, 117/1, кв.42",5405426340
,Е 004211,РА-0355/11," ООО ""СМАЙЛА"" ОГРН 1105476025137",Действует,22.06.11,21.06.12,"г.Новосибирск, ул.Выборная, 142/5",5405416060
,Е 004360,РА-455/08," ООО ""БАГИРА"" ОГРН 1065405119944",Действует,08.09.11,07.09.12,"г.Новосибирск, ул.Выборная, 56 Аэп: bagiraveta@yandex.ru",5405318834
,Е 002987,РА-1355/09," ООО ""Арбат"" ОГРН 1085405022560",Действует,10.12.09,09.12.12,"г.Новосибирск, ул.Выборная, 87/4",5405380913
,Е 002250,РА-799/09," ООО ""Петрович"" ОГРН 1065405120736",Действует,30.06.09,29.06.12,"г.Новосибирск, ул.Выборная, 99/1",5405319595
,Е 001845,РА-424/09," ООО ""МАГА"" ОГРН 1085405017290",Действует,13.05.09,12.05.12,"г.Новосибирск, ул.Высоцкого, 11",5405376089
,Е 003601,РА-0605м/10," ООО ""Альфа Ритейл Компани"" ОГРН 1105405006321",Действует,22.10.10,21.10.13,"г.Новосибирск, ул.Высоцкого, 9",5405409496
,Е 002056,РА-625/09," ООО ""Кристалл"" ОГРН 1065402014402",Действует,30.06.09,29.06.12,"г.Новосибирск, ул.Галущака, 1, кв.152",5402462879
,Е 004371,РА-0489/11," ООО ""НИКА"" ОГРН 1115476035795",Действует,13.09.11,12.09.12,"г.Новосибирск, ул.Галущака, 3   Аэп: vcusitalii@yandex.ru",5402536496
,Е 004458,РА-0652м/10," ООО ""Фарт-С"" ОГРН 1075402010870",Действует,09.11.11,08.11.12,"г.Новосибирск, ул.Галущака, 3  Аэп: koshkina_s@mail.ru",5402483519
,Е 004483,РА-1251/09," ООО ""Оазис"" ОГРН 1095402011671",Действует,19.11.11,18.11.13,"г.Новосибирск, ул.Галущака, 4  Аэп: oazis.nsk@mail.ru",5402517729
,Е 004342,РА-0477/11," ООО ""Иремель"" ОГРН 1095404010811",Действует,13.08.11,12.08.12,"г.Новосибирск, ул.Геодезическая, 13",5404390612
,Е 003659,РА-0662м/10," ООО ""Аккорд"" ОГРН 1065404088617",Действует,11.11.10,10.11.12,"г.Новосибирск, ул.Геодезическая, 2/1",5404279967
,Е 003460,РА-0474м/10," ООО ""Файл"" ОГРН 1105404003231",Действует,17.08.10,16.08.12,"г.Новосибирск, ул.Геодезическая, 2/1",5404408860
,Е 004296,РА-0437/11," ООО ""Тандем"" ОГРН 1115476039535",Действует,15.07.11,14.07.12,"г.Новосибирск, ул.Геодезическая, 2/1",5404434588
,Е 001472,РА-078/09," ООО ""Элди"" ОГРН 1025401504336",Действует,16.02.09,15.02.12,"г.Новосибирск, ул.Геодезическая, 23",5404133830
,Е 002682,РА-1066/09," ООО ""Рико"" ОГРН 1025403871921",Действует,25.09.09,24.09.12,"г.Новосибирск, ул.Героев Революции, 102/1",5409107288
,Е 001711,РА-299/09," ОАО ""Альянс"" ОГРН 1025403869490",Действует,10.04.09,09.04.12,"г.Новосибирск, ул.Героев Революции, 11",5409102346
,Е 002613,РА-1004/09," ООО Агентство недвижимости ""Проект"" ОГРН 1065473076305",Действует,31.08.09,30.08.12,"г.Новосибирск, ул.Героев революции, 11",5409228571
,Е 004264,РА-0407/11," ООО ТД ""Манеж"" ОГРН 1075473004210",Действует,07.07.11,06.07.12,"г.Новосибирск, ул.Героев Революции, 146/1",5409229448
,Е 003710,РА-0713м/10," ООО ""Фрегат-Н"" ОГРН 1105476078982",Действует,06.12.10,05.12.11,"г.Новосибирск, ул.Героев Революции, 69",5409235272
,Е 003188,РА-0212/10," ООО ""24 часа"" ОГРН 1025403662294",Действует,27.04.10,26.04.13,"г.Новосибирск, ул.Героев Труда, 35а",5408151291
,Е 004171,РА-0316/11," ЗАО ""НЕОКОМ""-ТОП"" ОГРН 1025403663350",Действует,09.06.11,08.06.12,"г.Новосибирск, ул.Гнесиных, 10",5408177733
,Е 001934,РА-510/09," ООО ""ПСУ-2 Новосибирскметрострой"" магазин ""Метрошоп"" ОГРН  1035402467957",Действует,02.06.09,01.06.12,"г.Новосибирск, ул.Гоголя, 11",5406176910
,Е 004080,РА-0228/11," ООО ""КАРС"" ОГРН 1035402489979",Действует,28.04.11,27.04.12,"г.Новосибирск, ул.Гоголя, 11",5406254365
,Е 002765,РА-1145/09," ООО ""РиМ"" ОГРН 1055406128084",Действует,22.10.09,21.10.12,"г.Новосибирск, ул.Гоголя, 11",5406310323
,Е 002938,РА-1309/09," ООО ""Дагаз"" ОГРН 1095406019213",Действует,03.12.09,02.12.12,"г.Новосибирск, ул.Гоголя, 11",5406535165
,Е 004305,РА-0446/11," ООО ""РБК"" ОГРН 1025402453251",Действует,21.07.11,20.07.12,"г.Новосибирск, ул.Гоголя, 12",5406155685
,Е 002518,РА-914/09," ООО ""РБК"" ОГРН 1085406037804",Действует,30.07.09,29.07.12,"г.Новосибирск, ул.Гоголя, 12",5406504791
,Е 002519,РА-915/09," ООО ""Райдо"" ОГРН 1095406021039",Действует,30.07.09,29.07.12,"г.Новосибирск, ул.Гоголя, 12",5406536881
,Е 004008,РА-0157/11," ООО ""Велес 2009"" ОГРН 1095406029685",Действует,05.04.11,04.04.12,"г.Новосибирск, ул.Гоголя, 12",5406545477
,Е 004385,РА-513/08," ООО ""БЕРКАНА"" ОГРН 1085406031061",Действует,26.09.11,25.09.14,"г.Новосибирск, ул.Гоголя, 12   Аэп: Sc_grand@mail.ru",5406448924
,Е 002734,РА-1115/09," ООО ""Лукоморье"" ОГРН 1085406029610",Действует,15.10.09,14.10.12,"г.Новосибирск, ул.Гоголя, 15",5406447705
,Е 004002,РА-0151/11," ООО ""СМАРТ"" ОГРН 1115476001410",Действует,01.04.11,31.03.12,"г.Новосибирск, ул.Гоголя, 15",5406655776
,Е 003861,РА-0017/11," ООО ""Аванта"" ОГРН 1105476094503",Действует,25.01.11,24.01.13,"г.Новосибирск, ул.Гоголя, 189/1",5401342709
,Е 002744,РА-1124/09," ООО ""ЛиМа"" ОГРН 1065401093735",Действует,18.10.09,17.10.12,"г.Новосибирск, ул.Гоголя, 203а",5401269752
,Е 002520,РА-916/09," ООО ""Кано"" ОГРН 1095406021017",Действует,30.07.09,29.07.12,"г.Новосибирск, ул.Гоголя, 21",5406536835
,Е 002521,РА-917/09," ООО ""Феу"" ОГРН 1095406021028",Действует,30.07.09,29.07.12,"г.Новосибирск, ул.Гоголя, 21",5406536850
,Е 004440,РА-0519/11," ООО ""Триумф"" ОГРН 1115476057234",Действует,31.10.11,30.10.14,"г.Новосибирск, ул.Гоголя, 38   Аэп: kolyadakafe5@yandex.ru",540666592
,Е 001629,РА-222/09," ООО ""ЛАСТОЧКА"" ОГРН 1095406003208",Действует,26.03.09,25.03.12,"г.Новосибирск, ул.Гоголя, 42",5406520793
,Е 001978,РА-552/09," ООО ""Сытый папа""",Действует,09.06.09,08.06.12,"г.Новосибирск, ул.Гоголя, 42",5406530431
,Е 004381,РА-0493/11," ООО ""АнаПоль"" ОГРН 1105476072580",Действует,21.09.11,20.09.12,"г.Новосибирск, ул.Гоголя, 42   Аэп: 2110-110@mail.ru",5406647239
,Е 003482,РА-0493м/10," ООО ТПК ""Столица Сибири"" ОГРН 1065406150787",Действует,31.08.10,30.08.13,"г.Новосибирск, ул.Гоголя, 42, кв.68",5406357699
,Е 003392,РА-0407м/10," ООО ""СТ-ГРУПП"" ОГРН 1035403206453",Действует,19.07.10,18.07.12,"г.Новосибирск, ул.Гоголя, 44",5407254470
,Е 004268,РА-0411/11," ООО ""ДСС Новосибирск"" ОГРН 1105476013026",Действует,09.07.11,08.07.13,"г.Новосибирск, ул.Гребенщикова, 12, кв.300",5410035415
,Е 002748,РА-1128/09," ООО ""СТК - Строй"" ОГРН 1085410009222",Действует,19.10.09,18.10.12,"г.Новосибирск, ул.Гребенщикова, 13",5410023071
,Е 002894,РА-1268/09," ООО ""СТК плюс"" ОГРН 1095410004535",Действует,24.11.09,23.11.12,"г.Новосибирск, ул.Гребенщикова, 13",5410027580
,Е 003109,РА-0134/10," ООО ""Солнечное плюс"" ОГРН 1095410005877",Действует,17.03.10,16.03.13,"г.Новосибирск, ул.Гребенщикова, 13",5410028922
,Е 003293,РА-0312/10," ООО ""СибСтар"" ОГРН 1095405011899",Действует,07.06.10,06.06.12,"г.Новосибирск, ул.Грибоедова, 2",5405393454
,Е 004153,РА-0298/11," ООО Торговая Сеть ""Авангард-Алко"" ОГРН 1115476031373",Действует,01.06.11,31.05.14,"г.Новосибирск, ул.Грибоедова, 2",5405431491
,Е 003923,РА-0078/11," ООО ""ВМТ"" ОГРН 1065405134387",Действует,28.02.11,27.02.12,"г.Новосибирск, ул.Грибоедова, 32/1",5405329593
,Е 004115,РА-0260/11," ООО ""Терра плюс"" ОГРН 1045401019696",Действует,18.05.11,17.05.12,"г.Новосибирск, ул.Грибоедова, 32/3",5402192118
,Е 004216,РА-0360/11," ООО ""Январь-7"" ОГРН 1075405009305",Действует,24.06.11,23.06.12,"г.Новосибирск, ул.Грибоедова, 32/3",5405340798
,Е 003909,РА-0064/11," ООО ""РИО"" ОГРН 1085405487386",Действует,26.02.11,25.02.14,"г.Новосибирск, ул.Грибоедова, 34",5405385164
,Е 002634,РА-1023/09," ООО ""Бахус"" ОГРН 1065405123332",Действует,07.09.09,06.09.12,"г.Новосибирск, ул.Грибоедова, 73",5405321812
,Е 003847,РА-0003/11," ООО ""ТРИО"" ОГРН 1105476089168",Действует,18.01.11,17.01.12,"г.Новосибирск, ул.Громова, 22, кв.63",5403324342
,Е 001878,РА-454/09," ООО ""Макси-Лайф"" ОГРН 1085403017897",Действует,23.05.09,22.05.12,"г.Новосибирск, ул.Громова, 23",5403217781
,Е 004397,РА-0560м/10," ООО ""Ковчег"" ОГРН 1105406012425",Действует,30.09.11,29.09.12,"г.Новосибирск, ул.Д.Бедного, 58а  Аэп: Shernoys@yandex.ru",5406566822
,Е 004307,РА-0448/11," ООО ГК ""55 ШИРОТА"" ОГРН 1075401003820",Действует,24.07.11,23.07.12,"г.Новосибирск, ул.Д.Давыдова, 1/3",5401284334
,Е 003088,РА-0113/10," ООО фирма ""АВЕНЮ-СИБИРЬ"" ОГРН 1025401021810",Действует,27.02.10,26.02.13,"г.Новосибирск, ул.Д.Донского, 11",5402134437
,Е 002891,РА-1265/09," ООО ""РиэлтКредит"" ОГРН 1085402016974",Действует,23.11.09,22.11.12,"г.Новосибирск, ул.Д.Донского, 30",5402501655
,Е 004180,РА-0324/11," ООО ""АСКЕТ"" ОГРН 1025401025759",Действует,15.06.11,14.06.12,"г.Новосибирск, ул.Д.Донского, 34",5402102121
,Е 001874,РА-450/09," ООО ""Светлячок-Б"" ОГРН 1035401009027",Возобновлено,22/05/09,21/05/12,"г.Новосибирск, ул.Д.Донского, 41",5402177695
,Е 001831,РА-412/09," ООО ""Компания Каскад"" ОГРН 1065402016460",Действует,07.05.09,06.05.12,"г.Новосибирск, ул.Д.Ковальчук, 12",5402463209
,Е 002529,РА-925/09," ЗАО ""САО"" ОГРН 1025401026595",Действует,03.08.09,02.08.12,"г.Новосибирск, ул.Д.Ковальчук, 16",5406111631
,Е 004306,РА-0380м/10," ООО ""Партнер"" ОГРН 1105476010859",Действует,08.07.10,07.07.13,"г.Новосибирск, ул.Д.Ковальчук, 18",5402526120
,Е 003305,РА-0323/10," ООО фирма ""Гавар"" ОГРН 1025401007081",Действует,15.06.10,14.06.13,"г.Новосибирск, ул.Д.Ковальчук, 2/2",5402162498
,Е 003270,РА-0289/10," ООО ""Время"" ОГРН 1045401012172",Действует,02.06.10,01.06.13,"г.Новосибирск, ул.Д.Ковальчук, 20",5402189764
,Е 004178,РА-0322/11," ООО ""Экспресс-М"" ОГРН 1025401010744",Действует,13.06.11,12.06.12,"г.Новосибирск, ул.Д.Ковальчук, 266",5402121526
,Е 003811,РА-0814м/10," ООО ""Депо"" ОГРН 1085402021671",Действует,01.01.11,31.12.12,"г.Новосибирск, ул.Д.Ковальчук, 266",5402505106
,Е 001470,РА-076/09," ООО ""Х-орс"" ОГРН 1025401025132",Действует,17.02.09,16.02.12,"г.Новосибирск, ул.Д.Ковальчук, 268/2",5402139153
,Е 002161,РА-713/09," ЗАО ""СИБЕРИЯ"" ОГРН 1025401026936",Действует,23.06.09,22.06.12,"г.Новосибирск, ул.Д.Ковальчук, 270",5402119460
,Е 004490,РА-0540/11," ООО ""МП Коммунальщик"" ОГРН 1025401008082",Действует,17.11.11,16.11.12,"г.Новосибирск, ул.Д.Ковальчук, 272/2   Аэп: leko345@mail.ru",5402135920
,Е 002283,РА-824/09," ООО ""РосИнформБюро"" ОГРН 1085473000997",Действует,07.07.09,06.07.12,"г.Новосибирск, ул.Д.Ковальчук, 276",5408258679
,Е 004137,РА-0282/11," ООО ""Дон Корлеоне"" ОГРН 1095402005456",Действует,26.05.11,25.05.12,"г.Новосибирск, ул.Д.Ковальчук, 394",5402511452
,Е 003036,РА-0065/10," ООО ""ЛАРАН"" ОГРН 1085402022760",Действует,18.02.10,17.02.13,"г.Новосибирск, ул.Д.Ковальчук, 396",5402506100
,Е 002230,РА-783/09," ООО ""Хазри"" ОГРН 1065402054728",Действует,30.06.09,29.06.12,"г.Новосибирск, ул.Д.Ковальчук, 65",5402465848
,Е 003023,РА-0052/10," ООО Фирма ""АМОН-РА"" ОГРН 1025401017223",Действует,10.02.10,09.02.13,"г.Новосибирск, ул.Д.Ковальчук, 73",5402125827
,Е 004127,РА-0272/11," ООО ""АНВИРО"" ОГРН 1115476023805",Действует,23.05.11,22.05.12,"г.Новосибирск, ул.Д.Ковальчук, 75/1",5402535580
,Е 003820,РА-0823м/10," ООО ""Экспресс"" ОГРН 1025401030456",Действует,29.12.10,28.12.11,"г.Новосибирск, ул.Д.Ковальчук, 77а",5402114085
,Е 004176,РА-0319/11," ОАО ""ЭКСПРЕСС-ПРИГОРОД"" ОГРН 1025403194277",Действует,09.06.11,08.06.14,"г.Новосибирск, ул.Д.Шамшурина, 41",5407193789
,Е 004193,РА-0337/11," ООО ""ВиТа"" ОГРН 1105476007230",Действует,15.06.11,14.06.14,"г.Новосибирск, ул.Даргомыжского, 8а, оф.105",5402525712
,Е 001477,РА-081/09," ООО ""Скорпион"" ОГРН 1055405219011",Действует,16.02.09,15.02.12,"г.Новосибирск, ул.Декабристов, 269",5405305715
,Е 002868,РА-1243/09," ООО ""АкадемПивТорг"" ОГРН 1055473100605",Действует,17.11.09,16.11.12,"г.Новосибирск, ул.Демакова, 20",5408236202
,Е 004386,РА-0547м/10," ООО ""Компания МиД"" ОГРН 1075473012658",Действует,23.09.11,22.09.12,"г.Новосибирск, ул.Демакова, 20   Аэп: sveeta@ngs.ru",5408254931
,Е 002246,РА-782/09," ООО ""Трио"" ОГРН 1065473073401",Действует,30.06.09,29.06.12,"г.Новосибирск, ул.Демакова, 36",5408242781
,Е 003853,РА-0009/11," ООО ""Кофемолка КП"" ОГРН 1075406048948",Действует,20.01.11,19.01.12,"г.Новосибирск, ул.Депутатская, 48",5406418856
,Е 003911,РА-0066/11," ООО ""Лада"" ОГРН 1045404359010",Действует,24.02.11,23.02.12,"г.Новосибирск, ул.Депутатская, 48",5433156705
,Е 003730,РА-0733м/10," ООО ""Арт компания"" ОГРН 1105476073713",Действует,10.12.10,09.12.11,"г.Новосибирск, ул.Депутатская,48",5406647535
,Е 003915,РА-0070/11," ООО ""Урал-Сибирь Лада"" ОГРН 1035403644924",Действует,25.02.11,24.02.12,"г.Новосибирск, ул.Динамовцев, 1",5408160120
,Е 001944,РА-518/09," ООО ""Тандем""",Действует,06.06.09,05.06.12,"г.Новосибирск, ул.Динамовцев, 3",5408270595
,Е 001710,РА-298/09," ООО ""Сибирь-К"" ОГРН 1025401935206",Действует,11.04.09,10.04.12,"г.Новосибирск, ул.Добролюбова, 10/2",5405155202
,Е 001238,РА-725/08," ООО ""Огненный Дракон"" ОГРН 1045401921817",Действует,08.12.08,07.12.11,"г.Новосибирск, ул.Добролюбова, 12",5405273630
,Е 004116,РА-0261/11," ООО ""Елена"" ОГРН 1065405034320",Действует,17.05.11,16.05.13,"г.Новосибирск, ул.Добролюбова, 16",5405311998
,Е 002413,РА-1418/09," ООО ""Кардинал-А"" ОГРН 1065405118107",Действует,28.12.09,27.12.12,"г.Новосибирск, ул.Добролюбова, 16",5405316900
,Е 002932,РА-1303/09," ООО ""Агрофирма ""СЕМЕНА""  ОГРН 1025401929410",Действует,03.12.09,02.12.12,"г.Новосибирск, ул.Добролюбова, 160",5405173480
,Е 002318,РА-858/09," ООО ""КВАНТ-АГРО"" ОГОН 1055405219649",Действует,13.07.09,12.07.12,"г.Новосибирск, ул.Добролюбова, 160",5405305842
,Е 001655,РА-248/09," ОАО ""Ривер Парк"" ОГРН 1025401904736",Действует,31.03.09,30.03.12,"г.НОвосибирск, ул.Добролюбова, 2",5405113594
,Е 002013,РА-582/09," ООО ""МАГНАТ"" ОГРН 1065405000396",Действует,30.06.09,29.06.12,"г.Новосибирск, ул.Добролюбова, 31",5405307293
,Е 003716,РА-0719м/10," ООО ""Бисер и Ш"" ОГРН 1095405022525",Действует,07.12.10,06.12.11,"г.Новосибирск, ул.Добролюбова, 73",5405400422
,Е 002025,РА-594/09," ООО фирма ""Радуга"" ОГРН 1025400526722",Действует,25.06.09,24.06.12,"г.Новосибирск, ул.Доватора, 25",5401101164
,Е 002952,РА-1322/09," ООО фирма ""Сокол"" ОГРН 1035400513246",Действует,11.12.09,10.12.12,"г.Новосибирск, ул.Доватора, 31",5401102560
,Е 001537,РА-138/09," ООО ""Сибирь-Стандарт"" ОГРН 1085401022717",Действует,02.03.09,01.03.12,"г.Новосибирск, ул.Доватора,11",5401317727
,Е 004228,РА-0372/11," ООО ""Продукты"" ОГРН 1065406120482",Действует,30.06.11,29.06.12,"г.Новосибирск, ул.Достоевского, 49",5406347690
,Е 002574,РА-968/09," ООО ""Орион"" ОГРН 1085404029644",Действует,14.08.09,13.08.12,"г.Новосибирск, ул.Дружбы, 5",5404375607
,Е 004146,РА-0291/11," ООО ""Хорошая компания"" ОГРН 1065405117194",Действует,02.06.11,01.06.12,"г.Новосибирск, ул.Дубравы, 65",5405315992
,Е 004010,РА-0159/11," ООО ""Калинка"" ОГРН 1115476034497",Действует,06.04.11,05.04.12,"г.Новосибирск, ул.Дубравы, 65",5405431935
,Е 001260,РА-746/08," ООО ""Уайтхолл-Сибирь"" ОГРН 1055410053511",Действует,11.12.08,10.12.11,"г.Новосибирск, ул.Дунаевского, 1",5410003004
,Е 003126,РА-0151/10," ООО ""Сибирский регион"" ОГРН 1055402034973",Действует,27.03.10,26.03.13,"г.Новосибирск, ул.Дунайская, 120",5402455631
