"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО город Усть-Илимск",,,,,,,,,
по состоянию на 1 авнуста 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
54,"ООО ""Супермакс""                                                                                                                                   ИНН 3817036828",МИ ФНС № 9 по Иркутской области,Лиц 242499 05/07/2012 06/07/2012 - 01/08/2012 продлена по 01/08/2014                                                                                                                                                                            ,"бар развлекательного комплекса ""Супермакс""  
пр. Мира,11                                                                                                                                                                                                        ",,,,,
55,"ООО ""Супер Плюс""                                                                                                                                                                                             ИНН 3817036810",МИ МНС России № 9 по Иркутской области,Лиц А 175000 03/06/2010                                                                                                                                                                              04/06/2010 - 03/06/2011                                                                                                                                                                                   продлена до 04/06/2012,"магазин ""Ермак""                                                                                                                                                                                                       Братское шоссе,11, н.п. 204",,,6/4/2012,,
56,"ООО ""ТЕХНОЛЮКС""                                                                                                                                                                                             ИНН 3811063906",ИМНС РФ по Октябрьскому АО г. Иркутска,Лиц 244974 23/11/2010 23/11/2010 - 15/06/2014 ,"в/в отдел магазина автозаправочного комплекса № 9                                                                                                                                           пр. Мира, д.38                                                                                                                                                                                                      магазин блочной автозаправочной станции № 7                                                                                                                                                          Усть-Илимское шоссе,7",,,,,
57,"ООО ""ТОПОЛЬ""                                                                                                                                         ИНН 3817027904", МИ ФНС №9 по Иркутской области и УОБАО,Лиц А 174928 11/06/2008                                                                                                                                                                                12/06/2008 - 29/12/2010                                                                                                                                                                                                                                                                                                                                                                продлена до 30/12/2014,"магазин ""Успех""                                                                                                                                                                                                                     ул. Энтузиастов,7                                                                                                                                                                                          магазин ""Толстый мыс-2""                                                                                                                                                                                      ул. Крупской,3                                                                                                                                                                                                  магазин ""Тайга""                                                                                                                                                                                                        ул. Белградская,4",,,,,
58,"ООО ""Гостиничный комплекс                                                                                                                          ""Усть-Илим""                                                                                                                                               ИНН 3817013080", МИ МНС России № 9 по Иркутской области,Лиц 242484 15/02/2012 15/02/2012 - 15/02/2015                                                                                                                                                                                                                                                                                                                                                                      ,"бар ""Усть-Илим""
пр. Дружбы Народов,2
кафе при гостинице ""Лесная""
ул.Преображенская,д.16 
ресторан ""Усть-Илим"" 
пр. Дружбы Народов,д.2 
бар ""У Константина""
ул. Мечтателей, д.10, н.п. 130                                                                                                                                                                       ресторан ""Дюльберг""                                                                                                                                                                                             проспект Мира,21",,,,,
59,"ООО ""ФУД""                                                                                                                                                                                                         ИНН 3817036627", МИ ФНС России № 9 по Иркутской области,Лиц А 174999 22/04/2010                                                                                                                                                                                22/04/2010 - 21/04/2011 продлена до 22/04/2013,"кафе ""Кольт-45""                                                                                                                                                                                                                                  ул. Энгельса,25А                                                                                                                                                                                                           кафе ""Маленькая Италия""                                                                                                                                                                                             ул. Георгия Димитрова,д.22 н.п. 1                                                                                                                                                                                     бар ""Да Винчи""                                                                                                                                                                                                        ул. Энгельса,25А",,,,,
60,"""ООО ""ЭС-ЭЛЬ""                                                                                                                                                                                                  ИНН 3817021405",МИ ФНС России №9 по Иркутской области и УОБАО,Лиц А 174896 19/07/2007                                                                                                                                                                                   20/07/2007 - 19/07/2012,"магазин ""Венера""
ул. Мечтателей,11
магазин ""Вербена""
ул. Энгельса, дом 29, н.п.212 
кафе ""Эврика""
ул. Интернационалистов,12 ",,,с 20/07/2012г.,,
61,"ООО ""ЮТЭКС""                                                                                                                                             ИНН 3817029620", МИ ФНС №9 по Иркутской области и УОБАО,Лиц А 174971  03/09/2009                                                                                                                                                                          04/09/2009 - 14/08/2011                                                                                                                                                                                                продлена до 15/08/2012                                                                                                                                                                                 ,"магазин ""Водолей""
Братское шоссе,7, н.п.206
магазин ""Радуга""
ул. Наймушина,20 н.п.1
магазин ""Конкорд""
Братское шоссе, д.11, н.п.201
магазин ""Маяк""                                                                                                                                                                                                   ул. Наймушина, дом 30, н.п.108                                                                                                                                                                вино-водочный отдел                                                                                                                                                                                                        в магазине ""Морозко""                                                                                                                                                                       ул. Наймушина,8""а""
",,,,,
62,"ООО ""Янтарь""                                                                                                                                                                                                   ИНН 3817037194",МИ ФНС России № 9 по Иркутской области,Лиц 244981 15/12/2010 15/12/2010 - 06/10/2012 ,"в/в отдел магазина ""Кредо""                                                                                                                                                                                           ул. Кирова, д.25                                                                                                                                                                                                                 в/в отдел магазина ""Ассорти""                                                                                                                                                                                       ул. Мечтателей, д.6                                                                                                                                                                                                      в/в отдел магазина ""Сибирское пиво""                                                                                                                                                                ул. Белградская,4а",,,,,
63,"ООО ""ЯР""                                                                                                                                                                                                           ИНН 3804023596",Инспекция МНС России по Центральному округу г. Братска Иркутской области,Лиц 38 МЕ 006301 17/05/2011 17/05/2011 - 10/12/2013 ,"магазин ""Алко-маркет""                                                                                                                                                                                            ул. Наймушина,4, н.п. 1                                                                                                                                                                                    магазин ""Алко-Маркет+""                                                                                                                                                                                          проспект Мира, д.65, н.п. 250",,,,, комитет по управлению муниципальным имуществом и развитию потребительского рынка товаров и услуг администрации города Братска
64,"ООО ""Юкс""                                                                                                                                                                                                                    ИНН 3817029404",МИ ФНС №9 по Иркутской области и УОБАО,Лиц А 242490 31/05/2012 01/06/2012 - 31/05/2017,"магазин ""Фиалка""                                                                                                                                                                                                  ДНТ ""Фиалка""",,,,,
65,"ООО ""Фортуна-2010""                                                                                                                                                                                 ИНН 3817037483", МИ МНС России № 9 по Иркутской области,Лиц А 244986 28/04/2011                                                                                                                                                                              28/04/2011 - 27/04/2012,"в/в отдел магазина ""Алина""                                                                                                                                                                                   ул. Белградская,3а",,,28.04.2012г.,,
66,"ООО ""Одиссей""                                                                                                                                                                                                                ИНН 3817029130",МИ ФНС №9 по Иркутской области и УОБАО,Лиц 174950 05/03/2009 05/03/2009 - 25/05/2011 продлена до 26/05/2012,"спорт-кафе ""!:0""                                                                                                                                                                                                              ул. Мечтателей,42",,,26.05.2012г.,,
67,"ООО ""Аверс""                                                                                                                                                                                                     ИНН 3817031160", МИ ФНС №9 по Иркутской области и УОБАО,Лиц А 244979 29/11/2010                                                                                                                                                                                  29/11/2010 - 26/12/2012                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"винно-водочный отдел магазина ""Разливной""                                                                                                                                                         ул. Мечтателей,9а                                                                                                                                                                                      ресторан ""Аверс""                                                                                                                                                                                                    Усть-Илимское шоссе,22                                                                                                                                                                                                  ",,,с 08.02.2012г.,,
68,"ООО ""Черемушки""                                                                                                                                                                                        ИНН 3817038624", МИ ФНС России № 9 по Иркутской области,Лиц А  244985 22/04/2011                                                                                                                                                                          22/04/2011 - 21/04/2013,"магазин ""Черемушки""                                                                                                                                                                                    ул. Наймушина,10",,,13/04/2012г.,,
69,"ООО ""Максима""                                                                        ИНН 3817028841",МИ ФНС №9 по Иркутской области и УОБАО,Лиц 242493 21/06/2012                                                                                                                                                                                       21/06/2012 - 20/06/2013                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,"
магазин ""Молодёжный"" 
ул. Молодёжная, д.14 
магазин ""Ангара""  
ул. 50 лет ВЛКСМ, д.32
магазин ""Ленинградский"" 
пр. Мира, д.23
",,,,,
70,"ООО ""Супер Плюс""                                                                                                                                                                                             ИНН 3817036810",МИ МНС России № 9 по Иркутской области,Лиц А 242497 22/06/2012                                                                                                                                                                              22/06/2012 - 21/06/2013                                                                                                                                                                                   ,"магазин ""Ермак""                                                                                                                                                                                                       Братское шоссе,11, н.п. 204",,,,,
71,"ООО ""Восточная компания""                                                                                                                                                                                             ИНН 3817038670",МИ МНС России № 9 по Иркутской области,Лиц 242498 28/06/2012                                                                                                                                                                              29/06/2012 - 28/06/2017                                                                                                                                                                                   ,"кафе ""Пекин"", пр. Мира, д. 40А",,,,,
72,"ООО ""КИТ"" 
ИНН 3817040359",МИ ФНС №9 по Иркутской области ,"Лиц А 178977 12/07/2012 
13/07/2012 - 12/07/2017","магазин ""Ветеран"" 
ул. Ленина, д.1, н.п. 91 
магазин ""Кулинария""
 ул. 50 лет ВЛКСМ, д.22",,,,,"администрация муниципального образования  ""Усть-Илимскийрайон"""
73,"ООО ""РаДа"" 
ИНН 3817040373",МИ ФНС №9 по Иркутской области ,Лиц 178976 12/07/2012 13/07/2012 - 12/07/2017,"магазин ""Супермаркет ""Белградский""
 ул. Белградская,5Б",,,,,"администрация муниципального образования  ""Усть-Илимскийрайон"""
74,"ООО ""Велес"" 
ИНН 3817040648",МИ ФНС № 9 по Иркутской области,"Лиц 242500 17/07/2012 
17/07/2012 - 16/07/2013","павильон ""Земляничка"" 
проспект Мира, дом 42 
магазин ""Восток"" 
ул. Романтиков, д.9-77
 магазин ""Хороший"" 
ул. Ленина, д.8, н.п. 91 
магазин ""Исток""
 просп. Дружбы Народов д.78, кв.101А",,,,,
75,"ООО магазин Байкал""                                                                                                                           ИНН 3817011326",МИ МНС России №9 по Иркутской области,Лиц А 242501 18/07/2012                                                                                                                                                                                20/07/2012 - 19/07/2013                                                                                                                                                                                                                                                                     ,"филиал магазина ""Байкал""
ул.Наймушина, д. 32, н.п.127
филиал магазина ""Байкал"" 
ул. Наймушина, д. 36, н.п.124
филиал магазина ""Байкал""
ул. Героев Труда, д. 5, н.п.121",,,,,
76,"ООО ""ПродПоставка""                                                                                                                                  ИНН 3817029570",МИ ФНС №9 по Иркутской области и УОБАО,Лиц А  242502 27/07/2012                                                                                                                                                                                  27/07/2012 - 26/07/2013,"магазин ""Пальмира""                                                                                                                                                                                                                                                                                                                                                                       
улица Энтузиастов, дом 9
магазин ""Илимский Дворик""
улица Энгельса, дом 21А                                                                                                                                                                                             винно-водочный отдел магазина ""Усть-Терем""                                                                                                                                                                   пр. Дружбы Народов, дом 32
магазин ""Усть-Терем"" 
улица Ленина, дом 12, н.п. 136 ",,,,,
