"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""город Саянск""",,,,,,,,,
по состоянию на 1августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
30,"ООО «ИВА»
ИНН 3814014745",МИФНС № 14 по Иркутской области,"38 МЕ 005287           № 18 
от 25.12.2009г., 
с 25.12.2009г. 
по 24.12.2014г.","Магазин «63», 
г. Саянск, м-н Юбилейный, д.63",,,,,
31,"ООО «Наше Дело»
ИНН 3814015139",МИФНС № 14 по Иркутской области,"38 МЕ 005340                                                                                                                                                                                        № 1-10/Пр2                                                                                                                                                                                         от 21.10.2011г.,                                                                                                                                                                                       с 21.10.2011г.                                                                                                                                                                                        по 18.02.2013г.                                                                                                                                                                                Взамен:                                                                                                                                                                                                  38 МЕ 005332                                                                                                                                                                                         № 1-10/Пр1                                                                                                                                                                                            от 30.06.2011г.,                                                                                                                                                                                         с 30.06.2011г                                                                                                                                                                                        по 18.02.2013 г.                                                                                                                                                                                  Взамен:                                                                                                                                                                                                   38 МЕ 005300 
№ 1 
от 19.02.2010г.,
с 19.02.2010г. 
по 18.02.2013г.","Отдел в магазине «Скиф», 
г. Саянск, м-н Строителей, д.43;                                                                                                                                              магазин ""Янта"",                                                                                                                                                                                        г. Зима, ул. Ленина, д. 11;                                                                                                                                                                         Отдел в магазине ""Арена""                                                                                                                                                                       г. Саянск, м-н Центральный, д. 1",,,,,
32,"ООО «Оникс»
ИНН 3814014449",МИФНС № 14 по Иркутской области,"А 154351 
№ 5 
от 26.05.2010г.
с 26.05.2010г.
по 04.08.2014г.","Отдел в торговом комплексе «Для Вас», 
г. Саянск, м-н Олимпийский, д.8;
Отдел в магазине «Ассорти», 
г. Саянск, м-н Мирный, д.7",,,,,Зиминское городское муниципальное образование
33,"ООО «Орион»
ИНН 3814015379",МИФНС № 14 по Иркутской области,"                                                                                                                                                                                         38 МЕ 005326                                                                                                                                                                                       № 05-10/Пр3                                                                                                                                                                                     от 07.04.2011г.,                                                                                                                                                                                         с 07.04.2011г.                                                                                                                                                                                          по 17.08.2012г.  ","Отдел в торговом зале «Уютный погребок»                                                                                                                                               розничного продовольственного рынка,
г. Саянск, м-н Юбилейный, д.10;
Бар «Империя», 
г. Саянск, м-н Строителей, д. 2А;                                                                                                                                                   Ресторан ""Скиф"",                                                                                                                                                                                       г. Саянск, м-н Строителей, д. 41.",,,,,
,,," взамен:                                                                                                                                                                                                 38 МЕ 005322
№ 05-10/Пр2
от 17.02.2011г.
с 17.02.2011г.
по 17.08.2011г.

",,,,,,
,,,"взамен
38 МЕ 005318
№ 05-10/Пр1
от 28.12.2010г.
с 28.12.2010г.
по 17.08.2011г.",,,,,,
,,,"взамен
38 МЕ 005305
№ 5
от 18.08.2010г.
с 18.08.2010г.
по 17.08.2011г.",,,,,,
34,"ООО ТЭК ""VL-Холод""                                               ИНН 3814016090",МИФНС России               № 14 по Иркутской области,"38 МЕ 005335                                                                                                                                                                                          № 1                                                                                                                                                                                                         от 11.08.2011г.,                                                                                                                                                                                             с 11.08.2011г                                                                                                                                                                                           по 10.08.2012г ","отдел в магазине ""Любимые продукты"",                                                                                                                                                   г. Саянск, м-н Строителей, д. 15",,,,,
35,"ООО ""Феникс""                   ИНН 3814017104",МИФНС России № 14 по Иркутской области,"38 МЕ 005336                                                                                                                                                                                             № 2                                                                                                                                                                                                         от 11.08.2011г.,                                                                                                                                                                                        с 11.08.2011г                                                                                                                                                                                              по 10.08.2012г.","магазин ""Продукты"",                                                                                                                                                                                          г. Саянск, м-н Юбилейный, д.41                      ",,,,,
36,"ООО «Лев»
ИНН 3814011039",МИФНС № 14 по Иркутской области и УОБАО,"38 МЕ 005344
№ 3
от 15.12.2011г.,
с 15.12.2011г. 
по 14.12.2012г.
","Магазин «Берлога»,
г. Саянск, м-н Центральный, д.14 ",,,,,
37,"ООО «Виктория»
ИНН 3814009544",МИФНС № 14 по Иркутской области и УОБАО,"38 МЕ 005345                    № 4 
от 21.12.2011г.,
с 21.12.2011г.
по 20.12.2013г.","Магазин «Виктория», г.Саянск, м-н Центральный, д.2",,,,,
38,"ООО «ЭГИДА»
ИНН 3814009657",МИФНС № 14 по Иркутской области и УОБАО,38 МЕ 005346                                                                                                                                                                                       № 5                                                                                                                                                                                                    от 27.12.2011г.                                                                                                                                                                                         с 27.12.2011г.                                                                                                                                                                                          по 26.12.2012г.,"Магазин «Катюша», 
г. Саянск, м-н Центральный, д.7;
Отдел в торговом комплексе
г. Саянск, м-н Юбилейный, д.71",,,,,
39,"ООО ""Легион""                           ИНН 3814016735",МИФНС №14 по Иркутской области,38 МЕ 005348                                                                                                                                                                                             № 6                                                                                                                                                                                                          от 29.12.2011г.                                                                                                                                                                                      с 29.12.2011г                                                                                                                                                                                             по 28.12.2012г.,"кафе ""Легион"",                                          г. Саянск, м-н Олимпийский, д. 26 ",,,,,
40,"ООО ""Мария""                         ИНН 3814015192",МИФНС №14 по Иркутской области,38 МЕ 005349                     № 1                                от 19.01.2012г.                   с 19.01.2012г.                   по 18.01.2013 г,"кафе ""Мария"",                          г. Саянск, м-н Центральный, д. 4, вставка",,,,,
41,"ООО ""Грей""                       ИНН 3814008082",МИФНС России № 14 по Иркутской области,38 МЕ 005350                    № 2                                от 20.01.2012г.                 с 20.01.2012г.                  по 19.01.2013г.          ,"Отдел в магазине ""Товары для дома"",  г. Саянск,                   м-н Октябрьский, д.3, г. Зима, ул. Космонавтов, д. 78",,,,,
42,"ООО ""Сибирский Бизнес Регион""                                ИНН 3814012138",МИФНС №14 по Иркутской области,"А 002290 № 2                         от 28.02.2012г.,                    с 28.02.2012г.                   по 01.01.2013г.         Взамен                            А 002289   № 1           от 14.02.2012г.                 с 14.02.2012г              по 01.01.2013 г","Отдел в ТК ""Эй-Би Маркет"",                                   г. Саянск,                            м-н Солнечныйй,                     д. 4, ",,,,,Зиминское районное муниципальное образование
43,"ООО «Флагман»
ИНН 3814015146",МИФНС № 14 по Иркутской области,"                                                                                                                                                                                     38 МЕ 005352 
№ 3 
от 21.03.2012г.,
с 21.03.2012г. 
по 20.03.2015г.","Отдел в Универсаме «Флагман», 
г. Саянск, м-н Олимпийский, д.28",,,,,
44,"ООО ""Абсолют""                 ИНН 3814016252",МИФНС № 14 по Иркутской области,"38 МЕ 005354                      № 4                                   от 11.04.2012г.,                  с 11.04.2012г.                           по 10.04.2013г.","Магазин ""Зеленый,              г. Саянск, м-н Юбилейный, д. 29, помещение 79",,,,,
45,"ООО Ювелирная фирма ""Бриллиант""                           ИНН 3814017538",МИФНС № 14 по Иркутской области,38 МЕ 005355                     № 5                                    от 11.04.2012г.                    с 11.04.2012г.                       по 10.04.2013г.,"павильон ""Перекресток"",       г. Саянск, м-н Юбилейный, около дома 66А",,,,,
46,"ООО ""Алмаз-Зима""               ИНН 3814016710",МИФНС № 14 по Иркутской области,"А 154407                           № 5                                   от 11.04.2012г.,                     с 11.04.2012г.                        по 20.10.2012г.","отдел в магазине ""Тонус"", г. Саянск, м-н Ленинградский, д. 8, блок-вставка № 16",,,,,Зиминское городское муниципальное образование
47,"ООО «Кредо»
ИНН 3806003940",МИФНС № 14 по Иркутской области,"38 МЕ 005356
№ 6
от 12.04..2012г.
с 12.04.2012г.
по 11.04.2015г.","Бар «Бар 777»,                                                                                                                                                                                г. Саянск, подъезд к г. Саянск № 1",,,,,
48,"ООО «Успех»
ИНН 3814009505",МИФНС № 14 по Иркутской области и УОБАО,"38 МЕ 005358
№ 7
от 27.04.2012г.,
с 27.04.2012г.
по 26.04.2013г.
","Павильон «Комфорт»,
г. Саянск, м-н Ленинградский  район жилого дома № 10",,,,,
49,"ООО ""Сибиряк""              ИНН 3814006430",МИФНС № 14 по Иркутской области и УОБАО,"38 МЕ 005359                         № 8                                   от 27.04.2012г.,                   с 27.04.2012г.                      по 26.04.2013г.","Магазин ""Хлеб"", г. Саянск, м-н октябрьский, д. 11;             Отдел в ТК ""Центральный"",                 г. Саянск, м-н Центральный, д 14/1",,,,,
50,"ООО «Успех»
ИНН 3814009505",МИФНС № 14 по Иркутской области и УОБАО,"38 МЕ 005259
№ 07-06/Пр12
от 18.07.2008г.,
с 18.07.2008г.
по 11.04.2012г.
взамен:
А 228502 № 7
от 12.04.2006г., 
с 12.04.2006г.
по 11.04.2011г.","Павильон «Комфорт»,
г. Саянск, м-н Ленинградский в районе дома № 10",,,4/11/2012,,
51,"ООО «Бриллиант»
ИНН 3814008283",МИФНС № 14 по Иркутской области и УОБАО,"                                                                                                                                                                                           А 228521 № 22
от 07.07.2006г.,
с 07.07.2006г. 
по 06.07.2014г.","Павильон «Перекресток», 
г. Саянск, м-н Юбилейный, в районе дома № 66а",,,3/31/2012,,
52,"ООО «Сибиряк»
ИНН 3814006430",МИФНС № 14 по Иркутской области и УОБАО,"38 МЕ 005324                    № 04-07/Пр2                       от 01.04.2011г.,                    с 01.04.2011г.                     по 28.03.2012г.","Павильон «Основной продукт»,                                                                                                                                                                  г. Саянск, м-н Центральный, около дома № 2;
магазин «Хлеб»,
г. Саянск, м-н Октябрьский, д.11;                                                                                                                                                        отдел в торговом комплексе ""Центральный"",                                                                                                                                             г. Саянск, м-н Центральный, д. 14",,,3/28/2012,,
,,,"взамен                                                                                                                                                                                                    38 МЕ 005280
№ 04-07/Пр11
от 14.08.2009г.,
с 14.08.2009г.
по 28.03.2012г.",,,,,,
,,,"взамен:
А 154252 № 4
от 29.03.2007г.,
с 29.03.2007г.
по 28.03.2012г.",,,,,,
53,"ООО «Флагман»
ИНН 3814015146",МИФНС № 14 по Иркутской области,"                                                                                                                                                                                     38 МЕ 005302 
№ 3 
от 03.03.2010г.,
с 03.03.2010г. 
по 02.03.2012г.","Отдел в магазине «Флагман», 
г. Саянск, м-н Олимпийский, д.28",,,3/2/2012,,
54,"ООО «Кредо»
ИНН 3806003940",МИФНС № 14 по Иркутской области,"38 МЕ 005303
№ 4
от 16.03.2010г.
с 16.03.2010г.
по 15.03.2012г.","Бар «Бар 777»,                                                                                                                                                                                г. Саянск, подъезд к г. Саянск № 1",,,3/15/2012,,
55,"ООО «Луч»
ИНН 3814009738",МИФНС № 14 по Иркутской области и УОБАО,"38 МЕ 005360 № 9   от  25.06.2012г.,                 с 25.06.2012г                       по 24.06.2015г.","магазин ""Фортуна"" -              г. Саянск, м-н Олимпийский, д. 6;                  отдел в магазине ""Универсам"" - г. Саянск, м-н Олимпийский, д. 10",,,,,
56,"Общество с ограниченной ответственностью ""Апрель"",                 ООО ""Апрель""
ИНН 3814009840",МИФНС № 14 по Иркутской области и УОБАО,38 МЕ 005364 № 10 от 18.07.2012 по 17.07.2012,"Иркутская облась, г. Саянск,    м-н Солнечный,  д. 4/1",,,,,
