"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""город Черемхово"" ",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
65,ООО «Элис» ИНН 3820014655,Ми ФНС № 10 по Иркутской области,38 МЕ 002898 от 28.12.2009 г. до 28.12.2014 г.,"г. Черемхово, ул. Первомайская, 176 кафе «Корона»",,,,,
66,ООО  «Ветер» ИНН 3812122167,ИФНС России по Свердловскому округу г. Иркутска,Г 888805 Рег. № 33 От 25.11.2010 Сроком действия с 13.10.2009 г. до 13.10.2014 г. (переоформлена) Г 888810 рег. № 41 от 30.12.2010(переоформлена)   Г 888812 рег. № 03 от 02.02.2011,"г. Черемхово, ул. Дзержинского, 46, отдел; г. Черемхово, ул. Кузнечная, 67, отдел; г. Черемхово, пер. Ветеринарный, 9, отдел; г. Черемхово, п.Касьяновка, ул. Ярославского, 25 А, отдел, г. Черемхово, ул. Гейштова, 6 отдел ООО «Ветер»  в магазине «Саяны», ул. Плеханова, 39 отдел  ООО «Ветер» в магазине «Зеркальный», ул. Первомайская, 28 отдел ООО «Ветер» в магазине «Татьяна»,  ул. Маяковского, 187 отдел ООО «Ветер» в магазине «Бакалея», ул. Маяковского, 168 отдел ООО «Ветер» в магазине № 4, ул. Шевченко, 63 отдел ООО «Ветер» в магазине «Продукты», ул. Шевченко, 86а отдел ООО «Ветер» в магазине «Кедр», ул. Фереферова, 35 отдел ООО «Ветер» в магазине ООО «Саяны и К», ул. Санаторная, 10 отдел ООО «Ветер» в магазине «Санаторный»,  ул. Гейштова, 20, в отделе маг. «Мираж», ул. Колхозная площадь, 40 отдел в маг. «Сибирь», отдел  в магазине по ул. Некрасова, 24",,,,,Администрацией Шелеховского муниципального района регистрационный номер 03 от 02.02.2011               Г 888812   
67,ООО «Мария» ИНН 3820014380,Ми ФНС № 18 по Иркутской области,38 МЕ 002903 Рег. № 75 от 20.04.2011 г. до 20.04.2012 г. (продлена)   38 МЕ 002946 от 28.04.2012 до 28.04.2013,"г. Черемхово, ул. Маяковского, 176 отдел ООО «Мария» в магазине «Мария»",,,,,
68,Черемховское Районное Потребительское общество «ЧРПО» ИНН 3843003466,Ми ФНС № 18 по Иркутской области № 1033802213940,А 167651 Рег. № 3 от 14.06.2010 г. до 14.06.2011 г.,"г. Черемхово:  ул. Первомайская, 2 «магазин», Ул. Первомайская, 2 «Столовая»",,,,,район
69,ООО «Торговая Марка Кайрос» ИНН 3813011427,ИФНС России по Ленинскому округу г. Иркутска № 1023801025159 от 29.11.2002 г.,38 МЕ 003353 Рег.. № АП03200Пр13 от 17.06.2010 г. до 28.03.2015 г. ,"г. Черемхово, ул. Первомайская, 199 (торговое место № 2)",,,,,Выдана администрацией г. Иркутска Рег. № АП03200Пр13 от 17.06.2010 г.
70,ООО Алко-Ден ИНН 3820014711,Ми ФНС № 18 по Иркутской области № 1093820000966 от 25.02.2010,38 МЕ 002908 Рег. № 81-10 от 16.09.2010 г. до 16.09.2011г. (переоформлена) 38 МЕ 002917 от 09.12.2010 до 16.09.2011(переоформлена) рег. № 95-11 серия 38 МЕ 002924 от 28.03.2011,"г. Черемхово, ООО «Алко-Ден» в магазине по адресу: г. Черемхово, ул. Некрасова, 16, г. Черемхово, ул. Морозова, 57 отдел ООО «Алко-Ден», Черемховский рай-он, с. Зерновое, ул. Иркутская, д. 7а отдел ООО «Алко-Ден»; отдел ООО ""Алко-Ден в магазине по адресу: г. Черемхово, п. Касьяновка, ул. Молодежная, 10",,,,,
71,ООО «Система «Чибис» ИНН 4205147587,ИФНС России по г. Кемерово  № 1084205000780,38 МЕ 002914 Рег. № 86-10 От 26.10.2010 г. до 26.10.2011 г. (закончена),"г. Черемхово, ООО «Система Чибис» в магазине «Бонус» ООО «АМИК КЭШ ЭНД КЕРРИ» ул. Плеханова, 4",,,10/26/2011,,
72,ООО «Яна» Инн 3820011823,Ми ФНС № 10 по Иркутской области и УОБАО № 1063820012266 от 21.11.2006,38 МЕ № 002856 От 28.06.2007 до 28.06.2012 г.(переоформлена) 38 МЕ 002916 от 24.11.2010 до 28.06.2012,"г. Черемхово, ул. Забойщика, 50 кафе «Строитель», переулок «Санаторный, 2 отдел ООО «Яна» в магазине «Подсолнух»",,,6/26/2012,,
73,ООО «Меркурий» ИНН 3820013500,Ми ФНС № 18 по Иркутской области № 1083820000703,А 167653 Рег. № 5 от 02.12.2010 г. до 26.12.2013 г.,"Черемховский район, с. Верхний Булай, ул. Булайская, 22 а магазин «Лидер», с. Лохово, ул. Степная, 2 магазин, г. Черемхово, ул. Дзержинского, 19 магазин «Успех»",,,,,Выдана Черемховским Районным муниципальным образованием рег. № 5 от 02.12.2010 серия А 167653
74,ООО «Фея»  ИНН 3851001293,Ми ФНС № 18 по Иркутской области № 1103851001242,38 МЕ 002918 Рег. № 90-10 от 11.12.2010 г. до 11.12.2011 г.,"г. Свирск, ул. Маяковского, 8-6 магазин «Фея» ",,,12/11/2011,,
75,ООО «Восточный» ИНН 3851001945 ,Ми ФНС № 18 по Иркутской области № 1103851001814,38 МЕ 002919 Рег. № 91-10  от 20.12.2010 г. до 20.12.2011 г. (закончена),"г. Черемхово, пос. Касьяновка, ул. Морозова, 22 отдел ООО «Восточный»",,,12/20/2011,,
76,ООО «Океан» ИНН 3851001776,Ми ФНС № 18 по Иркутской области № 1103851001693,38 ME 002942 от 30.12.2011 до 30.12.2012,"г. Черемхово, ул. Декабрьских Событий, 3-2 отдел ООО «Океан» в магазине «Океан» ИП Вантеева, г. Черемхово, ул. Спартаковкая,, 21, отдел ООО «Океан» в магазине ИП Банис ",,,,,
77,ООО «Океан» ИНН 3851001776,Ми ФНС № 18 по Иркутской области № 1103851001693,38 МЕ 002922 Рег. № 93-10  от 28.12.2010 г. до 28.12.2011 г. (Прекращена) Выдана новая 38 ME 002942 от 30.12.2011 до 30.12.2012,"г. Черемхово, ул. Декабрьских Событий, 3-2 отдел ООО «Океан» в магазине «Океан» ИП Вантеева, г. Черемхово, ул. Спартаковкая,, 21, отдел ООО «Океан» в магазине ИП Банис ",,,12/28/2011,,
78,"СХ ОАО ""Белореченское"" ИНН 3840001848",Ми ФНС № 18 по Иркутской области № 1023802144431,А 167655 рег. № 2-11 от 1802.2011 до 18.02.2012. (закончена)                       А 167663 от 21.02.2012 до 21.02.2013 ,"г. Черемхово, ул. Орджоникидзе, 14 магазин № 33 ",,,,,Выдана Черемховским Районным муниципальным образованием рег. № 2-11 от 18.02.2011 А 167655
79,"ООО ""Высота"" ИНН 3814015107",Ми ФНС № 14 по Иркутской области № 1093814000950,А 244903 рег. № 61 от 05.03.2011 до 05.03.2016. А 244909 от 19 мая 2011 до 05.03.2016 (переоформлена),"г. Черемхово, пер. Кооперативный, 7-46 отдел ООО ""Высота"" в магазине ""Куш"" ; отдел ООО ""Высота"" в баре ""Каспий"" г. Черемхово, ул. Первомайская, 139",,,,,"Выдана Администрацией муниципального образования ""Куйтунский район"" рег. № 61 срок действия до 05.03.2016"
80,ООО «Аларская долина» ИНН 3851001720,Ми ФНС № 18 по Иркутской области № 1103851001616,Д 518155 от 31 марта 2011 года до 31 марта 2012 года  рег. № 3,"г. Черемхово, ул. Первомайская, 138 кафе ""Юрта""",,,,,"Администрацией муниципального образования ""Аларский район"""
81,ООО «Градус» ИНН 3851003082,Ми ФНС № 18 по Иркутской области № 1113851001021,38 МЕ 002927 рег. № 98-11 от 05.05.2011 до 05.05.2012 (закончена),"Аларский район, с. Апхульта, ул. Октябрьская, 27 отдел ООО ""Градус"" в магазине ""Ангарский""",,,,,
82,"ООО ""Стандарт-Алко""               ИНН 3808154328",ИФНС по Правобережному округу г. Иркутска ,АН 00554 Пр8 от 27.06.2011               38 МЕ 003719 от 10.12.2008   по 09.12.2013 (переоформлена)  АН 00554Пр11 от 26.04.2012 38 Ме 003973,"г. Черемхово, ул. Первомайская, 109, отдел ООО ""Стандарт-Алко"", г. Черемхово, ул. Первомайская, 2, отдел ООО ""Стандарт-Алко"", г. Черемхово, ул. Декабрьских событий, 7, отдел ООО""Стандарт-Алко"", г. Черемхово, ул. Декабрьских событий, 9, отдел ООО ""Стандарт-Алко"", г. Черемхово, ул. Забойщика, 30 отдел ООО ""Стандарт-Алко"", г. Черемхово, ул. Забойщика, 49, отдел ООО ""Стандарт-Алко"", г. Черемхово, ул. Детская, 32, отдел ООО ""Стандарт-Алко"", г. Черемхово, ул. Дударского, 26, отдел ООО ""Стандарт-Алко"", г. Черемхово, ул. Некрасова, 26 ",,,,,Администрацией Иркутского городского муниципального образования
83,"ООО ""Алмаз-Черемхово ""               ИНН 3851003244",Ми ФНС № 18 по Иркутской области № 1113851001208 ,№ 137-12 от  10.08.2012 по 30.12.2012 (Переоформлена),"г.Черемхово: пер.сигнальный,2/А, ул.Орджоникидзе,22, ул.Маяковского,191-5; ул.Первомайская,18, с.Голуметь, ул.Уварова,49/А.",,,,,
84,"ООО ""Алмаз-Черемхово ""               ИНН 3851003244",Ми ФНС № 18 по Иркутской области № 1113851001208 ,38 МЕ 002945 от 13.04.2012 до 30.12.2012 рег. № 126 - 12,"г. Черемхово: пер. Сигнальный, 2/А, магазин ООО ""Алмаз-Черемхово""; ул. Орджоникидзе, 22, отдел ООО ""Алмаз - Черемхово""",,,,,
85,ООО «Березка-сервис» инн 3820011132, Ми ФНС № 10 по Иркутской области и УОБАО № 1063820011200 от 31.05.2006 г.,№129-12 от 09.07.2012 по 09.07.2017,"г.Черемхово, ул.Школьная,24; г.Черемхово, ул.Декабрьских Событий,9",,,,,
86,ООО «Торговая компания Агата» инн 3820011076 ,Ми ФНС № 10 по Иркутской области и УОБАО № 1063820011122 от 24.05.2006 г.,№ 133-12 от 01.08.2012 по 23.07.2017,"Г.Черемхово, ул.Некрасова,16, отдел в магазине ""Империя вкуса"", Г.Черемхово, ул.Ленина,41 отдел в магазине №23, г.Черемхово, ул.Ленина,24, отдел в магазине ""Стрела""",,,,,
87,ООО «Ромашка» инн  3820011157,Ми ФНС № 10 по Иркутской области и УОБАО № 1063820011232 от 01.06.2006 г.,№ 131-12 от 25.07.2012 по 25.07.2013,"г.Черемхово, ул.Димитрова,30, магазин ""Ромашка""",,,,,
88,ООО «Каспий» инн 3820011069,Ми ФНС № 10 по Иркутской области и УОБАО № 1063820011133 от 24.05.2006 г.,№ 132-12 от 01.08.2012 по 01.08.2013,"г.Черемхово, ул.Бердниковой,19, магазин ""Продукты""; г.Черемхово, улПроезд Краснопеева,40, магазин ""Продукты""",,,,,
89,ООО «Шанс»  инн 3820011372,Ми ФНС № 10 по Иркутской области и УОБАО № 1033820011562 от 10.07.2006 г.,№ 136-12 от 08.08.2012 по 08.08.2014,"г. Черемхово, ул. Первомайская, 207 маг. «Шанс»",,,,,
