"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Тайшетский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии  (в случае выдачи лицензии иными муниципальными образованиями),
53,"Магнит ООО"" ИНН 3815012821",г.Тайшет  МИ ФНС №5 по Иркутской обл.,№ 28 от 23.07.2012 взамен А556157 № 1от 30.01.2008 с 06.02.08 до 06.02.13 п/оф № 9 от 09.04.08 А 556102 с 15.04.08 по 06.02.13  п/оф  А 556278 № 18 от 28.07.08  с 29.07.2008 по 06.02.2013 п/оф А 556282 № 21 от 25.08.08 с 25.08.08 по 06.02.13 п/оф А 556258 № 1 от 23.01.09 с 23.01.09 по 06.02.13   п/оф. А556318 № 17 от 06.05.2009 с06.05.09 по 06.02.13 ;  А 556174  № 21 от 01.07.2009 с 01.07.09 по 06.02.13         А 556220 № 40 от 06.11.2009 с 06.11.09 по 06.02.13              А 556267   № 50 от 25.12.2009   с 25.12.09 по 06.02.13  А 556290 № 6 от 28.01.10 с 28.01.10 по 06.02.13 А 556291 № 7 от 15.02.2010 с 15.02.10 по 06.02.13   №9 А 556293от   05.03.10  с 05.03.10 по 06.02.13; А 556297 № 14 от 04.05.2010 04.05.10 по 06.02.13; А 556299 № 16 от 14.05.2010 с 14.05.10 по 06.02.13;  А 556355 № 26 от 09.08.2010 с 12.08.10 по 06.02.13 А176116 № 32 от 10.09.2010 с 10.09.10 по 06.02.13  А176121 № 38 от 29.10.2010 с 29.10.10 по 06.02.13А 176127 № 44 от 09.12.2010 по 06.02.2013  А 176134 № 64 от 28.12.2010г до 06.02.2013   А 176138 № 4 от 14.02.2011 с 14.02.11 по 06.02.13,"г. Тайшет, ул. Транспортная, 19-1н; г. Тайшет, ул. Пушкина, 18; г. Тайшет, ул. Ленина,111-2н; г. Тайшет ,ул. Партизанская, 18А; г. Тайшет, ул. Сердлова, 74; г. Тайшет, м-н Пахотищева, 1А-67Н; г. Тайшет, ул. Лазо,28-14н; г.Тайшет, ул. Капустина,26Б; г. Тайшет, м-н Пахотищева, 1-4Н; г. Тайшет, ул. Суворова,9-2н;Тайшетский район: с. Шелехово, ул.Первомайская,12; п. Юрты, ул. Комсомольская, 65А; п. Юрты, ул.Партизанская, 18;п. Юрты, ул. Советская, 27В;п. Юрты, ул. Советская, 34;п. Юрты, ул. Островского, 1А; п. Юрты, ул. Чкалова, 28н;п. Юрты, ул. Крупская,2; п.П.Юрты, ул. Дружбы,5А; с. Половино –Черемхово, ул. 1 Зеленая,28; п. Венгерка, ул. Центральная, 5А;г. Бирюсинск, Советская,5-1Н; г. Бирюсинск, ул. Отябрьская, 6-1Н; г. Бирюсинск, ул. Крупская, 44; п. Квиток, ул. Красной Звезды, 10А; . ст. Разгон, ул. Трактовая, 43, лит А; Чунский район:п. Лесогорск, ул. Ленина,21-19н; п. Лесогорск, ул. Комсомольская, 2-1; п. Лесогорск, ул. Калиниа,28; п. Лесогорск, ул. Ленина, 29А- 53Н; п. Чунский, ул. Ленина, 23 корпус 5А;п. Чунский, ул. Пролетарская, 54; п. Чунский, ул. Пролетарская,15Н; п. Чунский, ул. Комарова,6; п. Октябрьский, ул. Горького, 65Н; п. Новочунка, ул. Зеленая,21, помещение №1;. п. Новочунка, ул. Зеленая,21, помещение №2 ;.п. Новочунка, ул. Толстого, д.12/1; Нижнеудинский район: г. Алзамай, ул. Трактовая, 17; г. Алзамай, пер. Базарный, 15А; г. Алзамай, пер. Сосновый, 2.",,,,,,
,,,,,,,,,,
55,"Мика ООО""      ИНН      3815010461",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 244795 № 26 от 04.07.2006   с 04.07.2006 по 04.07.2011  А 556172 № 23 от 02.07.2009 с 02.07.09 по 05.07.11 А 556359 № 11 от 09.04.2010 с 09.04.2010 по 05.07.11 продлено с 06.07.11 до 06.07.12 продлено до 04.07.2013,"магазин-Тайшет, Транспортная,27; магазин-Тайшет, Гагарина, 125; магазин-Тайшет, Суворова, 1В- ТК ""Мика""",,,,,,
56,"Миллениум ООО"" ИНН     3815010912",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 244809  № 38 от 15.08.2006   с 15.08.2006 по 15.08.2011  продление срока до 16.02.2013 переоформ. № 47 от 15.08.2011 А242770 с16.08.2011 до 16.02.2013,"кафе-п.Н-Бирюсинский, ул. Ленина,22;                           магазин-п. Н-Бирюсинский, Чапаева,14 ;                        магазин- п.Н-Бирюсинский,  50 лет Октября, 5;                           магазин- п. Н-Бирюсинский, Железнодорожная,48А;         магазин- п.Тамтачет,Гайнулина,16;   магазин- п.Горевой.; маг.-п.Н-Бирюсинский, ул.Матросова,1А; маг. Н-Бирюсинский, Гастелло, 21; кафе.- Н-Бирюсинск, Железнодорожная,1А",,,,,,
57,Новые системы ООО ИНН 3815015043,г.Тайшет  МИ ФНС №5 по Иркутской обл.,А556313 № 46 от 15.12.2009 с 15.12.09 по 15.12.14,"магазин-г. Тайшет,Новый,11-197н ",,,,,,
58,Орион ООО     ИНН     3815008906,г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 244777  № 52 от 28.12.2005 с 01.01.2006 по 01.01.2011                  п/оф  А244793 № 24 от 03.07.2006  с 01.01.2006 по 01.01.2011                   п/оф  А 556144 № 9 от 28.02.2007        с 28.02.2007 по 01.01.2011    продлено до 01.07.2011 продлено  с 03.07.11 до 03.01.12; продлено с04.01.12 до 04.07.12: продлено А 242793 № 9 от 28.02.2007г. до 04.01.2013г; переоформлено А 242832 № 24 от 29.06.2012г до 04.01.2013,"бар -г.Тайшет,ул.Чапаева, 28;     магазин- г.Тайшет,ул.Чапаева,28;  магазин-г.Тайшет, ул.Пролетарская,51   магазин-г.Тайшет, ул.Горная, 128;",,,,,,
59,"Парус ООО""   ИНН3815013871",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 556281 № 24 от 11.09.2008 с 11.09.08 по 11.09.13         А 556218 № 42 от 27.11.09 с27.11.09 по 11.09.13 А 176140 № 6 от 15.03.2011 по 11.09.13,"Тайшетский район: магазин.-д. Пуляева,                  магазин.-д. Сергино.                   магазин-П.Квиток, Первомайская,117; магазин- п.Квиток, ул Кр.Звезды, 8",,,,,,
60,"Презент ООО"" ИНН     3815008896",г.Тайшет  МИ ФНС №5 по Иркутской обл.,№ 27 от 23.07.2012 взамен А 244775 № 49 от 28.12.2005  с 01.01.2006 по 01.01.2011                 п/оф А 22 № 14от 28.06.2006 А 244823 п/оф с 28.06.2006 по 01.01.2011   №19 от 11.06.10 А 556302 с 11.06.10 по 01.01.11п/оф. Продлено  до 01.07.2011 Продлено с 03.07.11 до 03.01.12; продлено с 04.01.12 до 04.01.13 А 242796,"Бирюсинкс, ул. П.Коммуны, 77н; Бирюсинск, ул. Дружбы,8А",,,,,,
61,"Провиантъ ООО"" ИНН 3815012275","г. Тайшет, МИ ФНС №5 по Иркутской обл.",А 556129 № 22 от 18.06.2007г    с     18.06.2007 до 18.06.2012г. Продлено до 18.06.2013,"магазин -г. Тайшет, ул.Пионерская,13",,,,,,
62,"Радуга вкуса ООО"" ИНН     3815011722",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 556136  № 16 от 12.04.2007    с 12.04.2006 по 12.04.2012  п/оф                        А 556149 № 32 от29.11.07с 12.04.2007 по 12.04.2012.п/оф А 556259 №37 от 30.12.2008 с 30.12.08 по 12.04.12; продлено до 12.04.2013,"магазин.Тайшет, Транспортная, 19н-4    магазин -Тайшет, Гагарина,96Б;     магазин Тайшет,м Новый, 19 А",,,,,,
63,"Развитие ООО"" ИНН3805707800","г. Братск, Ми ФНС по Иркутской области","МЕ 006186 № 618 от 14.05.2010г с 14.05.2010 по 04.09.2013; 38МЕ  006367 № 792 от 21,07,2011","маг. Тайшет, мкр-н Мясникова, 4-118н",,,,,Администрация г. Братска,
64,Рассвет ООО  ИНН        3815011144,г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 244813  № 42 от 28.08.2006   с 28.08.2006 по 28.08.2011  продление срока  до 16.08.2012,"магазин-Тайшет, Транспортная,60А ",15.02.2012г,25.02.2012г,,,,
65,"Реаль ООО""     ИНН       3838004577",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А556099 №3 от 03.02.2003 с 03.02.2003 по 03.02.2013   п/о № 15 от 28.06.2006     А 244824              03.02.2003 по 03.02.2013  А 176130 № 57 от 21.12.2010 до 03.02.2013,"магазин-п.Соляная, ул.Береговая, 3; магазин- п.Соляная,пр. Первомайский",,,,,,
66,"Ресторан Азия МУП"" ИНН 3815013938",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 556286 № 25 от 19.09.2008 с 19.09.08 по 19.09.13,"ресторан - Тайшет, Суворова,7",,,,,,
67,"Рио ООО""         ИНН     3815010817",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 242763  № 32 от 12.07.2011   с 12.07.2011 по 12.07.2012  продлена джо 12.07.2013,"магазин-Тайшет, Чапаева, 46А",,,,,,
68,Русь ООО      ИНН         3815008984,г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 244765 № 46 от 28.12.2005г  с01.01.2006 по 01.01.2011                    п/оф А 556113 № 6 от 12.02.2007   п/оф                        с 12.02.2007 по 01.01.2011 продлено до 01.07.2011 продлено с 03.07.11 до 03.01.12; продлено  с  04.01.12 до 04.07.12 продлена до 04.07.2013 ,"магазин-г. Тайшет, Кирова,23; магазин- г.Тайшет,Горная, 54; магазин-г.Тайшет, Марата, 18",,,,,,
69,"Рябинка ООО""  ИНН 3815011514",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 556253 №7 от 06.03.2009 с 06.03.2009 по 06.03.2014,"магазин- г, Тайшет, Победы,167",,,,,,
70,"Сибирский лес ОАО""                     ИНН     3838000766",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А556081  №49 от 27.12.2002     с 27.12.2002 по 27.12.2011 продлено с 28.12.2011 до 28.06.2012 А 242788; продлено  до 28.12.2012г,"магазин- Тайшетский район, с.Николаевка, ул.Ленина, 39 ",,,,,,
71,"Сибирь ООО"" ИНН     3815008173 ",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 244806  № 35 от 28.07.2006    с 28.07.2006 по 28.07.2011  А 176137 № 2 от 27.01.11 по28.07.2011 срок продлен до 29.07.2012,"магазин-п.Юрты, Центральная, 3-2н магазин-Юрты, Горького,1а",,,,,,
72,Сибком ООО ИНН     3815011634,г.Тайшет  МИ ФНС №5 по Иркутской обл.,№ 60 от 26.12.2006   А556177                                                с 26.12.2006 по 26.12.2011; продлено с 27.12.11 до 27.12.12 А 242789,"магазин- Бирюсинск, Ленина,19 ; магазин-г.Бирюсинск, Жил-городок",,,,,,
73,Сибновторг ООО ИНН      3838000974,г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 556095  № 7 от 19.02.2003 с19.02.2003 по 19.02.2013  п/оф  А 556140   №13 от 02.04.2007   с 19.02.2003 по 19.02.2013  А176145 № 11 от 12.04.2011г  по 19.02.13,"кафе -п.Н-Бирюсинский, ул.50 лет Октября,2;                     магазин-Н-Бирюсинский,Калинина 24А; магазин-НБирюсинский,50 лет Октября,2; магазин-п.Новобирюсинский, Первомайская,20;магазин-п.Новобирюсинский, Набережная,1 магазин- Тамтачет, Гайнулина; б/№; магазин-п.Горевой, Лесная,б/№; магазин-с.Мирный, ул. Октябрьская,18А; ;магазин- п.Пея, ул.Березовая,8 ",,,,,,
74,Соболь ООО ИНН     3838004954,г.Тайшет  МИ ФНС №5 по Иркутской обл.,№ 58 от 30.12.2005       А244784          с 31.12.2005 по 31.12.2010 продлено до 01.01.2012; продлено  с 02.01.12 до 02.01.13 А 242795,"магазин-Тайшет, Новый,11; магазин- Тайшет, Пушкина, 6 ",,,,,,
75,"Стар ООО""      ИНН     3815010831 ",г.Тайшет  МИ ФНС №5 по Иркутской обл.,"А 556204 № 46 от 06.10.2006  с 06.10.2006 по 06.10.2011 п/оф А 556138  №14 от 02.04.2007      с 06.10.2006 по 06.10.2011  срок продлен  до 07.04.2012; А 242778 № 58 от 24,10,2011 с 24.10.11 по 07.04.12; А 242816 № 58 от 24.10.2011 срок продлен  до 07.10.2012г","магазин-Бирюсинск, Нагорная, 32; магазин- Бирюсинск, Горького, 13-1н",,,,,,
76,"СТЕЛС ООО"" ИНН3815014762",г.Тайшет  МИ ФНС №5 по Иркутской обл.,"№ 32 от 30.07.2012 взамен А 556331 №28 от 18.08.2009 с 18.08.09 по 18.08.14   А 556329  №31 от 15.09.2009 с 15.09.09 по 18.08.14                    А556214 №45 от 09.12.2009 с09.12.09 по 18.08.14  А 556263 № 2от 22.01.10 с 22.01.10 по 18.08.14; А 556298 № 15 от 07.05.2010 07.05.10 по 18.08.14  № 22 от 30.06.2010 с 30.06.10 по 18.08.14; А 176146 № 28 от 17.08.2010 с 17.08.10 по 18.08.14 № 34 от 01.10.2010 с 01.10.10. по 18.08.14; № 36 от 21.10.2010 с21.10.10 по 18.08.14 А 176129 № 62 от 22.12.2010 по 18.08.2014  А176141 № 7 от 24.03.2011 с 24.03.2011 по 18.08.14 А242759 № 19 от 25.05.2011 до 18.08.2014 переоформ. № 49 от 05.08.2011 А242769 с05.08.11 до 18.08.14: А 242777 № 53 от 09,09.2011","г. Тайшет, ул. Гагарина, 2-45Н; г. Тайшет, ул. Локомотивная, 1-2Н; г. Тайшет, ул. Кирова,23; г. Тайшет ,ул. Терешковой, 4-1Н; г. Тайшет, ул. Кирова, 236 В; г. Тайшет, м-н Пахотищева, 24А; г. Тайшет, ул. Свердлова, 106; Тайшетский район ст. /с. Саранчет 2й, ул. Центральная, 31; с. Шелехово, ул. Первомайская, 35; с. Шелехово, ул. Первомайская, 18; с. Шелехово, ул.Октябрьская, 8; п. Юрты, ул. Школьная, 8;п. Квиток, ул.Первомайская, 139; п. Квиток, ул. Первомайская,45; с. Борисово, ул. Центральная; п. Тимирязева, ул. Зеленая, 35; п. Шиткино, ул. Ленина, 9;Чунский район: п. Октябрьский, ул. Горького, 2А;п. Чунский, мкр Северный, 5-1Н.",,,,,,
,,,переофор. А 242797 ; 73 от 30.12.2011г  с 30.12.11 до 18.08.14г.; А 242804 № 4 от 06.02.12г. по 18.08.14г.; переоформл. А 242811 № 9 от 28.03.2012г до 18.08.2014г. Переоформлено А 242831 № 23 от 20.06.2012г с 20.06.12 до18.08.14г ,,05.03.2012г,3/26/2012,,,,
77,Тайшетторг ООО 3815006320,г.Тайшет  МИ ФНС №5 по Иркутской обл.,№ 29 от 26.07.2012 взамен №30 от 24.12.2004           А 174739                24.12.2004 по 24.12.2024                   п/оф А556272  №13 от 07.05.08  с 07.05.2008 по 24.12.2024; А 242776 № 54 от 05.09.2011; А 242826 № 19 от 23.05.2012г до 24.12.2024,"Тайшет, ул. Гагарина, 129-1н; Тайшет, ул. Кирова, 226-9н; Тайшет, ул. Кирова,226-2н;Тайшет, ул. Суворова, б/№; Тайшет, ул.Транспортная, 11-56н; Тайшет, ул. Транспортная,13",,,,,,
78,"Ташкент ООО"" ИНН     3815010422",г.Тайшет  МИ ФНС №5 по Иркутской обл., А 556208 № 49 от 24.10.2006     с 24.10.2006 по 24.10.2011                    А п/оф 556127 № 23 от20.06.2007 с24.10.2006 по 24.10.2011п/оф.                        А 556150 № 31 от 19.11.2007 с 24.10.2006  до 24.10.2011А556176 № 20 от 15.06.2009 с 15.06.09 по 24.10.11; срок продлен с 25.10.2011 по 25.10.2012 Переоформлено А 242781 № 62 от 03.11.11; переоформ. А 242817 от 30.03.2012г до 25.10.2012г,"магазин -Тайшет: Пахотищева,20;               магазин- Бирюсинск,: Нагорная,9н       ;магазин-Бирюсинск,Советская,16а      ;магазин-Бирюсинск, Новый,2 ",,,,,,
79,"Трион ООО""     ИНН3815010944","г. Тайшет, МИ ФНС №5 по Иркутской обл.",А 556126 № 24 от 02.07.07 с    02.07.2007 до 02.07.2012 п/оф № 26 от 29.09.2008 А 556235 с 29.09.08 по 13.07.12 А 242752 № 13 от 18.04.2011 по 13.07.12,"кафе-г.Тайшет, ул. Пушкина35",,,,,,
80,"Удача ООО""      ИНН     3815008720",г.Тайшет  МИ ФНС №5 по Иркутской обл.," а 244758 №36 от 10.11.2005г с 11.11.2005 по 11.11.2010                 п/оф  А 244830 № 20 от 30.06.2006 г с 11.11.2005 по 11.11.2010                       п/оф А 556145 № 8 от 27.02.2007      с 11.11.2005 по 11.11.2010  № 17 от 01.06.2010 А556300 с 01.06.10 по 11.11.2010 п/оф. Продлено  с12,11,10 по 12.05.11 продлено до 12,11.11 Продлено  до 12,11,2012 г","магазин-Тайшет, Гагарина,123; магазин- Тайшет, Локомотивная, 7-1н; магазин-Тайшет, Транспортная, 37-21н ",,,,,,
81,"Хрусталь ООО"" ИНН     3815010743 ",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 244805  №34 от 26.07.2006   с 26.07.2006 по 26.07.2011   срок продлен до 27.01.2014,"магазин-Тайшет, Новый, 1н ",,,,,,
82,"ЭЛИТ ООО""  ИНН3815015244",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 556266 № 49 от 28.12.2009 с 28.12.09 по 28.12.14г.; А 242803 № 3 от 06.02.12г. по 28.12.14г. ,"маг. -г.Тайшет, ул.Гагарина,100-2Н; маг. -г.Тайшет, ул. Транспортная,35-31Н;",,,,,,
83,Юкон ООО ИНН 3815007035,г.Тайшет  МИ ФНС №5 по Иркутской обл.,№ 24 от 29.12.2003 А 228442                                 с 29.12.2003 по 29.12.2023                  п/оф А556261  № 35 от 19.12.2008 с 19.12.08 по 29.12.23; переоформ. А 242809; № 7 от 26.03.2012г до 29.12.23,"магазин-Бирюсинск, Горького,11;  магазин-Бирюсинск, Хмельницкого, 27А ",,,,,,
,,,,,,,,,,
,,,,,,,,,,
