Реестр действующих лицензий на розничную продажу алкогольной продукции на 01.09.2012 года,,,,,,,,,,,,,,,,,,
№п/п,Наименование организациии,ИНН,КПП,Адрес юридический,Адрес осуществления вида деятельности,Код субъекта РФ,Регистрационный номер лицензии,Серия лицензии,Номер лицензии,"Дата выдачи (месяц, число, год)","Дата окончания действия (месяц, число, год)","Дата приостановления действия (месяц, число, год)","Дата возобновления действия (месяц, число, год)","Дата прекращения действия (месяц, число, год)","Дата аннулирования (месяц, число, год)",Руководитель организации,Контактный телефон,"Муниципальный орган, выдавший лицензию"
83,"ООО ""Вираж""",408016085,410001001,"РА Чемальский район, с.Усть-Сема, ул.Трактовая,19","РА Чемальский район, с.Усть-Сема, ул.Трактовая,19",,,,914,08.27.2012,08.26.2013,,,,,,,"МО ""Чемальский район"""
83,ООО «Лиза»,411134762,41101001,"РА Чемальский район, с. Эликманар, ул. Советская, 145А ","Чемальский район, с.Элекмонар, ул.Советская,145А",,54,Г,473,12.25.2007,12.24.2012,,,,,Бородина Н.В.,8(38841)24449,"МО ""Чемальский район"""
84,ООО «Феникс»,411135815,41101001,"РА Шебалинский район, с.Черга, ул.Октябрьская,46","РА Шебалинский район, с.Черга, ул.Октябрьская,46; с.Черга, ул.Октябрьская,133; Майминский район,с.Майма,ул.Ленина,67А",,42,ГА,1037,02.14.2012,02.14.2013,,,,,Ощепков С.М.,89136942540,"МО ""Шебалинский район"""
85,ООО «Шонкор-Трейд»,411136752,41101001,"РА Шебалинский район, с.Шебалино, ул.Федорова,18","РА Шебалинский район, с.Шебалино, ул.Федорова,18",,27,Г,413,04.21.2008,04.21.2013,,,,,Соколова Л.А.,,"МО ""Шебалинский район"""
86,ООО «Ырысту»,411142650,41101001,"РА Шебалинский район, с.Дьектиек, ул.Советская,8","РА Шебалинский район, с.Дьектиек, ул.Советская,8",,30,Г,410,03.16.2009,03.16.2013,,,,,Тодошева Р.Н.,89236976401,"МО ""Шебалинский район"""
87,Сельпо «Шебалинское»,405002648,40501001,"РА Шебалинский район, с.Шебалино, ул.Советская,82","РА Шебалинский район, с.Шебалино, ул.Советская,82; с.Верх-Апшуяхта, ул.Центральная,25",,32,А,2,11.16.2010,11.16.2012,,,,,Сухорукова Е.Е.,8(38849)22141,"МО ""Шебалинский район"""
88,ООО «Арслан»,408016021,40501001,"РА Шебалинский район, с.Шебалино, ул.Советская, 70","Шебалинский район, с.Шебалино, ул.Советская,29;ул.Советская, 70",,33,Г,1039,07.23.2012,07.22.2013,,,,,Бобуева Т.И.,8(38849)22595,"МО ""Шебалинский район"""
89,ООО «Эдельвейс»,408015966,40801001,"РА Шебалинский район, с.Черга, ул.Октябрьская, 126А","РА Шебалинский район, с.Черга, ул.Октябрьская,126А",,34,Г,415,07.20.2011,07.20.2016,,,,,Черноталова Г.С.,8(38849)26347,"МО ""Шебалинский район"""
90,ООО «Аяс»,411126722,40501001,"РА Шебалинский район, с.Шебалино, ул.Молодежная 4а","РА Шебалинский район, с.Шебалино, ул.Советская,33; ул.Советская,43",,35,Г,416,07.20.2011,07.20.2013,,,,,Идубалин И.В.,8(38849)22707,"МО ""Шебалинский район"""
91,ООО «Успех»,405003264,40501001,"РА Шебалинский район, с.Шебалино, ул. Советская,90","РА Шебалинский район, с.Шебалино, ул.Советская,90; ул. Партизанская,76",,36,Г,417,11/7/2011,12/7/2013,,,,,Егармин С.Г.,8(38849)22482,"МО ""Шебалинский район"""
92,ООО «Елена»,408015941,40501001,"РА Шебалинский район, с.Шебалино, ул.Советская,76","Шебалинский район, с.Шебалино, ул.Советская,76; ул.Советская,138",,37,ГА,1040,7/8/2012,6/8/2013,,,,,Гусельникова С.В.,8(38849)22495,"МО ""Шебалинский район"""
93,ООО «Стимул»,408015973,40501001,"РА Шебалинский район, с.Черга, ул.Чапаева,24а","Шебалинский район, с.Черга, ул.Чапаева,24; с.Улус-Черга, ул.Октябрьская,24",,38,А,1,8/9/2011,8/9/2012,,,,,Чернышев А.В.,8(38849)26311,"МО ""Шебалинский район"""
94,ООО «Азыков-Сервис»,408016303,40501001,"РА Шебалинский район, с.Шебалино, ул.Советская,3","РА Шебалинский район, с.Шебалино, ул.Советская,3",,39,Г,420,09.28.2011,09.28.2012,,,,,Азыков В.П.,8(38849)22498,"МО ""Шебалинский район"""
95,ООО «Карагай»,405001073,40501001,"РА Шебалинский район, с.Топучая, ул.Центральная,38","РА Шебалинский район, с.Шебалино, ул.Советская,88; с.Шебалино, ул.Советская,37; с.Дьектиек; с.Топучая",,12,Г,392,08.16.2006,08.16.2012,,,08.16.2012,,Шабуракова Л.Т.,8(38849)22705,"МО ""Шебалинский район"""
96,ООО «Чолмон»,405111834,40501001,"РА Шебалинский район, с.Черга, ул.Молодежная,19","РА Шебалинский район, с.Черга, ул.Беляева,28",,19,Г,399,04.16.2007,04.16.2012,,,04.16.2012,,Лебедев В.В.,8(38849)26392,"МО ""Шебалинский район"""
97,ООО «Алина»,408016208,40501001,"РА Шебалинский район, с.Каспа, ул.К.Телесова, 38А","РА Шебалинский район, с.Каспа, ул.Телесова,38А",,20,Г,400,04.18.2007,04.17.2012,,,04.17.2012,,Иркитова Р.С.,,"МО ""Шебалинский район"""
98,ООО «Мария»,408016776,40501001,"РА Шебалинский район, с.Шыргайта, ул.Большевик, 3А","РА Шебалинский район, с.Шыргайта, ул.Большевик,3А; с.Барагаш, ул.Калинина,39",,41,А,6,10.28.2011,10.27.2012,,,,,Какапакова М.Д.,89136943579,"МО ""Шебалинский район"""
99,"ООО ""Морозовых""",408016198,40501001,"РА Шебалинский район, с.Шебалино, ул.Партизанская,9","РА Шебалинский район, с.Шебалино, ул.Партизанская,9",,41А,ГА,1036,01.31.2012,01.31.2013,,,,,Морозова Л.А.,8(38849)22258,"МО ""Шебалинский район"""
100,"ООО ""У Макаровны""",411156090,411101001,"РА Шебалинский район, с.Барагаш,ул.Песчаная,4А","РА Шебалинский район, с.Шебалино, ул.Песчаная,4А",,43,ГА,1038,5/4/2012,5/4/2013,,,,,Арбакова Г.М.,89139986656,"МО ""Шебалинский район"""
101,ООО «Лада»,408016342,40501001,"РА Шебалинский район, с.Шыргайта, ул.Большевик, 3В","РА Шебалинский район, с.Барагаш, ул.Калинина,43; с.Беш-Озек, ул.Советская,4",,40,А,4,10.24.2011,10.23.2012,,,,,Ойношев В.Г.,89139987889,"МО ""Шебалинский район"""
102,ООО «Носова Л.И.»,403004992,40301001,"РА Усть-Канский район, с.Усть-Кан ул.Ленинская,54","РА Усть-Канский район, с.Усть-Кан:ул.Ленинская,40; ул.Ленинская,50 А; ул. Ленинская,54; ул. Первомайская,7; ул. Ленинская,86;ул. Тугомбаева,30; ул.Ленинская,2 Г г.Горно-Алтайск, ул.Улалушинская.29; ул.Чаптынова,62",,3,Г,278,06.15.2011,06.22.2012,,,,,Носова Л.И.,8(38847)22585,"МО ""Усть-Канский район"""
103,"ООО ""Кудачина ОА.""",403004985,40301001,"РА Усть-Канский район, с.Яконур ул.Партизанская,33/2","РА Усть-Канский район,  сЯконур, ул.Кудачина,20А",,2,Г,259,06.19.2011,06.20.2016,,,,,Кудачина А.А.,8(38847)22848,"МО ""Усть-Канский район"""
104,ООО «МолчоевС.А»,403004801,40301001,"РА Усть-Канский район, с.Усть-Кан ул.Ленинская,46","Усть-Канский район, с.Усть-Кан, ул. Ленинская,46; ул.Ленинская,87«Б»;ул. Юбилейная,4; ул.Лесная,23А;",,3,Г,778,06.23.2011,06.22.2012,,,,,Молчоев С.А.,8(38847)22959,"МО ""Усть-Канский район"""
,,,,," с.Ябоган ул.Ойношева,47; с.Онгудай ул.Ленина,3; ул.Советская,89; г.Горно-Алтайск ул.Промышленная,д.5/1; ",,,,,,,,,,,,,
,,,,,"с.Усть-Кокса, ул.Советская,98",,,,,,,,,,,,,
105,ООО «Толбин С.Ф.»,403005001,40301001,"РА Усть-Канский район, с.Усть-Кан ул.Космонавтов,28","РА Усть-Канский район, с.Кырлык ул.Елеусова,2, ул.Сартакпая,22А; с.Мендур-Соккон, ул.Шодоева,30",,5,Г,262,06.27.2011,06.26.2012,,,,,Толбин С.Ф.,8(38847)22126,"МО ""Усть-Канский район"""
106,"ООО ""Маргаритка""",404004628,40401001,"РА Усть-Канский район, с.Мендур-Сокон, ул.Шодоева И.В.,30","РА Усть-Канский район, с.Мендур-Соккон, ул.Шодоева И.В.,30",,7,ГА,755,4/6/2012,4/6/2013,,,,,Сапышева К.Н.,,"МО ""Усть-Канский район""ё"
107,ООО «Камила»,403005700,40301001,"РА Усть-Канский район, с.Усть-Кан, ул.Космонавтов,б/н","РА Усть-Канский район, с.Козуль  ул.Молодежная,15",,5,Г,779,06.28.2011,06.27.2016,,,,,Модоров В.П.,89030743465,"МО ""Усть-Канский район"""
108,ООО «Кроха»,404008291,40301001,"РА Усть-Канский район, с.Усть-Кан, ул. Тугамбаева,41А","РА Усть-Канский район, с.Усть-Кан ул.Тугамбаева41А",,6,Г,780,08.19.2011,08.18.2012,,,,,Константинова Л.С.,89625827292,"МО ""Усть-Канский район"""
109,ООО «Эдельвейс»,403005026,40301001,"РА Усть-Канский район, с.Усть-Кан ул.Первомайская, б/н.","РА Усть-Канский район, с.Усть-Кан ул.Первомайская,б/н; ул.Ленинская,50; ул.Октябрьская,68; ул.Космонавтов б/н",,8,ГА,756,07.16.2012,07.16.2013,,,,,Шестаков В.Ф.,8(38847)22690,"МО ""Усть-Канский район"""
110,ООО «Фаворит»,403005040,40301001,"РА Усть-Канский район, с.Коргон, ул.Советская,63","РА Усть-Канский район с. Коргон  ул.Советская,34; с.Владимировка, ул. Центральная,17",,9,Г,231,08.16.2011,08.16.2012,,,,,Воробьев А.В.,8(38847)26523,"МО ""Усть-Канский район"""
111,ООО «Аранур»,403004713,40301001,"РА Усть-Канский район, с.Усть-Кан, ул.Ленинская,44","РА Усть-Канский район с.Усть-Кан ул.Ленинская,44",,1,ГА,751,1/3/2012,1/3/2013,,,,,Садучина Л.В.,8(38847)22454,"МО ""Усть-Канский район"""
112,ООО «Урсула»,403005033,40301001,"РА Усть-Канский район, сМендур-Соккон ул.Кокышева,9","РА Усть-Канский район с.Мендур-Соккон ул.Казакова,9",,17,Г,241,01.31.2007,01.28.2012,,,,,Матина О.В.,8(38847)29574,"МО ""Усть-Канский район"""
113,ООО «Теремок»,403005227,40301001,"РА Усть-Канский район, с.Черный Ануй пер.Больничный,5","РА Усть-Канский район с.Черно-Ануй пер.Подгорный,4; с.Каракол, ул.Центральная,4",,2,ГА,752,5/3/2012,5/3/2013,,,,,Стерликова С.Н.,8(38847)21332,"МО ""Усть-Канский район"""
114,"ООО ""Батыр""",403005058,40301001,"РА Усть-Канский район, с.Усть-Мута, ул.Школьная,1","РА Усть-Канский район, с.Усть-Мута, ул.Школьная,1",,12,Г,782,01.19.2012,01.18.2013,,,,,Арбаева С.М.,8(38847)29349,"МО ""Усть-Канский район"""
115,ООО «Задонцева»,403005210,40301001,"РА Усть-Канский район, с.Черный Ануй ул.Центральная,2","РА Усть-Канский район, с.Черный Ануй ул.Центральная,2",,20,Г,244,03.16.2007,03.16.2012,,,,,Задонцева О.В.,89039199376,"МО ""Усть-Канский район"""
116,ООО «Сурайа»,403005080,40301001,"РА Усть-Канский район, с.Мендур-Соккон ул.Шодоева 39","РА Усть-Канский район с.Мендур-Соккон ул.Кестелевой,31/3",,3,ГА,753,03.28.2012,03.28.2013,,,,,Тодошева М.В.,8(38847)29516,"МО ""Усть-Канский район"""
117,ООО «Натали»,404008478,40301001,"РА Усть-Канский район, с.Яконур, ул.Кудачина,46А","РА Усть-Канский район, с.Яконур, ул.Кудачина,46А",,12,Г,781,12.27.2011,12.27.2012,,,,,Кабанова Р.Е.,,"МО ""Усть-Канский район"""
118,ООО «Талица Трейд»,403005763,40301001,"РА Усть-Канский район, с.Усть-Кумир ул.Зеленая,40","Усть-Канский район с.Усть-Кумир ул.Зеленая,20; ул.Зеленая,38; Усть-Канский район с.Тюдрала ул.Чарышская,25",,7,Г,274,7/5/2009,6/5/2014,,,,,Мельничук В.И.,8(38847)26347,"МО ""Усть-Канский район"""
119,ООО «Исток»,403005322,40301001,"РА Усть-Канский район, с.Каракол,ул.Центральная, 11","РА Усть-Канский район с.Каракол ул.Центральная, д.15 А",,26,Г,261,1/10/2008,3/10/2013,,,,,Маташев А.Н.,89039191787,"МО ""Усть-Канский район"""
120,ООО «Матина»,403005386,40301001,"РА Усть-Канский район, с.Козуль ул.Модорова,10/2 ","РА Усть-Канский район с.Козуль ул.Т.Модорова, 10/2",,23,Г,264,10.27.2008,10.27.2013,,,,,Матина Н.В.,9136916866,"МО ""Усть-Канский район"""
121,ООО «Магнат»,403005587,40301001,"РА Усть-Канский район, с.Усть-Кан ул.Октябрьская,1","РА Усть-Канский район с.Усть-Кан ул.Октябрьская,1",,24,Г,265,11.24.2008,11.24.2013,,,08.13.2012,,Мекечиенова Я.К.,9036930012,"МО ""Усть-Канский район"""
122,ООО «Мария»,403005160,40301001,"РА Усть-Канский район, с.Усть-Кан, ул.Кирпичная,49/1","РА Усть-Канский район с.Усть-Кан, ул.Ленинская,87А; ул.Космонавтов,1",,13,Г,276,5/12/2011,5/12/2012,,,,,Баданова М.З.,8(38847)22185,"МО ""Усть-Канский район"""
123,ООО «Ануйский»,403005668,40301001,"РА Усть-Канский район, с.Черный Ануй ул.Центральная, 66","РА Усть-Канский район с.Черно-Ануй ул.Центральная,66",,26,Г,268,12.16.2008,12.16.2013,,,,,Каткова Е.В.,8(38847)21314,"МО ""Усть-Канский район"""
124,ООО «Танюша»,403005403,40301001,"РА Усть-Канский район, с.Санаровка, ул.Волонковская,35","РА Усть-Канский район с.Санаровка ул.Волонковская,24",,27,Г,269,12.25.2008,12.25.2013,,,,,Байталакова Л.К.,8(38847)26351,"МО ""Усть-Канский район"""
125,ООО «Кума»,403005065,40301001,"РА Усть-Канский район, с.Владимировка, ул.Центральная,2","РА Усть-Канский район, с.Владимировка, ул.Центральная,31/3",,12,Г,235,12.14.2011,12.14.2012,,,,,Бияшева М.П.,8(38847) 26377,"МО ""Усть-Канский район"""
126,ООО «Бельчекова»,403005717,40301001,"РА Усть-Канский район, с.Усть-Кан, ул.П.Е.Кудачина, 15","Усть-Канский район с.Яконур ул.П.Е.Кудачина,15 Б",,29,Г,273,4/3/2009,3/3/2014,,,,,Бельчекова Н.А.,8(38847)25304,"МО ""Усть-Канский район"""
127,ООО «Айас»,403005379,40301001,"РА Усть-Канский район, с.Мендур-Соккон, ул.Кестелевой,76","РА Усть-Канский район с. Мендур-Соккон ул.Казакова Т.Т., 22",,30,Г,275,05.21.2009,05.20.2014,,,,,Анчинова Н.В.,89139902749,"МО ""Усть-Канский район"""
128,"ООО ""Влада""",403005361,40301001,"РА Усть-Канский район, с.Бело Аный, ул.Советская,126","РА Усть-Канский район с.Бело Ануй ул.Советская, 126",,33,Г,279,11.13.2009,12/11/2014,,,,,Тонычева М.А.,8(38847)24329,"МО ""Усть-Канский район"""
129,ООО Разноторг,403004960,40301001,"РА Усть-Канский район, с.Усть-Кан ул.Интернациональная,20/1",РА Усть-Канский район с. Усть-Кумир ул. Зелёная 36,,6,Г,271,3/7/2011,2/7/2012,,,,,Паутов В.В.,8(38847)26421,"МО ""Усть-Канский район"""
130,"ООО ""Огонек""",404004434,4040101,"РА Усть-Канский район,с.Яконур, ул.Кудачина,14А","РА Усть-Канский район, с.Яконур, ул.Кудачина,14А",,4,ГА,754,04.17.2012,04.17.2013,,,,,Тюрюмина И.А.,8(38847),"МО ""Усть-Канский район"""
131,"ООО ""Кумир""",403005837,40301001,"РА Усть-Канский район, с.Усть-Кумир, ул.Проездная,10","РА Усть-Канский район, с.Усть-Кумир, ул.Проездная,10",,32,Г,280,11.27.2009,11.26.2014,,,,,Иванова М.Н.,89139935997,"МО ""Усть-Канский район"""
132,ООО «Арида»,406004630,40601001,"Усть-Коксинский район с.Тюгурюк, ул. Лесная,6","Усть-Коксинский район с.Тюгурюк, ул. Лесная,6",,246,Г,360,09.13.2010 ,11/9/2015,,,,,Гребенщикова С.А.,8(38848)23174,"МО ""Усть-Коксинский район"""
133,ООО «Элегия»,406004736,40601001,"РА Усть-Коксинский район, с.Усть-Кокса, ул.Сухова,43","Усть-Коксинский район с. Усть-Кокса, ул.Сухова,43;с.Чендек, ул.Садовая,8; с.Катанда, ул.Советская,144",,247,Г,361,12/4/2011,10/4/2016,,,,,Лукьянова Н.Г.,8(38848)22023,"МО ""Усть-Коксинский район"""
134,ООО «Магас»,406005578,40601001,"РА Усть-Коксинский район, с.Талда, ул.Центральная,15А","РА Усть-Коксинский район с.Талда, ул.Центральная,9А",,248,Г,362,07.15.2011,07.13.2016,,,,,Кузьгов Б.Х.,89136945434,"МО ""Усть-Коксинский район"""
135,ЗАО «Уч-Сумер»,406003980,40601001,"РА Усть-Коксинский район, с.Тюнгур,ул.Заречная,5","РА Усть-Коксинский район с.Тюнгур,ул.Заречная,5",,249,Г,363,07.19.2011,07.17.2016,,,,,Сайланкин К.Н.,,"МО ""Усть-Коксинский район"""
136,СПО «Усть-Коксинское»,406003820,40601001,"РА Усть-Коксинский район, с.Усть-Кокса, ул.Советская,79","Усть-Коксинский район, с.Усть-Кокса, ул.Советская, 79; ул.Советская, 67, ул.Советская,81, пер. Пекарский,4, ",,256,ГА,837,07.30.2012,07.29.2013,,,,,Смирнова Ю.Н.,8(38848)22400,"МО ""Усть-Коксинский район"""
,,,,,"с.Кучерла, ул.Ленина,15; с.Тюнгур, ул.Сухова,55; с.Катанда, ул.Советская,132; с.Баштала, ул.Центральная,13; ",,,,,,,,,,,,,
,,,,,"с.Кастахта, ул.Центральная, 7; с.Юстик, ул.Ленкома, 38; с.Амур, ул.Советская,49; с.Абай, ул.Советкая,4  ",,,,,,,,,,,,,
137,ООО «Тандем плюс»,406004895,40601001,"РА Усть-Коксинский район, с.Катанда,ул.Сухова,49","Усть-Коксинский район с.Катанда ул.Советская ,109;с.Тюнгур ул.Сухова ,149; с.Катанда, ул.Советская,5;",,255,ГА,833,07.30.2012,07.29.2013,,,,,Платонов А.П.,8(38848)29414,"МО ""Усть-Коксинский район"""
,,,,,"с.Верх-Уймон ул.Центральная,7 А",,,,,,,,,,,,,
138,ООО «Миг»,406004920,40601001,"РА Усть-Коксинский район, с.Усть-Кокса, ул.Советская,77","РА Усть-Коксинский район с.Усть-Кокса ул.Советская,17 А",,234,Г,347,09.21.2007,09.20.2012,,,,,Сартакова Г.П.,8(38848)22751,"МО ""Усть-Коксинский район"""
139,ООО «Виктория»,406005000,40601001,"РА Усть-Коксинский район, с.Усть-Кокса,ул.Мирная 5/2","РА Усть-Коксинский район, с.Усть-Кокса,ул.Советская,149;ул. Мирная 5А",,235,Г,348,8/10/2007,7/10/2012,,,,,Черкайкина Л.Е.,8(38848)22164,"МО ""Усть-Коксинский район"""
140,ООО «Березка -Козырь»,406005031,40601001,"РА Усть-Коксинский район, с.Усть-Кокса, ул.Советская,62А","РА Усть-Коксинский район, с.Усть-Кокса, ул.Советская,62А",,236,Г,349,11.15.2007 ,11.14.2012 ,,,,,Козырева Е.Ф.,89136950249,"МО ""Усть-Коксинский район"""
141,ЗАО «Курдюм»,406001252,40601001,"РА Усть-Коксинский район, с.Карагай, ул.Центральная 16/2","РА Усть-Коксинский район с.Карагай. ул. Центральная,16/2",,237,Г,350,12.18.2007,12.17.2012,,,,,Попов А.П.,8(38848)26519,"МО ""Усть-Коксинский район"""
142,ООО «Торговый дом «Альянс»,406004790,40601001,"РА Усть-Коксинский район, с.Мульта","ул.Харитошкина,12; с.Горбуново, ул.Майская,6; с.Н-Уймон,ул.Луговая,19;",,224,Г,334,09.14.2006,09.13.2016,,,,,Лукин А.В.,8(38848)28310,"МО ""Усть-Коксинский район"""
,,,,,"с.Чендек, ул.Центральная,10; с.Катанда, ул.Советкая,140; с.Тихонькая,ул.Центральная,9А;",,,,,,,,,,,,,
,,,,,"с.Мульта,ул.Центральная,34А;с.В-Уймон, ул.Центральная,7",,,,,,,,,,,,,
143,ООО «Светлана»,406004775,40601001,"РА Усть-Коксинский район, с.Абай","Усть-Коксинский район с.Юстик,ул.Ленкома,26; с.Амур,ул.Советская,45; ул.Советская,47;с.Абай, ул.Советская,49;",,229,Г,342,12.29.2006,12.28.2012,,,,,Идрюкова С.А.,8(38848)27312,"МО ""Усть-Коксинский район"""
,,,,,"с.Банное, ул.Центральная,32; с.Сугаш,ул.Заря Алтая,10; с.Талда,ул.Центральная,20/2",,,,,,,,,,,,,
144,ООО «Аист»,406004800,40601001,"РА Усть-Коксинский район, с.Усть-Кокса, пер.Школьный,7","РА Усть-Коксинский район с.Усть-Кокса, пер.Школьный,7",,225,Г,336,09.25.2006 ,09.23.2016,,,,,Торосян Л.О.,8(38848)23012,"МО ""Усть-Коксинский район"""
145,ООО «Сибирь»,406004743,40601001,"РА Усть-Коксинский район, с.Мульта","Усть-Коксинский район с.Верх-Уймон, ул.Центральная,8; с.Мульта, ул.Центральная,42;",,221,В,185,06.30.2006,06.28.2016,,,,,Субботин В.П.,8(38848)28320,"МО ""Усть-Коксинский район"""
,,,,,"с.Чендек, ул.Зеленая,3А;с.Талда,ул.Центральная,9А",,,,,,,,,,,,,
146,ООО «Елена»,406004817,40601001,"РА Усть-Коксинский район, с.Сугаш , ул.Заря Алтая,2А","РА Усть-Коксинский район, с.Сугаш , ул.Заря Алтая,2А",,228,Г,340,11.17.2006,11.16.2012,,,,,Матина Е.Д.,8(38848)26757,"МО ""Усть-Коксинский район"""
147,ООО «Скорпион-1»,406004782,40601001,"РА Усть-Коксинский район, с.Усть-Кокса, ул.Советская,118","РА Усть-Коксинский район с.Усть-Кокса, ул.Советская,118",,239,Г,352,12/3/2008,10/3/2013,,,,,Клепиков Е.А.,89059801154,"МО ""Усть-Коксинский район"""
148,ООО «Ирбис»,406005056,40601001,"РА Усть-Коксинский район, с.Курунда, ул.Центральная,13","РА Усть-Коксинский район с.Курунда, ул.Центральная,13",,242,Г,355,10.14.2008,10.13.2013,,,,,Кебекова В.Б.,89618933892,"МО ""Усть-Коксинский район"""
149,ООО «Анэль-Е»,406005225,40601001,"РА Усть-Коксинский район, с.Курунда, ул.Центральная,26","РА Усть-Коксинский район с.Курунда, ул.Центральная,26",,243,Г,356,3/11/2008,2/11/2013,,,,,Кыныев А.Г.,,"МО ""Усть-Коксинский район"""
150,"ООО ""Урсула""",404008527,40401001,"РА Усть-Коксинский район, с.Теректа, ул.Центральная,15А","РА Усть-Коксинский район, с.Теректа, ул.Центральная,15А",,251,ГА ,826,12.29.2011,12.28.2012,,,,,Толстых З.С.,,"МО ""Усть-Коксинский район"""
151,"ООО ""Околица",404008485,40401001,"РА Усть-Коксинский район, с.Амур, ул.Советская 8Б","РА Усть-Коксинский район, с.Амур, ул.Советская 8Б",,252,ГА ,827,01.24.2012,01.23.2013,,,,,Воробьева Р.В.,89136996356,"МО ""Усть-Коксинский район"""
152,"ООО ""Гермес""",406004750,40601001,"РА Усть-Коксинский район, с.Усть-Кокса, ул.Советская,73","РА Усть-Коксинский район, с.Усть-Кокса, ул.Советская,73,Совхозная,26;с.Баштала, ул.Клубная,6;с.Тюнгурюк,ул.Центральная,8",,254,ГА ,832,06.29.2012,06.28.2013,,,,,Акентьев А.И.,89136994899,"МО ""Усть-Коксинский район"""
,,,,,"с.Чендек, ул.Центральная,13; с.Усть-Кокса, ул.Нагорная,34Е",,,,,,,,,,,,,
153,"ООО ""Юторг""",404004650,40401001,"РА Усть-Коксинский район,с.Усть-Кокса, пер.Пекарский,2","РА Усть-Коксинский район, с.Усть-Кокса, пер.Пекарский,2",,253,ГА,829,7/6/2012,6/6/2013,,,,,Сандыпова Ю.И.,8(38848)22202,"МО ""Усть-Коксинский район"""
154,ООО «Заречье»,406005257,40601001,"РА Усть-Коксинский район, с.Чендек, ул.Заречная,49","РА Усть-Коксинский район с.Теректа, ул.Центральная,19;  с.Чендек, ул.Заречная,49",,244,Г,357,9/2/2009,8/2/2014,,,,,Бочкарева г.Ф.,8(38848) 25396,"МО ""Усть-Коксинский район"""
155,"ООО ""Парламент""",408015660,40801001,"РА Майминский район, с.Майма, ул.Ленина,60","Майминский район, с. Майма: ул. Ленина 60;ул. Ленина 10; ул. Ленина б/н район ДЭП-217",,110,ГА,425,10/5/2012,05.21.2013,,,,,Шефер А.С.,8(38844)24228,"МО ""Майминский район"""
,,,,,ул. Подгорная б/н; г.Горно-Алтайск: ул. Барнаульская 8/2; пр. Коммунистический 66; ул. Чорос-Гуркина 33.,,,,,,,,,,,,,
156,"ООО ""Русский Дом""                                  ",408015878,40801001,"РА Майминский район, с.Майма, ул.Ленина,60","РА Майминский район с. Майма: ул. Ленина 60А, ул. Подгорная 59А, ул. Ленина 34",,112,Г,827,10.13.2010,12/10/2012,,,,,Филиппов А.В.,8(38844)24889,"МО ""Майминский район"""
157,"ООО ""Родник""                             ",408015719,40801001,"РА Майминский район, с.Майма, ул.Советская,63","РА Майминский район с. Майма, ул. Советская 63",,115,В,52,06.15.2006,06.14.2012,,,06.14.2012,,Кравченко ,8(38844)23767,"МО ""Майминский район"""
158,"ООО ""Сивена""                                   ",408015780,40801001,"РА Майминский район, с.Майма, ул.Советская,55","РА Майминский район с. Майма, ул. Советская 55",,116,В,53,06.15.2006,06.14.2012,,,06.14.2012,,Сенюкова В.М.,8(38844) 21105,"МО ""Майминский район"""
159,"ООО ""Рокс""",411005559,40801001,"РА Майминский район, с.Майма, ул.Ленина 1/1","РА Майминский район, с.Майма, ул.Ленина 1/1",,675,Г,843,2/6/2006,1/6/2012,,,,,Попов Н.В.,8(38844)21264,"МО ""Майминский район"""
160,"ООО ""Ивушка""",408015846,40801001,"РА Майминский район, с.Усть-Муны, ул.Кошурникова 28","РА Майминский район,с.Усть-Муны, ул.Кашурникова 7",,131,ГА,428,06.22.2012,06.26.2013,,,,,Глазунов А.А.,8(38844)28895,"МО ""Майминский район"""
161,"ООО ""Айский мост""",408015839,40801001,"РА г.Горно-Алтайск, ул.Шелковичная,10","РА Майминский район с. Соузга, район Айского моста",,117,В,54,06.15.2006,06.14.2012,,,06.14.2012,,Казанова А.В.,8(38822)66966,"МО ""Майминский район"""
162,"ООО ""Синюха""                                     ",408015807,40801001,"РА Майминский район, с.Майма, ул.Источная,2","РА Майминский район с. Майма, ул. Источная 2; г. Горно-Алтайск, ул. Заводская 1/1",,170,ГА,429,06.21.2012,06.20.2013,,,,,Черняк С.Л.,89039564245,"МО ""Майминский район"""
163,"ООО ""Орбита""                                   ",408015444,40801001,"РА Майминский район, с.Кызыл-Озек, ул.Советская,119","РА Майминский район с. К-Озек, ул. Советская119",,120,В,57,06.22.2006,06.21.2012,,,06.21.2012,,Алексахина С.А.,8(38844)29221,"МО ""Майминский район"""
164,"ООО ""Никольский""                                   ",408015645,40801001,"РА Майминский район, с.Кызыл-Озек, ул.Советская,84","РА Майминский район с. К-Озек, ул. Советская 84А",,125,В,62,06.26.2006,06.25.2012,,,06.25.2012,,Калачикова Н.А.,8(38844)29186,"МО ""Майминский район"""
165,"ООО ""Макси""",2204004920,220401001,"Алтайский край, г.Бийск, ул.Гастелло,14","РА Майминский район с. Манжерок, ул. Дружбы 7",,114,ГА,427,06.13.2006,12/9/2012,,,,,Мордовин С.И.,83854241267,"МО ""Майминский район"""
166,"ООО ""Марс""                                 ",408016230,40801001,"РА Майминский район, с.Манжерок, ул. Дружбы,43","РА Майминский район с. Манжерок, ул. Дружбы 43, с. Соузга, ул.Трактовая, 37/1",,127,ГА,430,06.22.2012,06.25.2013,,,,,Лескина В.И.,89030748855,"МО ""Майминский район"""
