Реестр выданных лицензий ,,,,,,,,,,
на осуществление розничной продажи алкогольной продукции  действующих на  02.07.2012 г.,,,,,,,,,,
,,,,,,,,,,
№,О лицензиате,ИНН / ОГРН,Дата выдачи лицензии,"Серия, регистр.№",Срок действия лицензии,Адреса территориально обособленных объектов,сведения о действии лицензии,Примечание,Лицензирующий орган,
979,"ООО ""Начало"", юр.адрес: 625015, РФ, Тюменская область, г. Тюмень, ул. Беляева, 17-87
руков.:Гребенюк С.В., тел. 30-87-62  30-71-66",ИНН 7203231800 ОГРН 1097232007575 (дата регистрации 25.03.09),18/08/2009,72-РАП №4590,17/08/2014,"1)г. Тюмень, ул. Энергетиков, д. 39, литер А, помещения 18, 19, литер А2, помещения 8,12,13,25, магазин (открыт 07.11.11)
",,,Управление Л и РПР ТО,
980,"ООО ""Магия"", юр.адрес: 625048, Российская Федерация, Тюменская область, г. Тюмень, ул. Малыгина, д. 5, офис 208
руков.:Кудрявцев А.А., тел. 44-52-97",ИНН 7202195852  ОГРН 1097232010083,21/08/2009,72-РАП №4593,20/08/2014,"1)г. Тюмень, ул. Максима Горького, д. 44, корпус 3, кафе ""Таверна Капитан Крюк"" (открыт 21.08.09)
",,,Управление Л и РПР ТО,
981,"ООО ""ВИКТОР"", юр.адрес: 625000, Россия, Тюменская область, г. Тюмень, ул. Червишевский тракт, д. 31, кв. 79
руков.:Ульянов В.К., тел. 32-80-08",ИНН 7204144211 ОГРН 1097232012591 (дата регистрации 15.05.09),21/08/2009,72-РАП №4592,20/08/2014,"1)г. Тюмень, ул. Червишевский тракт, д. 92/1; 92/2, торговый центр ""Юг Сибири"", бар (общепит)  (21.12.10)
2)г. Тюмень, ул. Червишевский тракт, д. 92/1; 92/2, торговый центр ""Юг Сибири"", магазин ""Продукты"" (открыт 14.12.11)
",,,Управление Л и РПР ТО,
,,,,,,"3)г. Тюмень, ул. 9 Января, д. 164, корпус 1, магазин ""Надежда"" (открыт 14.12.11)
",,,,
982,"ООО ""Аэлита"", юр.адрес: 625000, Российская, Федерация, Тюменская область, г. Тюмень, ул. Барнаульская, д. 26
руков.:Мутолапов Р.А., тел. 74-32-12  78-20-46",ИНН 7204142447  ОГРН 1097232006178,26/08/2009,72-РАП №4594,25/08/2014,"1)г. Тюмень, ул. Барнаульская, д. 26, магазин ""Продукты"" (открыт 26.08.09)
",,,Управление Л и РПР ТО,
983,"ООО ""Изба"", юр.адрес: 625022, Россия, Тюменская область, г. Тюмень, ул. Газовиков, д. 45/5
руков.:Боярский В.Ф., тел. 53-16-35",ИНН 7202195482  ОГРН 1097232008741,03/09/2009,72-РАП №4596,02/09/2014,"1)г. Тюмень, ул. Газовиков, д. 45/5, ресторан ""Изба"" (открыт 03.09.09)
",,,Управление Л и РПР ТО,
984,"ООО ""Черный медведь"", юр.адрес: 625001, Тюменская область, г. Тюмень, ул. Чернышевского, д. 1,  корпус 1, кв. 70
руков.:Медведев В.С., тел. 32-54-07",ИНН 7204112675  ОГРН 1077203040397,07/09/2009,72-РАП №4597,06/07/2014,"1)г. Тюмень, ул. Гольцова, д. 2/6 Литера А, магазин (открыт 19.10.11)
",,,Управление Л и РПР ТО,
985,"ООО ""Кондор-1"", юр.адрес: 627250, Тюменская область, Юргинский район, с. Юргинское, ул. Центральная, д. 35, к. 4
руков.:Мелконян Г.С., тел. (345-43) 2-42-59",ИНН 7202157617  ОГРН 1077203002392,10/09/2009,72-РАП №4599,09/09/2014,"1)Тюменская область, Юргинский район, 1 км на север от с. Юргинское, д. 1, строение 4, кафе (общепит) (открыт 10.09.09)
",,,Управление Л и РПР ТО,
986,"ООО ""Империя"", юр.адрес: 627140, Тюменская область, г. Заводоуковск, ул. Ромашковая, д. 17
руков.:Дмитриева Т.В., тел. (34542) 2-10-86",ИНН 7215002032  ОГРН 1087215000608,10/09/2009,72-РАП №4598,09/09/2014,"1)Тюменская область, г. Заводоуковск, ул. Социалистическая, д. 46, кафе ""Суши-бар"" (цокольный этаж) (общепит) (открыт 10.09.09)
",,,Управление Л и РПР ТО,
987,"ООО ""Отель Сервис"", юр.адрес: 625000, Тюменская область, г. Тюмень, ул. Дзержинского, д. 15, офис 409
руков.:Храмова Я.И., тел. 64-60-30  64-19-91",ИНН 7202191456  ОГРН 1087232043250 (дата регистрации 29.10.08),22/09/2009,72-РАП №4600,21/09/2014,"1)г. Тюмень, ул. Советская, д. 20, ресторан ""Дворянское гнездо"" (общепит) (открыт 22.09.09)
2)г. Тюмень, ул. Советская, д. 20, ресторан ""Дайкоку"" (общепит) (открыт 22.09.09)
",,,Управление Л и РПР ТО,
,,,,,,"3)г. Тюмень, ул. Советская, д. 20, лобби-бар (общепит) (открыт 22.09.09)
4)г. Тюмень, ул. Советская, д. 20, кофейня ""Лунга"" (общепит) (открыт 22.09.09)
",,,,
,,,,,,"5)г. Тюмень, ул. Советская, д. 20, ресторан ""Мята"" (общепит) (открыт 15.06.10)
",,,,
988,"ООО ""ЛиКа"", юр.адрес: 625511, Российская Федерация, Тюменская область, Тюменский район, с. Ембаево, ул. Совхозная, д. 24а
руков.:Гололобова Е.Ю., тел. 98-55-56",ИНН 7224041101 ОГРН 1097232011326,24/09/2009,72-РАП №4603,23/09/2014,"1)Тюменская область, Тюменский район, с. Ембаево, ул. Советская, д. 44, магазин ""ЛиКа"" (открыт 24.09.2009)
",,,Управление Л и РПР ТО,
989,"ООО ""ОНИКС"", юр.адрес: 626150, Тюменская область, г. Тобольск, 4 микрорайон, д. 7
руков.:Цапцов В.В., тел. 25-26-13",ИНН 7206019079  ОГРН 1027201299201,24/09/2009,72-РАП №4601,23/09/2014,"1)Тюменская область, г. Тобольск, 4 микрорайон, д. 7/102, магазин ""НОВЭРА"" (открыт 24.09.09)
2)Тобольский район, Малозоркальцевская с/а, 261 км а/д Тюмень-Ханты-Мансийск, д. 2, строение 2, кафе ""Источник"" (24.09.09)
",, Прим: Проверка 28.06.10 (без нарушений),Управление Л и РПР ТО,
,,,,,,,,,,
990,"ООО ""Фрегат"", юр.адрес: 625048, Российская Федерация, Тюменская область, г. Тюмень, ул. Мельничная, д. 83/3
руков.:Кетрис А.К., тел. 40-48-10",ИНН 7202196207  ОГРН 1097232011964 (дата регистрации 07.05.09),24/09/2009,72-РАП №4602,23/09/2014,"1)г. Тюмень, ул. Мельничная, д. 83/3, магазин ""Продукты"" (открыт 24.09.09)
2)г. Тюмень, ул. Широтная, д. 187, корпус 3/1, магазин ""Продукты"" (открыт 20.07.11)
",,,Управление Л и РПР ТО,
,,,,,,,,,,
991,"ООО ""Радуга"", юр.адрес: 626240, Тюменская область, Вагайский район, с. Вагай, ул. Октябрьская, д. 68
руков.:Голошубин В.Г., тел. (34539) 8-905-8222953",ИНН 7212005613   ОГРН 1097206001441,28/09/2009,72-РАП №4606,27/08/2014,"1)Тюменская область, Вагайский район, с. Вагай, ул. Октябрьская, д. 68, магазин ""Радуга"" (открыт 28.09.09)
",,,Управление Л и РПР ТО,
992,"ООО ""РиО плюс"", юр.адрес: 627750, Российская Федерация, Тюменская область, г. Ишим, ул. Луначарского, д. 77
руков.:Зверева О.К., тел. (34551) 2-32-39  2-23-04, факс (34551) 5-16-08",ИНН 7205017921  ОГРН 1077205001015,01/10/2009,72-РАП №4604,30/09/2014,"1)Тюменская область, г. Ишим, ул. Интернациональная, д. 10 А, магазин № 28 ""У дороги"" (открыт 01.10.09)
2)Тюменская область, г. Ишим, ул. Курганская, д. 70А/1, магазин № 35 ""Алые паруса"" (открыт 01.10.09)
",,,Управление Л и РПР ТО,
,,,,,,"3)Тюменская область, г. Ишим, площадь Привокзальная, д. 11А, торговый павильон № 89 ""Успех"" (открыт 01.10.09)
4)Тюменская область, г. Ишим, ул. Луначарского, д. 3, магазин № 11 ""Коркинский"" (открыт 01.10.09)
",,,,
,,,,,,,,,,
993,"ООО ""РиО сервис"", юр.адрес: 627750, Российская Федерация, Тюменская область, г. Ишим, ул. Луначарского, д. 77
руков.:Зверева О.К., тел. (34551) 2-32-39 2-2304, факс (34551) 5-16-08",ИНН 7205020473  ОГРН 1097205000584,01/10/2009,72-РАП №4607,30/09/2014,"1)Тюменская область, г. Ишим, ул. Пушкина, д. 6, ресторан ""Трактир ""На Пушкинской"" (общепит) (открыт 01.10.09)
2)Тюменская область, г. Ишим, ул. Ленина, д. 43, закусочная ""Кофейня"" (общепит) (открыт 01.10.09)
",,,Управление Л и РПР ТО,
,,,,,,,,,,
994,"ООО ""Лев"", юр.адрес: 627750, Россия, Тюменская область, Ишимский район, п. Никольский, ул. Первомайская, д. 11-а
руков.:Бормотова В.А., тел. (34551) 6-50-65",ИНН 7205019830  ОГРН 1087205001179,02/10/2009,72-РАП №4610,01/10/2014,"1)Тюменская область, Ишимский район, п. Никольский, ул. Первомайская, д. 11-а, магазин (открыт 02.10.09)
2)Тюменская область, Ишимский район, с. Десятова, ул. Центральная, д. 36/2, магазин (открыт 12.08.10)
",,,Управление Л и РПР ТО,
,,,,,,,,,,
995,"ООО ""Салют"", юр.адрес: Российская Федерация, Тюменская область, Ярковский район, с. Ярково, ул. Пионерская, д. 75
руков.:Искаков И.И., тел. (34531) 27-404  8-922-266-3343",ИНН 7229009045  ОГРН 1087232042809,02/10/2009,72-РАП №4608,01/10/2014,"1)Тюменская область, Ярковский район, с. Ярково, ул. Пионерская, д. 75, магазин (открыт 02.10.09)
",,,Управление Л и РПР ТО,
996,"ООО ""Визит"", юр.адрес: 625511, Российская Федерация, Тюменская область, Тюменский район, д. Тураева, ул. Тураевская, д. 2а
руков.:Сиразитдинова Г.З., тел. 762-391",ИНН 7224040355  ОГРН 1087232046450,07/10/2009,72-РАП №4612,06/10/2014,"1)Тюменская область, Тюменский район, д. Тураева, ул. Тураевская, торговый павильон (открыт 07.10.09)
",,,Управление Л и РПР ТО,
997,"ООО ""Торговый дом ""Лидер"" (ООО ТД ""Лидер""), юр.адрес: Россия, 625049, Тюменская область, г. Тюмень, ул. Московский тракт, д. 130, строение 3
руков.:Велиев М.Ш.о, тел. (3452) 30-62-66  74-16-60",ИНН 7204146057  ОГРН 1097232021226 (дата регистрации 21.08.12),09/10/2009,72-РАП №4614,08/10/2014,"1)г. Тюмень, ул. Московский тракт, д. 130, строение 4, 2-й этаж, кафе ""Кентавр"" (общепит) (открыт 09.10.09)
2)г. Тюмень, ул. Московский тракт, д. 130, строение 4, 1-й этаж, бар ""Гванна"" (общепит) (открыт 17.04.12)
",,,Управление Л и РПР ТО,
,,,,,,,,,,
998,"ООО ""Пятерочка"", юр.адрес: 626380, Тюменская область, Исетский район, с. Исетское, ул. Новоселов, д. 12, кв. 1
руков.:Шаропин С.В., тел. (24537) 23-344  8-912-921-2842",ИНН 7216006008  ОГРН 1087207001078 (дата регистрации 18.12.08),09/10/2009,72-РАП №4613,08/10/2014,"1)Тюменская область, Исетский район, с. Исетское, ул. Мира, д. 43, магазин (открыт 09.10.09)
2)Тюменская область, Исетский район, с. Бархатово, ул. Гагарина, д. 71, магазин (открыт 10.11.11)
",,,Управление Л и РПР ТО,
,,,,,,,,,,
999,"ООО ""Кватро"", юр.адрес: Российская Федерация, 625008, Тюменская область, г. Тюмень, ул. Червишевский тракт, д. 23, корпус 10
руков.:Курашов В.В., тел. (3452) 46-13-05",ИНН 7204142937  ОГРН 1097232008015  (дата регистрации 31.03.2009),16/10/2009,72-РАП №4616,15/10/2014,"1)г. Тюмень, ул. Первомайская, д. 8, бар ""Бутлегер"" (общепит) (открыт 16.10.09)
2)г. Тюмень, ул. 8 Марта, д. 2/13, бар ""Таймс"" (общепит) (открыт 10.06.11)
",,,Управление Л и РПР ТО,
,,,,,,,,,,
1000,"ООО ""СИБСТРОЙ"", юр.адрес: Российская Федерация, Тюменская область, г. Ялуторовск, ул. Ворошилова, д. 24
руков.:Амбарян Л.В., тел. (34535) 2-55-72  (3452) 552-310",ИНН 7207007125  ОГРН 1057200275197 (дата регистрации 28.01.2005),20/10/2009,72-РАП №4617,19/10/2014,"1)Тюменская область, г. Ялуторовск, ул. Ворошилова, д. 24, строение А, кафе ""Виват"" (общепит) (открыт 20.10.09)
2)г. Тюмень, ул. Попова, д. 7, строение 2/1, магазин ""Каскад"" (открыт 18.04.12)
",,,Управление Л и РПР ТО,
,,,,,,"3)г. Тюмень, ул. Широтная, д. 136/1, магазин ""Каскад"" (открыт 18.04.12)
4)г. Тюмень, ул. Федюнинского, д. 7, строение 1, магазин ""Каскад"" (открыт 18.04.12)
",,,,
,,,,,,,,,,
1001,"ООО ""Омега Групп"", юр.адрес: 625007, Тюменская область, г. Тюмень, ул. Николая Федорова, д. 16, офис 1
руков.:Волченко С.Н., тел. 31-25-28  34-90-70",ИНН 7203202608  ОГРН 1077203051034 (дата регистрации 02.10.2007),26/10/2009,72-РАП №4620,25/10/2014,"1)г. Тюмень, ул. Ленина, д. 46, кафе ""Ресторация у Раневской"" (общепит) (открыт 26.10.09)
2)г. Тюмень, ул. Пржевальского, д. 35, корпус 4/4, кафе ""Английский дворик"" (общепит) (открыт 26.10.09)
",,,Управление Л и РПР ТО,
,,,,,,"3)г. Тюмень, ул. Николая Федорова, д. 9, бар ""Green House"" (общепит) (открыт 29.06.10)
",,,,
1002,"ООО ""Уффици"", юр.адрес: Российская Федерация, 626150, Тюменская область, г. Тобольск, ул. Ленская, д. 35
руков.:Прокопьев А.Ю., тел. (3456) 22-09-35",ИНН 7206040320  ОГРН 1097206001078  (дата регистрации 29.09.2009),26/10/2009,72-РАП №4619,25/10/2014,"1)Тюменская область, г. Тобольск, ул. Ленская, д. 35, ресторан ""Екатерина"" (общепит) (открыт 26.10.09)
2)Тюменская область, г. Тобольск, ул. Большая Сибирская, д. 40, кафе ""Ямская"" (общепит) (открыт 26.10.09)
",,,Управление Л и РПР ТО,
,,,,,,,,,,
1003,"ООО ""Ривьера"", юр.адрес: 625000, Тюменская область, г. Тюмень, ул. Широтная, д. 167/4
руков.:Бобов А.С., тел. 54-16-55",ИНН 7203235554  ОГРН 1097232016837 (дата регистрации 06.07.2009),30/10/2009,72-РАП №4623,29/10/2014,"1)г. Тюмень, ул. Широтная, д. 167/4, магазин ""Продукты"" (открыт 30.10.09)
",,,Управление Л и РПР ТО,
1004,"ООО ""Инструментальная компания ""Проминструмент"" (ООО ИК ""Проминструмент""), юр.адрес: 625000, Российская Федерация, Тюменская область, г. Тюмень, ул. Чекистов, д. 36
руков.:Волков Е.Г., тел. 52-14-77",ИНН 7203234649  ОГРН 1097232014362  (дата регистрации 02.06.2009),30/10/2009,72-РАП №4621,29/10/2014,"1)г. Тюмень, ул. Воровского, д. 33, магазин ""Продукты"" (открыт 30.10.09)
2)г. Тюмень, ул. В. Гнаровской, д. 8/4, бар (общепит) (открыт 16.07.10)
",,,Управление Л и РПР ТО,
,,,,,,,,,,
1005,"ООО ""Вкусняшка"", юр.адрес: 625001, Россия, Тюменская область, г. Тюмень, ул. Коммунистическая, 70, корпус 3, строение 6
руков.:Пупов В.А., тел. (3452) 34-29-12  34-29-10",ИНН 7204147580  ОГРН 1097232027232  (дата регистрации 15.10.09),02/11/2009,72-РАП №4626,01/11/2014,"1)г. Тюмень, ул. Циолковского, д. 13/4, магазин (открыт 02.11.09)
2)г. Тюмень, ул. Мельникайте, д. 124/2, кафе ""Le Beer"" (общепит) (открыт 25.04.12)
",,,Управление Л и РПР ТО,
,,,,,,,,,,
1006,"ООО ""Атон"", юр.адрес: 625530, Российская Федерация, Тюменская область, Тюменский район, п. Винзили, ул. Заводская, 13
руков.:Кокшарова Т.В., тел. 761-997  761-990 23-33-07",ИНН 7224041422 ОГРН 1097232017332  (дата регистрации 17.07.2009),02/11/2009,72-РАП №4625,01/11/2014,"1)г. Тюмень, ул. 50 лет ВЛКСМ д. 105/2, магазин (открыт 15.06.10)
",,,Управление Л и РПР ТО,
1007,"ООО ""Симона"", юр.адрес: 625000, Тюменская область, Тюменский район, с. Мальково, ул. Мира, д. 22
руков.:Симонов В.Н., тел. 8-904-495-39-54",ИНН 7224032805  ОГРН 1067203309040  (дата регистрации 25.05.06),06/11/2009,72-РАП №4627,05/11/2014,"1)Тюменская область, Тюменский район, с. Мальково, ул. Мира, д. 22 а, магазин ""Симона"" (открыт 06.11.09)
",,,Управление Л и РПР ТО,
1008,"ООО ""Искатель"", юр.адрес: РФ, Тюменская область, Тюменский район, п. Винзили, ул. Мичурина, д. 81
руков.:Карнаухова О.В., тел. 95-55-49",ИНН 7224041454  ОГРН 1097232017409 (дата регистрации 17.07.09),06/11/2009,72-РАП №4628,05/11/2014,"1)Тюменская область, Тюменский район, п. Винзили, снт ""Искатель"", ул. Песчаная, участок № 2б, магазин ""Искатель"" (открыт 06.11.09)
",,,Управление Л и РПР ТО,
1009,"ООО ""Конус"", юр.адрес: Российская Федерация, 627140, Тюменская область, Заводоуковский район, п. Комсомольский, ул. Центральная, д. 13 ""А""
руков.:Решетников А.В., тел. 8-904-498-0830",ИНН 72150002466  ОГРН 109721500300  (дата регистрации 23.09.09),10/11/2009,72-РАП №4630,09/11/2014,"1)Тюменская область, Заводоуковский район, п. Комсомольский, ул. Центральная, д. 13А, магазин (открыт 10.11.09)
",,,Управление Л и РПР ТО,
1010,"ООО ""Триумф"", юр.адрес: 627540, Тюменская область, Абатский район, с. Абатское, ул. 1-е Мая, д. 18
руков.:Спиридонова Н.М., тел. (34556) 42-142",ИНН 7208004303  ОГРН 1097208000130 (дата регистрации 15.09.09),10/11/2009,72-РАП №4629,09/11/2014,"1)Тюменская область, Абатский район, с. Абатское, ул. 1-е Мая, д. 18, магазин ""Радуга"" (открыт 10.11.09)
",,,Управление Л и РПР ТО,
1011,"ООО ""Бригантина и К"", юр.адрес: 625054, Российская Федерация, Тюменская область, г. Тюмень, п. Березняковский, ул. Западная, д. 7а
руков.:Кульпин В.С., тел. 64-59-03",ИНН 7202194986  ОГРН 1097232006299 (дата регистрации 12.03.09),12/11/2009,72-РАП №4634,11/11/2014,"1)г. Тюмень, п. Березняковский, ул. Восточная-Центральная-Березняковская, торговый павильон ""Березка"" (открыт 13.11.09)
",,,Управление Л и РПР ТО,
1012,"ООО ""Альянс"", юр.адрес: Российская Федерация, 625000, Тюменская область, г. Тюмень, ул. Щербакова, д. 4
руков.:Кугаевская Л.Н., тел. 8-922-268-1383",ИНН 7202198596  ОГРН 1097232019928 (дата регистрации 12.08.09),12/11/2009,72-РАП №4633,11/11/2014,"1)г. Тюмень, ул. Щербакова, д. 4, 1-й этаж, магазин ""Альянс"" (открыт 12.11.09)
2)г. Тюмень, ул. Пермякова, д. 84, корпус 3/9, магазин (открыт 23.12.10)
",,,Управление Л и РПР ТО,
,,,,,,,,,,
1013,"ОАО ""Управление торговли Центрального военного округа"" (ОАО ""УТ ЦВО""), юр.адрес: 620033, г. Екатеринбург, ул. Проезжая, д. 9-А
руков.:Приказчиков А.В., тел. (3432) 43-06-34",ИНН 6670266695 ОГРН 1096658012076 (дата регистрации 18.09.09),13/11/2009,72-РАП №4635,12/11/2014,"1)Тюменская область, Тюменский район, озеро Андреевское, территория военного городка № 31, магазин № 7 (открыт 13.11.09)
2)Тюменская область, Тюменский район, р.п. Богандинский,  п/о Сосновое, в/ч 61221, ул. Октября, д. 33, магазин № 9 (открыт 13.11.09)
",, Прим: Изменение названия организации реш. № 400 от 25.06.12,Управление Л и РПР ТО,
,,,,,,"3)Тюменская область, Тюменский район, п/о Княжево, 1,  в/ч 47156, магазин № 10 (открыт 13.11.09)
",,,,
1014,"ООО ""Империя"", юр.адрес: 625030, Россия, Тюменская область, г. Тюмень, ул. Московский тракт, д. 87, корпус 1/2
руков.:Харланова Т.Ю., тел. 68-29-90  73-54-84",ИНН 7204144998  ОГРН 1097232016089 (дата регистрации 24.06.09),17/11/2009,72-РАП №4636,16/11/2014,"1)г. Тюмень, ул. Московский тракт, д. 87, корпус 1/2, магазин ""Вкусный остров"" (открыт 17.11.09)
",,,Управление Л и РПР ТО,
1015,"ООО ""Мария"", юр.адрес: 626380, Россия, Тюменская область, Исетский район, с. Исетское, ул. Первомайская, д. 32
руков.:Мхитарян В.Ю., тел. 8-912-386-1797",ИНН 7216006047  ОГРН 1097207000252 (дата регистрации 08.06.09),17/11/2009,72-РАП №4637,16/11/2014,"1)Тюменская область, Исетский район, с. Исетское, ул. Первомайская, д. 32, магазин ""Мария"" (открыт 17.11.09)
",,,Управление Л и РПР ТО,
1016,"ООО ""ЛОЛИТА"", юр.адрес: Российская Федерация, 627303, Тюменская область, Голышмановский район, р.п. Голышманово, ул. Ленина, д. 87
руков.:Басов А.А., тел. (34-546) 2-83-85",ИНН 7214008786  ОГРН 1097214000190 (дата регистрации 28.09.09),19/11/2009,72-РАП №4638,18/11/2014,"1)Тюменская область, Голышмановский район, р.п. Голышманово, ул. Ленина, д. 87, магазин ""Лолита"" (19.11.09)
",,,Управление Л и РПР ТО,
1017,"ООО ""АЛЬВЕУС"", юр.адрес: 625054, Российская Федерация, Тюменская область, г. Тюмень, Салаирский тракт, 6 км, строение 8
руков.:Вакуленко Н.В., тел. 64-57-95",ИНН 7202198300  ОГРН 1097232018685 (дата регистрации 30.07.2009),23/11/2009,72-РАП №4639,22/11/2014,"1)г. Тюмень, 6 км Салаирского тракта, 8, кафе ""Коралл"" (открыт 23.11.09)
",,,Управление Л и РПР ТО,
1018,"ООО ""Марк"", юр.адрес: Российская Федерация, 626061, Тюменская область, Ярковский район, с. Дубровное, ул. Центральная, д. 8/2
руков.:Савельева И.А., тел. 8-922-486-8358",ИНН 7229009158 ОГРН 1097232027903 (дата регистрации 21.10.09),23/11/2009,72-РАП №4640,22/11/2014,"1)Тюменская область, Ярковский район, с. Дубровное, ул. Центральная, д. 8/2, магазин ""Марк"" (открыт 23.11.09)
",,,Управление Л и РПР ТО,
1019,"ООО ""Торговый дом ""Олеся"" (ООО ""ТД ""Олеся""), юр.адрес: РФ, г. Тюмень, ул. Московский тракт, д. 117а/1
руков.:Дубатовка С.А., тел. 30-72-71",ИНН 7204059799  ОГРН 1037200641170 (дата регистрации 07.10.2003),24/11/2009,72-РАП №4641,23/11/2014,"1)Тюменская область, Нижнетавдинский район, п. Карагандинский, ул. Центральная, д. 17, магазин ""Олеся"" (открыт 24.11.09)
",,,Управление Л и РПР ТО,
1020,"ООО ""КАСПИЙ"", юр.адрес: 625025, Россия, Тюменская область, г. Тюмень, ул. 9 Января, д. 4, кв. 711
руков.:Алиева Г.Т.к, тел. 34-36-61  8-906-821-2310",ИНН 7204145007  ОГРН 1097232016090 (дата выдачи 24.06.2009),25/11/2009,72-РАП №4644,24/11/2014,"1)г. Тюмень, ул. Самарцева, д. 3/5,магазин ""Каспий"" (открыт 25.11.09)
",,,Управление Л и РПР ТО,
1021,"ООО ""Екатерина"", юр.адрес: 626150, Российская Федерация, Тюменская область, г. Тобольск, ул. Мира, д. 34
руков.:Иванова Т.С., тел. (3456) 22-23-01",ИНН 7206040810  ОГРН 1097206001782 (дата регистрации 21.10.09),25/11/2009,72-РАП №4642,24/11/2014,"1)Тюменская область, г. Тобольск, ул. Хохрякова, д. 48, магазин ""Продукты"" (25.11.09)
",,,Управление Л и РПР ТО,
1022,"ООО ""Вита"", юр.адрес: 627300, Тюменская область, Голышмановский район, р.п. Голышманово, ул. Садовая, д. 79, помещение № 2
руков.:Хабарова О.Г., тел. (34546) 2-69-08 2-59-38",ИНН 7214008828  ОГРН 1097214000245 (дата регистрации 21.10.09),26/11/2009,72-РАП №4647,25/11/2014,"1)Тюменская область, Голышмановский район, р.п. Голышманово, ул. Садовая, д. 79, помещение № 2, магазин ""Дарья"" (открыт 26.11.09)
2)Тюменская область, Голышмановский район, р.п. Голышманово, ул. Московская, д. 4, магазин ""Вега"" (открыт 07.11.11)
",,,Управление Л и РПР ТО,
,,,,,,,,,,
1023,"ООО ""ТК Прайд"", юр.адрес: 625048, Российская Федерация, Тюменская область, г. Тюмень, ул. Максима Горького, д. 3, корпус 2, кв. 73
руков.:Гафарова Ф.Х.",ИНН 7202199590 ОГРН 1097232023668  (дата регистрации 15.09.09),26/11/2009,72-РАП №4646,25/11/2014,"1)г. Тюмень, у. Тимофея Чаркова, д. 12, магазин (открыт 26.11.09)
",,,Управление Л и РПР ТО,
1024,"ООО ""Винный мир"", юр.адрес: Российская Федерация, 625015, Тюменская область, г. Тюмень, п. Рощино, ул. Гагарина, д. 9, литер А
руков.:Демьянов А.Н., тел. 22-82-74  8-950-481-2085",ИНН 7204146392  ОГРН 1097232022392 (дата регистрации 01.09.09),26/11/2009,72-РАП №4645,25/11/2014,"1)г. Тюмень, п. Рощино, ул. Гагарина, д. 9, магазин (открыт 26.11.09)
",,,Управление Л и РПР ТО,
1025,"ООО ""ГрандОтельУват"", юр.адрес: 626170, Российская Федерация, Тюменская область, Уватский район, с. Уват, ул. Авиаторов, д. 2
руков.:Тулупов А.М., тел. (34561) 28-825",ИНН 7225005113  ОГРН 1077206002576  (дата регистрации 27.11.07),01/12/2009,72-РАП №4650,30/11/2014,"1)Тюменская область, Уватский район, с. Уват, ул. Спортивная, д. 15, 2-й этаж, ресторан (общепит) (открыт 01.12.09)
2)Тюменская область, Уватский район, с. Уват, ул. Спортивная, д. 15, 3-й этаж, бар ""Зимний сад"" (общепит) (открыт 01.12.09)
",,,Управление Л и РПР ТО,
,,,,,,"3)Тюменская область, Уватский район, с. Уват, ул. Спортивная, д. 15, 1-й этаж, бар ""Лобби-бар"" (общепит) (открыт 01.12.09)
4)Тюменская область, Уватский район, с. Уват, ул. Спортивная, д. 15, 1-й этаж, бар ""Фито-бар"" (общепит) (открыт 01.12.09)
",,,,
,,,,,,,,,,
1026,"ГБУ ТО ""Столовая"" Управление делами Правительства ТО"" (ГБУ ТО ""Столовая"" Управление делами Правительства Тюменской области""), юр.адрес: 625018, Тюменская область, г. Тюмень, ул. Республики, д. 52
руков.:Таранюк Г.В., тел. (3452) 46-93-02 46-50-57",ИНН 7202196976  ОГРН 1097232014395 (дата регистрации 02.09.09),01/12/2009,72-РАП №4649,30/11/2014,"1)г. Тюмень, ул. Республики, д. 52, столовая (общепит) (открыт 01.12.09)
2)г. Тюмень, ул. Володарского, д. 45, столовая (общепит) (открыт 01.12.09)
",, Прим: Изменение типа учреждения (реш.№ 169 от 20.03.12),Управление Л и РПР ТО,
,,,,,,,,,,
1027,"ООО ""ВиКинг"", юр.адрес: 627540, Тюменская область, Абатский район, с. Абатское, ул. П.Белякова, д. 9
руков.:Конарев С.Н., тел. (34556) 51-621",ИНН 7208004328  ОГРН 1097208000152 (дата регистрации 06.10.09),02/12/2009,72-РАП №4651,01/12/2014,"1)Тюменская область, Абатский район, с. Абатское, ул. Обороны, д. 18, магазин ""Рябинушка"" (открыт 02.12.09)
",,,Управление Л и РПР ТО,
1028,"ООО ""СОЗВЕЗДИЕ РАЗВЛЕЧЕНИЙ-Тюмень"", юр.адрес: 625049, Российская Федерация, Тюменская область, г. Тюмень, ул. Московский тракт, д. 118
руков.:Меньшин А.А., тел. (3452) 55-07-56",ИНН 7204121084 ОГРН 1087232005410 (дата регистрации 12.02.08),02/12/2009,72-РАП №4653,01/12/2014,"1)г. Тюмень, ул. Московский тракт, д. 118, торговый центр ""Колумб"", 4-й этаж, бар боулинга (общепит) (открыт 02.12.09)
2)г. Тюмень, ул. Московский тракт, д. 118, торговый центр ""Колумб"", 4-й этаж, бар бильярда (общепит) (открыт 02.12.09)
",,,Управление Л и РПР ТО,
,,,,,,"3)г. Тюмень, ул. Московский тракт, д. 118, торговый центр ""Колумб"", 4-й этаж, спорт бар (общепит) (открыт 02.12.09)
",,,,
